auto	cars	engine							
0309	4	210-hp, 3.0-liter V-6 (diesel)	335-hp, 4.6-liter V-8 (premium)	382-hp, 5.5-liter V-8 (premium)	210-hp, 3.0-liter V-6 (diesel) - 335-hp, 4.6-liter V-8 (premium) - 382-hp, 5.5-liter V-8 (premium)				
0316	4	382-hp, 5.5-liter V-8 (premium)	518-hp, 6.2-liter V-8 (premium)	604-hp, 6.0-liter V-12 (premium)	382-hp, 5.5-liter V-8 (premium) - 518-hp, 6.2-liter V-8 (premium) - 604-hp, 6.0-liter V-12 (premium)				
0317	4	228-hp, 3.0-liter V-6 (premium)	300-hp, 3.5-liter V-6 (premium)	355-hp, 5.4-liter V-8 (premium)	228-hp, 3.0-liter V-6 (premium) - 300-hp, 3.5-liter V-6 (premium) - 355-hp, 5.4-liter V-8 (premium)				
0352	4	161-hp, 2.4-liter I-4 (regular gas)	168-hp, 2.4-liter I-4 (regular gas)	237-hp, 2.0-liter I-4 (premium)	161-hp, 2.4-liter I-4 (regular gas) - 168-hp, 2.4-liter I-4 (regular gas) - 237-hp, 2.0-liter I-4 (premium)				
0365	4	161-hp, 2.4-liter I-4 (regular gas)	168-hp, 2.4-liter I-4 (regular gas)	230-hp, 3.0-liter V-6 (premium)	161-hp, 2.4-liter I-4 (regular gas) - 168-hp, 2.4-liter I-4 (regular gas) - 230-hp, 3.0-liter V-6 (premium)				
0370	4	170-hp, 2.5-liter I-4 (regular gas)	175-hp, 2.5-liter I-4 (regular gas)	270-hp, 3.5-liter V-6 (regular gas)	170-hp, 2.5-liter I-4 (regular gas) - 175-hp, 2.5-liter I-4 (regular gas) - 270-hp, 3.5-liter V-6 (regular gas)				
0371	4	170-hp, 2.5-liter I-4 (regular gas)	175-hp, 2.5-liter I-4 (regular gas)	270-hp, 3.5-liter V-6 (regular gas)	170-hp, 2.5-liter I-4 (regular gas) - 175-hp, 2.5-liter I-4 (regular gas) - 270-hp, 3.5-liter V-6 (regular gas)				
0389	4	140-hp, 2.0-liter I-4 (regular gas)	177-hp, 2.5-liter I-4 (regular gas)	200-hp, 2.5-liter I-4 (premium)	140-hp, 2.0-liter I-4 (regular gas) - 177-hp, 2.5-liter I-4 (regular gas) - 200-hp, 2.5-liter I-4 (premium)				
0390	4	140-hp, 2.0-liter I-4 (regular gas)	177-hp, 2.5-liter I-4 (regular gas)	200-hp, 2.5-liter I-4 (premium)	140-hp, 2.0-liter I-4 (regular gas) - 177-hp, 2.5-liter I-4 (regular gas) - 200-hp, 2.5-liter I-4 (premium)				
0399	4	255-hp, 2.9-liter H-6 (premium)	310-hp, 3.4-liter H-6 (premium)	320-hp, 3.4-liter H-6 (premium)	255-hp, 2.9-liter H-6 (premium) - 310-hp, 3.4-liter H-6 (premium) - 320-hp, 3.4-liter H-6 (premium)				
0402	4	300-hp, 3.6-liter V-6 (premium)	400-hp, 4.8-liter V-8 (premium)	500-hp, 4.8-liter V-8 (premium)	300-hp, 3.6-liter V-6 (premium) - 400-hp, 4.8-liter V-8 (premium) - 500-hp, 4.8-liter V-8 (premium)				
0409	4	300-hp, 3.6-liter V-6 (premium)	400-hp, 4.8-liter V-8 (premium)	500-hp, 4.8-liter V-8 (premium)	300-hp, 3.6-liter V-6 (premium) - 400-hp, 4.8-liter V-8 (premium) - 500-hp, 4.8-liter V-8 (premium)				
0426	4	170-hp, 2.5-liter H-4 (regular gas)	256-hp, 3.6-liter H-6 (regular gas)	265-hp, 2.5-liter H-4 (premium)	170-hp, 2.5-liter H-4 (regular gas) - 256-hp, 3.6-liter H-6 (regular gas) - 265-hp, 2.5-liter H-4 (premium)				
0427	4	170-hp, 2.5-liter H-4 (regular gas)	256-hp, 3.6-liter H-6 (regular gas)	265-hp, 2.5-liter H-4 (premium)	170-hp, 2.5-liter H-4 (regular gas) - 256-hp, 3.6-liter H-6 (regular gas) - 265-hp, 2.5-liter H-4 (premium)				
0431	4	170-hp, 2.5-liter H-4 (regular gas)	224-hp, 2.5-liter H-4 (premium)	265-hp, 2.5-liter H-4 (premium)	170-hp, 2.5-liter H-4 (regular gas) - 224-hp, 2.5-liter H-4 (premium) - 265-hp, 2.5-liter H-4 (premium)				
0473	4	260-hp, 3.0-liter I-6 (premium)	265-hp, 3.0-liter I-6 (diesel)	350-hp, 4.8-liter V-8 (premium)	260-hp, 3.0-liter I-6 (premium) - 265-hp, 3.0-liter I-6 (diesel) - 350-hp, 4.8-liter V-8 (premium)				
0474	4	265-hp, 3.0-liter I-6 (diesel)	300-hp, 3.0-liter I-6 (premium)	400-hp, 4.4-liter V-8 (premium)	265-hp, 3.0-liter I-6 (diesel) - 300-hp, 3.0-liter I-6 (premium) - 400-hp, 4.4-liter V-8 (premium)				
0480	4	255-hp, 3.0-liter I-6 (premium)	300-hp, 3.0-liter I-6 (premium)	335-hp, 3.0-liter I-6 (premium)	255-hp, 3.0-liter I-6 (premium) - 300-hp, 3.0-liter I-6 (premium) - 335-hp, 3.0-liter I-6 (premium)				
0493	4	169-hp, 2.5-liter I-4 (regular gas)	179-hp, 2.5-liter I-4 (regular gas)	268-hp, 3.5-liter V-6 (regular gas)	169-hp, 2.5-liter I-4 (regular gas) - 179-hp, 2.5-liter I-4 (regular gas) - 268-hp, 3.5-liter V-6 (regular gas)				
0499	4	169-hp, 2.5-liter I-4 (regular gas)	179-hp, 2.5-liter I-4 (regular gas)	268-hp, 3.5-liter V-6 (regular gas)	169-hp, 2.5-liter I-4 (regular gas) - 179-hp, 2.5-liter I-4 (regular gas) - 268-hp, 3.5-liter V-6 (regular gas)				
0514	4	310-hp, 4.6-liter V-8 (regular gas)	381-hp, 5.7-liter V-8 (flexible; E85)	381-hp, 5.7-liter V-8 (regular gas)	310-hp, 4.6-liter V-8 (regular gas) - 381-hp, 5.7-liter V-8 (flexible; E85) - 381-hp, 5.7-liter V-8 (regular gas)				
0515	4	310-hp, 4.6-liter V-8 (regular gas)	381-hp, 5.7-liter V-8 (flexible; E85)	381-hp, 5.7-liter V-8 (regular gas)	310-hp, 4.6-liter V-8 (regular gas) - 381-hp, 5.7-liter V-8 (flexible; E85) - 381-hp, 5.7-liter V-8 (regular gas)				
0528	4	115-hp, 2.0-liter I-4 (regular gas)	140-hp, 2.0-liter I-4 (diesel)	170-hp, 2.5-liter I-5 (regular gas)	115-hp, 2.0-liter I-4 (regular gas) - 140-hp, 2.0-liter I-4 (diesel) - 170-hp, 2.5-liter I-5 (regular gas)				
0536	4	140-hp, 2.0-liter I-4 (diesel)	170-hp, 2.5-liter I-5 (regular gas)	200-hp, 2.0-liter I-4 (premium)	140-hp, 2.0-liter I-4 (diesel) - 170-hp, 2.5-liter I-5 (regular gas) - 200-hp, 2.0-liter I-4 (premium)				
0543	4	225-hp, 3.2-liter I-6 (premium)	235-hp, 3.2-liter I-6 (premium)	281-hp, 3.0-liter I-6 (premium)	225-hp, 3.2-liter I-6 (premium) - 235-hp, 3.2-liter I-6 (premium) - 281-hp, 3.0-liter I-6 (premium)				
0552	4	230-hp, 3.2-liter I-6 (premium)	240-hp, 3.2-liter I-6 (premium)	300-hp, 3.0-liter I-6 (premium)	230-hp, 3.2-liter I-6 (premium) - 240-hp, 3.2-liter I-6 (premium) - 300-hp, 3.0-liter I-6 (premium)				
0556	4	230-hp, 3.2-liter I-6 (premium)	240-hp, 3.2-liter I-6 (premium)	300-hp, 3.0-liter I-6 (premium)	230-hp, 3.2-liter I-6 (premium) - 240-hp, 3.2-liter I-6 (premium) - 300-hp, 3.0-liter I-6 (premium)				
0557	4	225-hp, 3.2-liter I-6 (premium)	235-hp, 3.2-liter I-6 (premium)	281-hp, 3.0-liter I-6 (premium)	225-hp, 3.2-liter I-6 (premium) - 235-hp, 3.2-liter I-6 (premium) - 281-hp, 3.0-liter I-6 (premium)				
0558	4	230-hp, 3.2-liter I-6 (premium)	240-hp, 3.2-liter I-6 (premium)	300-hp, 3.0-liter I-6 (premium)	230-hp, 3.2-liter I-6 (premium) - 240-hp, 3.2-liter I-6 (premium) - 300-hp, 3.0-liter I-6 (premium)				
0560	4	230-hp, 3.2-liter I-6 (premium)	240-hp, 3.2-liter I-6 (premium)	311-hp, 4.4-liter V-8 (premium)	230-hp, 3.2-liter I-6 (premium) - 240-hp, 3.2-liter I-6 (premium) - 311-hp, 4.4-liter V-8 (premium)				
0566	4	219-hp, 3.9-liter V-6 (regular gas)	227-hp, 3.9-liter V-6 (flexible; E85)	292-hp, 4.6-liter V-8 (regular gas)	219-hp, 3.9-liter V-6 (regular gas) - 227-hp, 3.9-liter V-6 (flexible; E85) - 292-hp, 4.6-liter V-8 (regular gas)				
0584	4	304-hp, 3.6-liter V-6 (regular gas)	400-hp, 6.2-liter V-8 (premium)	426-hp, 6.2-liter V-8 (premium)	304-hp, 3.6-liter V-6 (regular gas) - 400-hp, 6.2-liter V-8 (premium) - 426-hp, 6.2-liter V-8 (premium)				
0588	4	335-hp, 6.6-liter V-8 (diesel)	360-hp, 6.0-liter V-8 (regular gas)	397-hp, 6.6-liter V-8 (diesel)	335-hp, 6.6-liter V-8 (diesel) - 360-hp, 6.0-liter V-8 (regular gas) - 397-hp, 6.6-liter V-8 (diesel)				
0589	4	322-hp, 6.0-liter V-8 (regular gas)	335-hp, 6.6-liter V-8 (diesel)	397-hp, 6.6-liter V-8 (diesel)	322-hp, 6.0-liter V-8 (regular gas) - 335-hp, 6.6-liter V-8 (diesel) - 397-hp, 6.6-liter V-8 (diesel)				
0594	4	312-hp, 3.6-liter V-6 (regular gas)	400-hp, 6.2-liter V-8 (premium)	426-hp, 6.2-liter V-8 (premium)	312-hp, 3.6-liter V-6 (regular gas) - 400-hp, 6.2-liter V-8 (premium) - 426-hp, 6.2-liter V-8 (premium)				
0596	4	185-hp, 2.9-liter I-4 (regular gas)	242-hp, 3.7-liter I-5 (regular gas)	300-hp, 5.3-liter V-8 (flexible; E85)	185-hp, 2.9-liter I-4 (regular gas) - 242-hp, 3.7-liter I-5 (regular gas) - 300-hp, 5.3-liter V-8 (flexible; E85)				
0597	4	185-hp, 2.9-liter I-4 (regular gas)	242-hp, 3.7-liter I-5 (regular gas)	300-hp, 5.3-liter V-8 (flexible; E85)	185-hp, 2.9-liter I-4 (regular gas) - 242-hp, 3.7-liter I-5 (regular gas) - 300-hp, 5.3-liter V-8 (flexible; E85)				
0603	4	250-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	323-hp, 6.0-liter V-8 (flexible; E85)	250-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 323-hp, 6.0-liter V-8 (flexible; E85)				
0604	4	260-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	324-hp, 6.0-liter V-8 (flexible; E85)	260-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 324-hp, 6.0-liter V-8 (flexible; E85)				
0605	4	250-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	323-hp, 6.0-liter V-8 (flexible; E85)	250-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 323-hp, 6.0-liter V-8 (flexible; E85)				
0606	4	260-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	324-hp, 6.0-liter V-8 (flexible; E85)	260-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 324-hp, 6.0-liter V-8 (flexible; E85)				
0609	4	207-hp, 3.5-liter V-6 (regular gas)	211-hp, 3.5-liter V-6 (flexible; E85)	230-hp, 3.9-liter V-6 (flexible; E85)	207-hp, 3.5-liter V-6 (regular gas) - 211-hp, 3.5-liter V-6 (flexible; E85) - 230-hp, 3.9-liter V-6 (flexible; E85)				
0617	4	312-hp, 6.0-liter V-8 (regular gas)	360-hp, 6.0-liter V-8 (regular gas)	365-hp, 6.6-liter V-8 (diesel)	312-hp, 6.0-liter V-8 (regular gas) - 360-hp, 6.0-liter V-8 (regular gas) - 365-hp, 6.6-liter V-8 (diesel)				
0633	4	175-hp, 3.3-liter V-6 (flexible; E85)	197-hp, 3.8-liter V-6 (regular gas)	251-hp, 4.0-liter V-6 (regular gas)	175-hp, 3.3-liter V-6 (flexible; E85) - 197-hp, 3.8-liter V-6 (regular gas) - 251-hp, 4.0-liter V-6 (regular gas)				
0636	4	173-hp, 2.4-liter I-4 (regular gas)	235-hp, 3.5-liter V-6 (flexible; E85)	235-hp, 3.5-liter V-6 (regular gas)	173-hp, 2.4-liter I-4 (regular gas) - 235-hp, 3.5-liter V-6 (flexible; E85) - 235-hp, 3.5-liter V-6 (regular gas)				
0641	4	178-hp, 2.7-liter V-6 (regular gas)	250-hp, 3.5-liter V-6 (regular gas)	368-hp, 5.7-liter V-8 (regular gas)	178-hp, 2.7-liter V-6 (regular gas) - 250-hp, 3.5-liter V-6 (regular gas) - 368-hp, 5.7-liter V-8 (regular gas)				
0645	4	290-hp, 3.6-liter V-6 (flexible; E85)	290-hp, 3.6-liter V-6 (regular gas)	360-hp, 5.7-liter V-8 (regular gas)	290-hp, 3.6-liter V-6 (flexible; E85) - 290-hp, 3.6-liter V-6 (regular gas) - 360-hp, 5.7-liter V-8 (regular gas)				
0646	4	175-hp, 3.3-liter V-6 (flexible; E85)	197-hp, 3.8-liter V-6 (regular gas)	251-hp, 4.0-liter V-6 (regular gas)	175-hp, 3.3-liter V-6 (flexible; E85) - 197-hp, 3.8-liter V-6 (regular gas) - 251-hp, 4.0-liter V-6 (regular gas)				
0649	4	173-hp, 2.4-liter I-4 (regular gas)	283-hp, 3.6-liter V-6 (flexible; E85)	283-hp, 3.6-liter V-6 (regular gas)	173-hp, 2.4-liter I-4 (regular gas) - 283-hp, 3.6-liter V-6 (flexible; E85) - 283-hp, 3.6-liter V-6 (regular gas)				
0652	4	215-hp, 3.7-liter V-6 (regular gas)	310-hp, 4.7-liter V-8 (flexible; E85)	390-hp, 5.7-liter V-8 (regular gas)	215-hp, 3.7-liter V-6 (regular gas) - 310-hp, 4.7-liter V-8 (flexible; E85) - 390-hp, 5.7-liter V-8 (regular gas)				
0653	4	215-hp, 3.7-liter V-6 (regular gas)	310-hp, 4.7-liter V-8 (flexible; E85)	390-hp, 5.7-liter V-8 (regular gas)	215-hp, 3.7-liter V-6 (regular gas) - 310-hp, 4.7-liter V-8 (flexible; E85) - 390-hp, 5.7-liter V-8 (regular gas)				
0002	3	201-hp, 2.4-liter I-4 (premium)	280-hp, 3.5-liter V-6 (premium)	201-hp, 2.4-liter I-4 (premium) - 280-hp, 3.5-liter V-6 (premium)					
0007	3	280-hp, 3.5-liter V-6 (premium)	305-hp, 3.7-liter V-6 (premium)	280-hp, 3.5-liter V-6 (premium) - 305-hp, 3.7-liter V-6 (premium)					
0008	3	280-hp, 3.5-liter V-6 (premium)	305-hp, 3.7-liter V-6 (premium)	280-hp, 3.5-liter V-6 (premium) - 305-hp, 3.7-liter V-6 (premium)					
0009	3	201-hp, 2.4-liter I-4 (premium)	280-hp, 3.5-liter V-6 (premium)	201-hp, 2.4-liter I-4 (premium) - 280-hp, 3.5-liter V-6 (premium)					
0021	3	285-hp, 3.5-liter V-6 (regular gas)	305-hp, 3.7-liter V-6 (regular gas)	285-hp, 3.5-liter V-6 (regular gas) - 305-hp, 3.7-liter V-6 (regular gas)					
0022	3	237-hp, 2.0-liter I-4 (regular gas)	290-hp, 3.5-liter V-6 (regular gas)	237-hp, 2.0-liter I-4 (regular gas) - 290-hp, 3.5-liter V-6 (regular gas)					
0023	3	385-hp, 6.2-liter V-8 (flexible; E85)	400-hp, 6.7-liter V-8 (diesel)	385-hp, 6.2-liter V-8 (flexible; E85) - 400-hp, 6.7-liter V-8 (diesel)					
0027	3	210-hp, 4.0-liter V-6 (regular gas)	315-hp, 4.6-liter V-8 (regular gas)	210-hp, 4.0-liter V-6 (regular gas) - 315-hp, 4.6-liter V-8 (regular gas)					
0028	3	305-hp, 3.7-liter V-6 (regular gas)	412-hp, 5.0-liter V-8 (premium)	305-hp, 3.7-liter V-6 (regular gas) - 412-hp, 5.0-liter V-8 (premium)					
0029	3	263-hp, 3.5-liter V-6 (regular gas)	365-hp, 3.5-liter V-6 (premium)	263-hp, 3.5-liter V-6 (regular gas) - 365-hp, 3.5-liter V-6 (premium)					
0030	3	225-hp, 4.6-liter V-8 (flexible; E85)	255-hp, 5.4-liter V-8 (flexible; E85)	225-hp, 4.6-liter V-8 (flexible; E85) - 255-hp, 5.4-liter V-8 (flexible; E85)					
0031	3	225-hp, 4.6-liter V-8 (flexible; E85)	255-hp, 5.4-liter V-8 (flexible; E85)	225-hp, 4.6-liter V-8 (flexible; E85) - 255-hp, 5.4-liter V-8 (flexible; E85)					
0032	3	225-hp, 4.6-liter V-8 (flexible; E85)	255-hp, 5.4-liter V-8 (flexible; E85)	225-hp, 4.6-liter V-8 (flexible; E85) - 255-hp, 5.4-liter V-8 (flexible; E85)					
0033	3	225-hp, 4.6-liter V-8 (flexible; E85)	255-hp, 5.4-liter V-8 (flexible; E85)	225-hp, 4.6-liter V-8 (flexible; E85) - 255-hp, 5.4-liter V-8 (flexible; E85)					
0037	3	171-hp, 2.5-liter I-4 (regular gas)	240-hp, 3.0-liter V-6 (flexible; E85)	171-hp, 2.5-liter I-4 (regular gas) - 240-hp, 3.0-liter V-6 (flexible; E85)					
0038	3	171-hp, 2.5-liter I-4 (regular gas)	240-hp, 3.0-liter V-6 (flexible; E85)	171-hp, 2.5-liter I-4 (regular gas) - 240-hp, 3.0-liter V-6 (flexible; E85)					
0045	3	210-hp, 4.0-liter V-6 (regular gas)	292-hp, 4.6-liter V-8 (regular gas)	210-hp, 4.0-liter V-6 (regular gas) - 292-hp, 4.6-liter V-8 (regular gas)					
0046	3	210-hp, 4.0-liter V-6 (regular gas)	292-hp, 4.6-liter V-8 (regular gas)	210-hp, 4.0-liter V-6 (regular gas) - 292-hp, 4.6-liter V-8 (regular gas)					
0052	3	262-hp, 3.5-liter V-6 (regular gas)	355-hp, 3.5-liter V-6 (premium)	262-hp, 3.5-liter V-6 (regular gas) - 355-hp, 3.5-liter V-6 (premium)					
0053	3	262-hp, 3.5-liter V-6 (regular gas)	355-hp, 3.5-liter V-6 (premium)	262-hp, 3.5-liter V-6 (regular gas) - 355-hp, 3.5-liter V-6 (premium)					
0055	3	132-hp, 2.0-liter I-4 (regular gas)	140-hp, 2.0-liter I-4 (regular gas)	132-hp, 2.0-liter I-4 (regular gas) - 140-hp, 2.0-liter I-4 (regular gas)					
0058	3	143-hp, 2.3-liter I-4 (regular gas)	207-hp, 4.0-liter V-6 (regular gas)	143-hp, 2.3-liter I-4 (regular gas) - 207-hp, 4.0-liter V-6 (regular gas)					
0059	3	143-hp, 2.3-liter I-4 (regular gas)	207-hp, 4.0-liter V-6 (regular gas)	143-hp, 2.3-liter I-4 (regular gas) - 207-hp, 4.0-liter V-6 (regular gas)					
0060	3	263-hp, 3.5-liter V-6 (regular gas)	365-hp, 3.5-liter V-6 (premium)	263-hp, 3.5-liter V-6 (regular gas) - 365-hp, 3.5-liter V-6 (premium)					
0062	3	182-hp, 2.4-liter I-4 (regular gas)	264-hp, 3.0-liter V-6 (regular gas)	182-hp, 2.4-liter I-4 (regular gas) - 264-hp, 3.0-liter V-6 (regular gas)					
0069	3	195-hp, 4.3-liter V-6 (regular gas)	310-hp, 5.3-liter V-8 (flexible; E85)	195-hp, 4.3-liter V-6 (regular gas) - 310-hp, 5.3-liter V-8 (flexible; E85)					
0070	3	195-hp, 4.3-liter V-6 (regular gas)	310-hp, 5.3-liter V-8 (flexible; E85)	195-hp, 4.3-liter V-6 (regular gas) - 310-hp, 5.3-liter V-8 (flexible; E85)					
0082	3	320-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	320-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)					
0083	3	320-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	320-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)					
0087	3	320-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	320-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)					
0095	3	140-hp, 1.8-liter I-4 (regular gas)	197-hp, 2.0-liter I-4 (premium)	140-hp, 1.8-liter I-4 (regular gas) - 197-hp, 2.0-liter I-4 (premium)					
0108	3	239-hp, 3.7-liter I-5 (regular gas)	300-hp, 5.3-liter V-8 (flexible; E85)	239-hp, 3.7-liter I-5 (regular gas) - 300-hp, 5.3-liter V-8 (flexible; E85)					
0109	3	239-hp, 3.7-liter I-5 (regular gas)	300-hp, 5.3-liter V-8 (flexible; E85)	239-hp, 3.7-liter I-5 (regular gas) - 300-hp, 5.3-liter V-8 (flexible; E85)					
0111	3	210-hp, 2.0-liter I-4 (regular gas)	306-hp, 3.8-liter V-6 (regular gas)	210-hp, 2.0-liter I-4 (regular gas) - 306-hp, 3.8-liter V-6 (regular gas)					
0113	3	260-hp, 3.3-liter V-6 (regular gas)	283-hp, 3.8-liter V-6 (regular gas)	260-hp, 3.3-liter V-6 (regular gas) - 283-hp, 3.8-liter V-6 (regular gas)					
0114	3	175-hp, 2.4-liter I-4 (regular gas)	276-hp, 3.5-liter V-6 (regular gas)	175-hp, 2.4-liter I-4 (regular gas) - 276-hp, 3.5-liter V-6 (regular gas)					
0118	3	234-hp, 3.3-liter V-6 (regular gas)	263-hp, 3.8-liter V-6 (regular gas)	234-hp, 3.3-liter V-6 (regular gas) - 263-hp, 3.8-liter V-6 (regular gas)					
0119	3	132-hp, 2.0-liter I-4 (regular gas)	138-hp, 2.0-liter I-4 (regular gas)	132-hp, 2.0-liter I-4 (regular gas) - 138-hp, 2.0-liter I-4 (regular gas)					
0122	3	290-hp, 3.8-liter V-6 (regular gas)	375-hp, 4.6-liter V-8 (premium)	290-hp, 3.8-liter V-6 (regular gas) - 375-hp, 4.6-liter V-8 (premium)					
0123	3	290-hp, 3.8-liter V-6 (regular gas)	385-hp, 4.6-liter V-8 (premium)	290-hp, 3.8-liter V-6 (regular gas) - 385-hp, 4.6-liter V-8 (premium)					
0124	3	210-hp, 2.0-liter I-4 (regular gas)	306-hp, 3.8-liter V-6 (regular gas)	210-hp, 2.0-liter I-4 (regular gas) - 306-hp, 3.8-liter V-6 (regular gas)					
0125	3	175-hp, 2.4-liter I-4 (regular gas)	276-hp, 3.5-liter V-6 (regular gas)	175-hp, 2.4-liter I-4 (regular gas) - 276-hp, 3.5-liter V-6 (regular gas)					
0127	3	170-hp, 2.4-liter I-4 (regular gas)	176-hp, 2.4-liter I-4 (regular gas)	170-hp, 2.4-liter I-4 (regular gas) - 176-hp, 2.4-liter I-4 (regular gas)					
0150	3	385-hp, 5.0-liter V-8 (premium)	510-hp, 5.0-liter V-8 (premium)	385-hp, 5.0-liter V-8 (premium) - 510-hp, 5.0-liter V-8 (premium)					
0151	3	385-hp, 5.0-liter V-8 (premium)	510-hp, 5.0-liter V-8 (premium)	385-hp, 5.0-liter V-8 (premium) - 510-hp, 5.0-liter V-8 (premium)					
0152	3	290-hp, 3.6-liter V-6 (flexible; E85)	360-hp, 5.7-liter V-8 (regular gas)	290-hp, 3.6-liter V-6 (flexible; E85) - 360-hp, 5.7-liter V-8 (regular gas)					
0153	3	210-hp, 3.7-liter V-6 (regular gas)	357-hp, 5.7-liter V-8 (regular gas)	210-hp, 3.7-liter V-6 (regular gas) - 357-hp, 5.7-liter V-8 (regular gas)					
0154	3	158-hp, 2.0-liter I-4 (regular gas)	172-hp, 2.4-liter I-4 (regular gas)	158-hp, 2.0-liter I-4 (regular gas) - 172-hp, 2.4-liter I-4 (regular gas)					
0158	3	158-hp, 2.0-liter I-4 (regular gas)	172-hp, 2.4-liter I-4 (regular gas)	158-hp, 2.0-liter I-4 (regular gas) - 172-hp, 2.4-liter I-4 (regular gas)					
0159	3	158-hp, 2.0-liter I-4 (regular gas)	172-hp, 2.4-liter I-4 (regular gas)	158-hp, 2.0-liter I-4 (regular gas) - 172-hp, 2.4-liter I-4 (regular gas)					
0164	3	156-hp, 2.0-liter I-4 (regular gas)	173-hp, 2.4-liter I-4 (regular gas)	156-hp, 2.0-liter I-4 (regular gas) - 173-hp, 2.4-liter I-4 (regular gas)					
0165	3	156-hp, 2.0-liter I-4 (regular gas)	173-hp, 2.4-liter I-4 (regular gas)	156-hp, 2.0-liter I-4 (regular gas) - 173-hp, 2.4-liter I-4 (regular gas)					
0166	3	122-hp, 1.6-liter I-4 (regular gas)	142-hp, 2.0-liter I-4 (regular gas)	122-hp, 1.6-liter I-4 (regular gas) - 142-hp, 2.0-liter I-4 (regular gas)					
0168	3	175-hp, 2.4-liter I-4 (regular gas)	276-hp, 3.5-liter V-6 (regular gas)	175-hp, 2.4-liter I-4 (regular gas) - 276-hp, 3.5-liter V-6 (regular gas)					
0169	3	176-hp, 2.0-liter I-4 (regular gas)	176-hp, 2.4-liter I-4 (regular gas)	176-hp, 2.0-liter I-4 (regular gas) - 176-hp, 2.4-liter I-4 (regular gas)					
0172	3	175-hp, 2.4-liter I-4 (regular gas)	194-hp, 2.7-liter V-6 (regular gas)	175-hp, 2.4-liter I-4 (regular gas) - 194-hp, 2.7-liter V-6 (regular gas)					
0180	3	122-hp, 1.6-liter I-4 (regular gas)	142-hp, 2.0-liter I-4 (regular gas)	122-hp, 1.6-liter I-4 (regular gas) - 142-hp, 2.0-liter I-4 (regular gas)					
0181	3	140-hp, 2.0-liter I-4 (regular gas)	173-hp, 2.7-liter V-6 (regular gas)	140-hp, 2.0-liter I-4 (regular gas) - 173-hp, 2.7-liter V-6 (regular gas)					
0184	3	430-hp, 4.2-liter V-8 (premium)	525-hp, 5.2-liter V-10 (premium)	430-hp, 4.2-liter V-8 (premium) - 525-hp, 5.2-liter V-10 (premium)					
0188	3	140-hp, 2.0-liter I-4 (diesel)	200-hp, 2.0-liter I-4 (premium)	140-hp, 2.0-liter I-4 (diesel) - 200-hp, 2.0-liter I-4 (premium)					
0189	3	140-hp, 2.0-liter I-4 (diesel)	200-hp, 2.0-liter I-4 (premium)	140-hp, 2.0-liter I-4 (diesel) - 200-hp, 2.0-liter I-4 (premium)					
0192	3	211-hp, 2.0-liter I-4 (premium)	265-hp, 3.2-liter V-6 (premium)	211-hp, 2.0-liter I-4 (premium) - 265-hp, 3.2-liter V-6 (premium)					
0195	3	265-hp, 3.2-liter V-6 (premium)	300-hp, 3.0-liter V-6 (premium)	265-hp, 3.2-liter V-6 (premium) - 300-hp, 3.0-liter V-6 (premium)					
0198	3	211-hp, 2.0-liter I-4 (premium)	270-hp, 3.2-liter V-6 (premium)	211-hp, 2.0-liter I-4 (premium) - 270-hp, 3.2-liter V-6 (premium)					
0200	3	420-hp, 4.2-liter V-8 (premium)	525-hp, 5.2-liter V-10 (premium)	420-hp, 4.2-liter V-8 (premium) - 525-hp, 5.2-liter V-10 (premium)					
0202	3	333-hp, 3.0-liter V-6 (premium)	354-hp, 4.2-liter V-8 (premium)	333-hp, 3.0-liter V-6 (premium) - 354-hp, 4.2-liter V-8 (premium)					
0203	3	333-hp, 3.0-liter V-6 (premium)	354-hp, 4.2-liter V-8 (premium)	333-hp, 3.0-liter V-6 (premium) - 354-hp, 4.2-liter V-8 (premium)					
0208	3	543-hp, 5.2-liter V-10 (premium)	552-hp, 5.2-liter V-10 (premium)	543-hp, 5.2-liter V-10 (premium) - 552-hp, 5.2-liter V-10 (premium)					
