book	booksamillion	author				
0938	3	E. B. White	Garth Williams	E. B. White - Garth Williams		
0953	3	Tom Rath	Jim Harter	Tom Rath - Jim Harter		
0957	3	John Grisham	Michael Beck	John Grisham - Michael Beck		
0960	3	Peter J. D'Adamo	Catherine Whitney	Peter J. D'Adamo - Catherine Whitney		
0964	3	Vince Flynn	Armand Schultz	Vince Flynn - Armand Schultz		
0965	3	William Prochnau	Laura Parker	William Prochnau - Laura Parker		
0970	3	Antoine de Saint-Exupery	Richard Howard	Antoine de Saint-Exupery - Richard Howard		
0972	3	Stan Berenstain	Jan Berenstain	Stan Berenstain - Jan Berenstain		
0974	3	Brian Herbert	Kevin J. Anderson	Brian Herbert - Kevin J. Anderson		
0994	3	Henry Cloud	John Townsend	Henry Cloud - John Townsend		
0997	3	R. V. Burgin	Bill Marvel	R. V. Burgin - Bill Marvel		
1007	3	Janet Evanovich	Charlotte Hughes	Janet Evanovich - Charlotte Hughes		
1009	3	A. N. Roquelaure	Anne Rice	A. N. Roquelaure - Anne Rice		
1011	3	Christine Feehan	Phil Gigante	Christine Feehan - Phil Gigante		
1013	3	Dan Gutman	Jim Paillot	Dan Gutman - Jim Paillot		
1014	3	Jeff Foxworthy	Steve Bjorkman	Jeff Foxworthy - Steve Bjorkman		
1015	3	Frank Viola	George Barna	Frank Viola - George Barna		
1019	3	Barbara Park	Denise Brunkus	Barbara Park - Denise Brunkus		
1020	3	John L. Bull	John Farrand	John L. Bull - John Farrand		
1025	3	Tim F. LaHaye	Jerry B. Jenkins	Tim F. LaHaye - Jerry B. Jenkins		
1029	3	William Kamkwamba	Bryan Mealer	William Kamkwamba - Bryan Mealer		
1038	3	Jack London	Gary Paulsen	Jack London - Gary Paulsen		
1039	3	Barbara Park	Denise Brunkus	Barbara Park - Denise Brunkus		
1043	3	P. C. Cast	Leah Wilson	P. C. Cast - Leah Wilson		
1046	3	James Patterson	Andrew Gross	James Patterson - Andrew Gross		
1047	3	Heidi Eisenberg Murkoff	Sharon Mazel	Heidi Eisenberg Murkoff - Sharon Mazel		
1049	3	Alec Greven	Kei Acedera	Alec Greven - Kei Acedera		
1050	3	Iris Johansen	Jennifer Van Dyck	Iris Johansen - Jennifer Van Dyck		
1060	3	Betty Edwards	Jeremy P. Tarcher	Betty Edwards - Jeremy P. Tarcher		
1072	3	Carolyn Chapman	Rainbow Bridge Publishing	Carolyn Chapman - Rainbow Bridge Publishing		
1080	3	Jay Dobyns	Nils Johnson-shelton	Jay Dobyns - Nils Johnson-shelton		
1082	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
1088	3	Patricia Daniels Cornwell	Kate Reading	Patricia Daniels Cornwell - Kate Reading		
1091	3	Sherrilyn Kenyon	Dianna Love	Sherrilyn Kenyon - Dianna Love		
1098	3	Janet Evanovich	Charlotte Hughes	Janet Evanovich - Charlotte Hughes		
1103	3	Greg Behrendt	Liz Tuccillo	Greg Behrendt - Liz Tuccillo		
1113	3	William W. Johnstone	J. A. Johnstone	William W. Johnstone - J. A. Johnstone		
1114	3	Fern Michaels	Laural Merlington	Fern Michaels - Laural Merlington		
1115	3	David Zinczenko	Ted Spiker	David Zinczenko - Ted Spiker		
1116	3	Brandon Mull	Brandon Dorman	Brandon Mull - Brandon Dorman		
1120	3	Bette Lord	Marc Simont	Bette Lord - Marc Simont		
1125	3	Jane O'Connor	Robin Preiss-Glasser	Jane O'Connor - Robin Preiss-Glasser		
1137	3	Dean R. Koontz	Jeffrey Cummings	Dean R. Koontz - Jeffrey Cummings		
1143	3	Craig Dorfman	Cristina Ong	Craig Dorfman - Cristina Ong		
1150	3	Randy O. Frost	Gail Steketee	Randy O. Frost - Gail Steketee		
1151	3	Janet Evanovich	Charlotte Hughes	Janet Evanovich - Charlotte Hughes		
1160	3	Doreen Cronin	Betsy Lewin	Doreen Cronin - Betsy Lewin		
1169	3	James M. Kouzes	Barry Z. Posner	James M. Kouzes - Barry Z. Posner		
1174	3	Alexandre Dumas	Lowell Blair	Alexandre Dumas - Lowell Blair		
1176	3	JR. Thomas E. Woods	Ron Paul	JR. Thomas E. Woods - Ron Paul		
1177	3	Jim Lahey	Rick Flaste	Jim Lahey - Rick Flaste		
1181	3	James Patterson	Peter De Jonge	James Patterson - Peter De Jonge		
1182	3	Matthew Reinhart	Robert Sabuda	Matthew Reinhart - Robert Sabuda		
1188	3	Peggy Parish	Lynn Sweat	Peggy Parish - Lynn Sweat		
1194	3	Edward C. Baig	Bob Levitus	Edward C. Baig - Bob Levitus		
1198	3	Douglas Preston	Lincoln Child	Douglas Preston - Lincoln Child		
1209	3	Anthony DeStefano	Mark Elliott	Anthony DeStefano - Mark Elliott		
1215	3	Brent Curtis	John Eldredge	Brent Curtis - John Eldredge		
1218	3	Lee Child	Dick Hill	Lee Child - Dick Hill		
1219	3	John Gray	Hyla Cass	John Gray - Hyla Cass		
1222	3	Barbara B. Hodgson	Robert J. Kizior	Barbara B. Hodgson - Robert J. Kizior		
1228	3	Shinobu Ohtaka	Stephen Paul	Shinobu Ohtaka - Stephen Paul		
1229	3	Neil Gaiman	Al Sarrantonio	Neil Gaiman - Al Sarrantonio		
1230	3	Murray Shukyn	Dale E. Shuttleworth	Murray Shukyn - Dale E. Shuttleworth		
1234	3	Myra Perrine	Gary Thomas	Myra Perrine - Gary Thomas		
1239	3	Marissa Cloutier	Eve Adamson	Marissa Cloutier - Eve Adamson		
1240	3	Miguel Ruiz	Peter Coyote	Miguel Ruiz - Peter Coyote		
1246	3	Todd Bridges	Sarah Tomlinson	Todd Bridges - Sarah Tomlinson		
1249	3	Tom Rath	Donald O. Clifton	Tom Rath - Donald O. Clifton		
1253	3	Gary Ezzo	Robert Bucknam	Gary Ezzo - Robert Bucknam		
1254	3	Frances Hodgson Burnett	E. L. Konigsburg	Frances Hodgson Burnett - E. L. Konigsburg		
1263	3	Nelson DeMille	Scott Brick	Nelson DeMille - Scott Brick		
1268	3	Bobby Lynn Maslen	John R. Maslen	Bobby Lynn Maslen - John R. Maslen		
1269	3	Greg Mortenson	David Oliver Relin	Greg Mortenson - David Oliver Relin		
1274	3	Laurell K. Hamilton	Leah Wilson	Laurell K. Hamilton - Leah Wilson		
1275	3	Ruby Gettinger	Sheryl Berk	Ruby Gettinger - Sheryl Berk		
1277	3	Melissa G. Moore	M. Bridget Cook	Melissa G. Moore - M. Bridget Cook		
1280	3	Margaret Mitchell	Pat Conroy	Margaret Mitchell - Pat Conroy		
1282	3	Janet Evanovich	Leanne Banks	Janet Evanovich - Leanne Banks		
1283	3	Paul D. Tieger	Barbara Barron	Paul D. Tieger - Barbara Barron		
1291	3	Lynne Reid Banks	Brock Cole	Lynne Reid Banks - Brock Cole		
1293	3	Janet Taylor Lisle	David Frankland	Janet Taylor Lisle - David Frankland		
1299	3	Tony DiTerlizzi	Holly Black	Tony DiTerlizzi - Holly Black		
1306	3	Eric Swanson	Rick Rusaw	Eric Swanson - Rick Rusaw		
1313	3	Slash	Anthony Bozza	Slash - Anthony Bozza		
1325	3	Randy Wayne White	Dick Hill	Randy Wayne White - Dick Hill		
1337	3	Connie Mariano	William J. Clinton	Connie Mariano - William J. Clinton		
1338	3	Tina Turner	Kurt Loder	Tina Turner - Kurt Loder		
1339	3	Michael Lang	Holly George-Warren	Michael Lang - Holly George-Warren		
1343	3	Doug Fields	III John R. Kohlenberger	Doug Fields - III John R. Kohlenberger		
1349	3	Slash	Anthony Bozza	Slash - Anthony Bozza		
1350	3	Wahida Clark	Kiki Swinson	Wahida Clark - Kiki Swinson		
1355	3	Les Beletsky	Jon L. Dunn	Les Beletsky - Jon L. Dunn		
1358	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
1359	3	Barbara Park	Denise Brunkus	Barbara Park - Denise Brunkus		
1365	3	Emily Sollinger	Guy Wolek	Emily Sollinger - Guy Wolek		
1371	3	Clement Clarke Moore	Jon Goodell	Clement Clarke Moore - Jon Goodell		
1373	3	Clive Cussler	Dirk Cussler	Clive Cussler - Dirk Cussler		
1377	3	Douglas J. Preston	Lincoln Child	Douglas J. Preston - Lincoln Child		
1380	3	Watchman Nee	Stephen Kaung	Watchman Nee - Stephen Kaung		
1384	3	Karen Kingsbury	Gary Smalley	Karen Kingsbury - Gary Smalley		
1395	3	Julia Ann Hobbs	Carla Fisher	Julia Ann Hobbs - Carla Fisher		
1398	3	Doyle Brunson	Allan Goldberg	Doyle Brunson - Allan Goldberg		
1406	3	Lucille O'neal	Allison Samuels	Lucille O'neal - Allison Samuels		
1407	3	Anne McCaffrey	Elizabeth Ann Scarborough	Anne McCaffrey - Elizabeth Ann Scarborough		
1420	3	Bruce Wilkinson	David Kopp	Bruce Wilkinson - David Kopp		
1424	3	Audrey Wood	Don Wood	Audrey Wood - Don Wood		
1425	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
1426	3	Douglas J. Preston	Lincoln Child	Douglas J. Preston - Lincoln Child		
1433	3	Atsushi Ohkubo	Amy Forsyth	Atsushi Ohkubo - Amy Forsyth		
1436	3	Dean R. Koontz	David Aaron Baker	Dean R. Koontz - David Aaron Baker		
1443	3	E. B. White	Garth Williams	E. B. White - Garth Williams		
1447	3	Patti Kelley Criswell	Angela Martini	Patti Kelley Criswell - Angela Martini		
1457	3	Jack Coughlin	Donald A. Davis	Jack Coughlin - Donald A. Davis		
1464	3	Jane Yolen	Mark Teague	Jane Yolen - Mark Teague		
1474	3	Sharon Lee	Steve Miller	Sharon Lee - Steve Miller		
1492	3	Marc K. Wallack	Jamie Colby	Marc K. Wallack - Jamie Colby		
1498	3	Mary Higgins Clark	Carol Higgins Clark	Mary Higgins Clark - Carol Higgins Clark		
1502	3	Rodd Wagner	James K. Harter	Rodd Wagner - James K. Harter		
1506	3	Barbara Park	Denise Brunkus	Barbara Park - Denise Brunkus		
1507	3	Eliot Wigginton	Eliot Wiggington	Eliot Wigginton - Eliot Wiggington		
1508	3	Michael Phelps	Alan Abrahamson	Michael Phelps - Alan Abrahamson		
1511	3	William Shakespeare	Jacqueline Ritten	William Shakespeare - Jacqueline Ritten		
1517	3	Pope Benedict XVI	Joseph Cardinal Ratzinger	Pope Benedict XVI - Joseph Cardinal Ratzinger		
1519	3	Julie Aigner-Clark	Nadeem Zaidi	Julie Aigner-Clark - Nadeem Zaidi		
1529	3	Diana Palmer	Phil Gigante	Diana Palmer - Phil Gigante		
1537	3	Michael Connelly	Peter Giles	Michael Connelly - Peter Giles		
1545	3	Alison McGhee	Peter Reynolds	Alison McGhee - Peter Reynolds		
1556	3	Larry Munson	Tony Barnhart	Larry Munson - Tony Barnhart		
1558	3	Robert Kirkman	Corey Walker	Robert Kirkman - Corey Walker		
1559	3	Liz Kessler	Natacha Ledwidge	Liz Kessler - Natacha Ledwidge		
1560	3	Jody Feldman	Victoria Jamieson	Jody Feldman - Victoria Jamieson		
1570	3	William W. Johnstone	J. A. Johnstone	William W. Johnstone - J. A. Johnstone		
1572	3	Lucy Danziger	Catherine Birndorf	Lucy Danziger - Catherine Birndorf		
1576	3	Noel M. Tichy	Warren G. Bennis	Noel M. Tichy - Warren G. Bennis		
1579	3	Tim F. LaHaye	Jerry B. Jenkins	Tim F. LaHaye - Jerry B. Jenkins		
1581	3	Julia Ann Hobbs	Carla Fisher	Julia Ann Hobbs - Carla Fisher		
1587	3	Stan Berenstain	Jan Berenstain	Stan Berenstain - Jan Berenstain		
1588	3	Janet Evanovich	C. J. Critt	Janet Evanovich - C. J. Critt		
1595	3	Phyllis Reynolds Naylor	Alexandra Boiger	Phyllis Reynolds Naylor - Alexandra Boiger		
1596	3	Steve Parker	Robert Winston	Steve Parker - Robert Winston		
1599	3	C. S. Lewis	Pauline Baynes	C. S. Lewis - Pauline Baynes		
1603	3	Nora Roberts	Angela Dawe	Nora Roberts - Angela Dawe		
1613	3	Roald Dahl	Quentin Blake	Roald Dahl - Quentin Blake		
1614	3	Andrew Clements	Brian Selznick	Andrew Clements - Brian Selznick		
1617	3	Judi Kingry	Lauren Devine	Judi Kingry - Lauren Devine		
1618	3	Edward M. Hallowell	John J. Ratey	Edward M. Hallowell - John J. Ratey		
1620	3	Doreen Cronin	Scott Menchin	Doreen Cronin - Scott Menchin		
1622	3	Anne Civardi	Stephen Cartwright	Anne Civardi - Stephen Cartwright		
1626	3	Stephen King	Peter Straub	Stephen King - Peter Straub		
1636	3	Jonathan Strahan	Marianne S. Jablon	Jonathan Strahan - Marianne S. Jablon		
1646	3	Mandy Hubbard	Marisa Carroll	Mandy Hubbard - Marisa Carroll		
1657	3	Kathryn K. Troutman	Mike Causey	Kathryn K. Troutman - Mike Causey		
1659	3	Nora Roberts	J. D. Robb	Nora Roberts - J. D. Robb		
1679	3	Mark Galant	Brian Dolan	Mark Galant - Brian Dolan		
1683	3	Kate DiCamillo	Bagram Ibatoulline	Kate DiCamillo - Bagram Ibatoulline		
1684	3	Tsugumi Ohba	Takeshi Obata	Tsugumi Ohba - Takeshi Obata		
1690	3	Edward M. Hallowell	John J. Ratey	Edward M. Hallowell - John J. Ratey		
1692	3	Richard Castle	Johnny Heller	Richard Castle - Johnny Heller		
1693	3	Michael Buckley	Peter Ferguson	Michael Buckley - Peter Ferguson		
1697	3	Cornelia Funke	Anthea Bell	Cornelia Funke - Anthea Bell		
1698	3	James Patterson	Hal Friedman	James Patterson - Hal Friedman		
1707	3	Nora Roberts	Marie Caliendo	Nora Roberts - Marie Caliendo		
1719	3	Cynthia Rylant	Mark Siegel	Cynthia Rylant - Mark Siegel		
1730	3	Dale Black	Ken Gire	Dale Black - Ken Gire		
1732	3	Mark Remy	Runner's World Magazine	Mark Remy - Runner's World Magazine		
1734	3	Francesca Gould	David Haviland	Francesca Gould - David Haviland		
1743	3	W. Michael Gear	Kathleen O'Neal Gear	W. Michael Gear - Kathleen O'Neal Gear		
1753	3	C. W. Randolph	Genie James	C. W. Randolph - Genie James		
1755	3	Landrum B. Shettles	David M. Rorvik	Landrum B. Shettles - David M. Rorvik		
1757	3	Lemony Snicket	Brett Helquist	Lemony Snicket - Brett Helquist		
1761	3	Max Lucado	Toni Goffe	Max Lucado - Toni Goffe		
1765	3	Patrick Swayze	Lisa Niemi	Patrick Swayze - Lisa Niemi		
1770	3	Christine Avanti	Sharyn Kolberg	Christine Avanti - Sharyn Kolberg		
1773	3	Charlotte Bronte	Stevie Davies	Charlotte Bronte - Stevie Davies		
1780	3	Anne McCaffrey	Todd J. McCaffrey	Anne McCaffrey - Todd J. McCaffrey		
1786	3	Isa Chandra Moskowitz	Terry Hope Romero	Isa Chandra Moskowitz - Terry Hope Romero		
1790	3	Mary Wollstonecraft Shelley	Margaret Brantley	Mary Wollstonecraft Shelley - Margaret Brantley		
1793	3	Zig Ziglar	Al Mayton	Zig Ziglar - Al Mayton		
1809	3	John Grogan	Richard Cowdrey	John Grogan - Richard Cowdrey		
1811	3	Thomas Cathcart	Daniel Klein	Thomas Cathcart - Daniel Klein		
1815	3	David Lewis	Beverly Lewis	David Lewis - Beverly Lewis		
1836	3	Michael Buckley	Peter Ferguson	Michael Buckley - Peter Ferguson		
1846	3	Marion Dane Bauer	Suling Wang	Marion Dane Bauer - Suling Wang		
1850	3	Jane Yolen	Mark Teague	Jane Yolen - Mark Teague		
1865	3	Linda Howard	Natalie Ross	Linda Howard - Natalie Ross		
1872	3	Carol Ottolenghi	Jim Talbot	Carol Ottolenghi - Jim Talbot		
1874	3	Jay Dobyns	Nils Shelton-johnson	Jay Dobyns - Nils Shelton-johnson		
1875	3	Scott Turow	Edward Herrmann	Scott Turow - Edward Herrmann		
1879	3	Lee Child	Dick Hill	Lee Child - Dick Hill		
1882	3	Lee Iacocca	Catherine Whitney	Lee Iacocca - Catherine Whitney		
1885	3	Yann Arthus-Bertrand	Jean-Louis Gouraud	Yann Arthus-Bertrand - Jean-Louis Gouraud		
1892	3	Bill Hybels	Ashley Wiersma	Bill Hybels - Ashley Wiersma		
1895	3	Gary Greenberg	Jeannie Hayden	Gary Greenberg - Jeannie Hayden		
1897	3	Robert Louis Stevenson	Avi	Robert Louis Stevenson - Avi		
1900	3	Cynthia Rylant	Sucie Stevenson	Cynthia Rylant - Sucie Stevenson		
1906	3	Jim Butcher	James Marsters	Jim Butcher - James Marsters		
1916	3	Wendy Orr	Kerry Millard	Wendy Orr - Kerry Millard		
1926	3	Tom Ang	Nicky Munro	Tom Ang - Nicky Munro		
1929	3	Karen Robards	Susan Ericksen	Karen Robards - Susan Ericksen		
1937	3	Adam Robinson	John Katzman	Adam Robinson - John Katzman		
1938	3	Geoff Martz	Adam Robinson	Geoff Martz - Adam Robinson		
1944	3	Ezra Carman	Thomas G. Clemens	Ezra Carman - Thomas G. Clemens		
1952	3	Don Piper	Cecil Murphey	Don Piper - Cecil Murphey		
1955	3	Paul J. Loth	Rob Suggs	Paul J. Loth - Rob Suggs		
1964	3	Robert M. Edsel	Bret Witter	Robert M. Edsel - Bret Witter		
1965	3	Ted Dekker	John Glover	Ted Dekker - John Glover		
1968	3	William W. Johnstone	J. A. Johnstone	William W. Johnstone - J. A. Johnstone		
1969	3	Tony DiTerlizzi	Holly Black	Tony DiTerlizzi - Holly Black		
1975	3	Ronda Rich	Stevie Waltrip	Ronda Rich - Stevie Waltrip		
1976	3	Margaret Mahy	Polly Dunbar	Margaret Mahy - Polly Dunbar		
1981	3	Greg Pak	Jr. John Romita	Greg Pak - Jr. John Romita		
1983	3	Kristine K. Kershul	Carrie R. Tamburo	Kristine K. Kershul - Carrie R. Tamburo		
1985	3	Shaunti Feldhahn	Lisa A. Rice	Shaunti Feldhahn - Lisa A. Rice		
1989	3	Janice Repka	Glin Dibley	Janice Repka - Glin Dibley		
1991	3	Jamie Lee Curtis	Laura Cornell	Jamie Lee Curtis - Laura Cornell		
1997	3	Nora Roberts	Patrick Lawlor	Nora Roberts - Patrick Lawlor		
0000	1	Stephenie Meyer				
0001	1	Fern Michaels				
0003	1	Brad Thor				
0004	1	Charlaine Harris				
0005	1	Kate Douglas				
0006	1	Richelle Mead				
0007	1	Yasmine Galenorn				
0008	1	Tabor Evans				
0009	1	Robyn Carr				
0010	1	Jana Deleon				
0011	1	K. E. Mills				
0012	1	Dan Brown				
0013	1	Nelson DeMille				
0014	1	Catherine Coulter				
0015	1	Sherryl Woods				
0016	1	Nora Roberts				
0017	1	Karen Kingsbury				
0018	1	Adele Ashworth				
0019	1	Sharon Sala				
0021	1	Laurell K. Hamilton				
0022	1	Nicole Peeler				
0023	1	John Hagee				
0024	1	China Mieville				
0025	1	Stephenie Meyer				
0026	1	Sherrilyn Kenyon				
0027	1	Tim Green				
0028	1	Emilie Richards				
0029	1	Stephenie Meyer				
0031	1	Elizabeth Gilbert				
0032	1	Tom Rath				
0033	1	John Grisham				
0034	1	Lowell Cauffiel				
0035	1	Kat Martin				
0036	1	James Patterson				
0037	1	Rachel Caine				
0038	1	Charlaine Harris				
0039	1	Mike Huckabee				
0041	1	Gav Thorpe				
0042	1	Michael Z. Williamson				
0043	1	Johanna Lindsey				
0044	1	Debbie Macomber				
0045	1	Bill O'Reilly				
0047	1	L. J. Smith				
0048	1	Laurell K. Hamilton				
0049	1	Sharyn McCrumb				
0050	1	J. D. Robb				
0052	1	Michael Lewis				
0053	1	Tess Gerritsen				
0054	1	Mo Willems				
0057	1	Charles Stross				
0058	1	Linda Castillo				
0059	1	Melissa Marr				
0060	1	Nicholas Sparks				
0061	1	Nancy Grace				
0062	1	Lisa Gardner				
0064	1	Christine Feehan				
0066	1	Jeff Kinney				
0068	1	Linda Sue Park				
0069	1	Jane Green				
0070	1	Scott Sigler				
0071	1	Karen Kingsbury				
0072	1	James Patterson				
0073	1	Ilona Andrews				
0074	1	Daniel G. Amen				
0075	1	Nora Roberts				
0076	1	Jane Feather				
0077	1	Karen Marie Moning				
0078	1	Michelle Malkin				
0081	1	Nicholas Sparks				
0082	1	Richelle Mead				
0083	1	John Flanagan				
0085	1	F. Scott Fitzgerald				
0087	1	Danielle Steel				
0088	1	Sebastian Junger				
0089	1	Beth Hoffman				
0091	1	Charlaine Harris				
0092	1	Andy Andrews				
0093	1	J. R. Ward				
0094	1	Donna Jo Napoli				
0095	1	Aaron Allston				
0098	1	Alexander Campion				
0099	1	Grace Octavia				
0100	1	Kelley Armstrong				
0101	1	Kelley Armstrong				
0102	1	Caren Lissner				
0103	1	Diane McKinney-Whetstone				
0104	1	Markus Zusak				
0105	1	Karen Robards				
0106	1	Joyce Meyer				
0107	1	Amanda Quick				
0108	1	Suzanne Collins				
0109	1	Mary Balogh				
0110	1	Maurice Sendak				
0111	1	Jenny Sanford				
0113	1	Joshilyn Jackson				
0114	1	Rick Riordan				
0116	1	Charlaine Harris				
0119	1	Fern Michaels				
0120	1	Lisa Lillien				
0121	1	Catherine Hardwicke				
0122	1	John Flanagan				
0124	1	James Patterson				
0125	1	Erin Hunter				
0126	1	Jon Gordon				
0128	1	Rick Riordan				
0129	1	Elizabeth Chandler				
0130	1	Lois Lowry				
0131	1	Charlaine Harris				
0134	1	Philippa Gregory				
0135	1	Gena Showalter				
0137	1	Lynsay Sands				
0138	1	Chelsea Handler				
0139	1	Phillip Margolin				
0140	1	Jodi Thomas				
0141	1	Mark Cotta Vaz				
0142	1	Ellen Schreiber				
0143	1	Sherrilyn Kenyon				
0144	1	Andrew P. Napolitano				
0145	1	Elin Hilderbrand				
0147	1	Chinua Achebe				
0148	1	Jason F. Wright				
0150	1	Dr Seuss				
0151	1	Martin D. Weiss				
0152	1	Susan Donovan				
0153	1	Rick Riordan				
0154	1	Sherrilyn Kenyon				
0155	1	Alan Moore				
0156	1	Sarah Dessen				
0157	1	James Patterson				
0158	1	Barry Petersen				
0160	1	James Patterson				
0161	1	Kristin Hannah				
0162	1	Lora Leigh				
0163	1	MaryJanice Davidson				
0164	1	Laurell K. Hamilton				
0166	1	Jackie Collins				
0167	1	Karen Kingsbury				
0170	1	Alan Campbell				
0171	1	Nancy Thayer				
0172	1	Alton Brown				
0173	1	James Patterson				
0175	1	Sherrilyn Kenyon				
0178	1	Lora Leigh				
0179	1	Patricia Daniels Cornwell				
0180	1	John Grisham				
0181	1	Dean R. Koontz				
0182	1	R. A. Salvatore				
0184	1	Daniel H. Pink				
0185	1	Laurell K. Hamilton				
0186	1	Victoria Christopher Murray				
0187	1	Laurell K. Hamilton				
0188	1	Christine Feehan				
0191	1	Jodi Picoult				
0192	1	Lara Adrian				
0193	1	Kim Harrison				
0194	1	Mike Huckabee				
0195	1	Carrie Jones				
0196	1	Diana Palmer				
0197	1	Timothy Keller				
0198	1	Kevin J. Anderson				
0199	1	Sherry Thomas				
0200	1	Lynsay Sands				
0201	1	John Steinbeck				
0202	1	Daniel Waters				
0203	1	Michael Scott				
0206	1	Elizabeth Kostova				
0207	1	Debbie Macomber				
0208	1	Jennifer Chiaverini				
0211	1	Heather McDonald				
0213	1	Sherrilyn Kenyon				
0214	1	Zev Chafets				
0215	1	Sherrilyn Kenyon				
0216	1	Shel Silverstein				
0217	1	Stephanie Laurens				
0219	1	Sherrilyn Kenyon				
0220	1	Donna Grant				
0222	1	Francine Rivers				
0223	1	Shana Abe				
0225	1	Anne Tyler				
0226	1	Erin Hunter				
0227	1	Lauren Conrad				
0228	1	Malcolm Gladwell				
0231	1	Erin Hunter				
0232	1	James Bradley				
0233	1	Adriana Trigiani				
0234	1	Christopher Nicholson				
0235	1	Ralph Compton				
0236	1	Mari Mancusi				
0237	1	Pamela Morsi				
0239	1	Truman Capote				
0240	1	Jonathan Kellerman				
0241	1	Sherrilyn Kenyon				
0242	1	Linda Lael Miller				
0244	1	Brian Tracy				
0245	1	James Patterson				
0246	1	Shaunti Feldhahn				
0247	1	Stuart Woods				
0248	1	Judi McCoy				
0249	1	Cecily Von Ziegesar				
0250	1	Lynsay Sands				
0251	1	Richelle Mead				
0252	1	Laurell K. Hamilton				
0253	1	Erin Hunter				
0254	1	J. D. Robb				
0255	1	Janet Evanovich				
0257	1	Shannon K. Butcher				
0258	1	National Geographic Society				
0259	1	Stephenie Meyer				
0260	1	Terry Goodkind				
0261	1	S. E. Hinton				
0262	1	Laurell K. Hamilton				
0263	1	Brenda Jackson				
0264	1	Barack Obama				
0265	1	Lynsay Sands				
0266	1	Tessa Dare				
0267	1	Bill Wiese				
0268	1	Thomas L. Friedman				
0269	1	Sue Monk Kidd				
0270	1	Nozomu Tamaki				
0271	1	Laurell K. Hamilton				
0272	1	Christine Warren				
0273	1	Liv Spencer				
0274	1	Taylor Anderson				
0277	1	Stephanie Laurens				
0278	1	Emily Giffin				
0279	1	Tom Rachman				
0280	1	Gina Holmes				
0281	1	Treasure Hernandez				
0282	1	Lynsay Sands				
0283	1	Janet Evanovich				
0284	1	Dean R. Koontz				
0285	1	Meg Meeker				
0286	1	Troy Denning				
0287	1	Rick Riordan				
0288	1	Christine Feehan				
0289	1	Charles Dickens				
0290	1	Dr Seuss				
0291	1	Lora Leigh				
0292	1	Andrew Ross Sorkin				
0293	1	Geraldine Brooks				
0294	1	Alice Sebold				
0296	1	Webster				
0298	1	MaryJanice Davidson				
0299	1	S. E. Hinton				
0300	1	Nelson DeMille				
0302	1	Nicholas Sparks				
0303	1	Suzanne Enoch				
0304	1	Keri Arthur				
0305	1	John C. Maxwell				
0307	1	Matthew Reilly				
0308	1	John Irving				
0312	1	Leo Honeycutt				
0314	1	Juliet Blackwell				
0317	1	Patricia Briggs				
0318	1	Victoria Kann				
0319	1	Ray Bradbury				
0320	1	Marshall Goldsmith				
0321	1	David Baldacci				
0322	1	Howard Zinn				
0323	1	Dean R. Koontz				
0324	1	Charla Krupp				
0325	1	Janet Evanovich				
0326	1	Debbie Macomber				
0327	1	Christine Feehan				
0328	1	Rachel Vincent				
0329	1	David Sheff				
0330	1	Cassandra Clare				
0331	1	Dan Brown				
0332	1	Gena Showalter				
0333	1	John Boyne				
0334	1	Robin Hobb				
0336	1	Jon Krakauer				
0338	1	Susan Mallery				
0339	1	Nora Roberts				
0340	1	Robert B. Parker				
0341	1	Kerrelyn Sparks				
0342	1	Nicholas Sparks				
0344	1	Adam Campbell				
0346	1	Raquel Welch				
0347	1	Fern Michaels				
0348	1	A. J. Russell				
0349	1	Kimberla Lawson Roby				
0350	1	Tommy Newberry				
0353	1	Jeanne Duprau				
0354	1	John C. Maxwell				
0355	1	Lorraine Hansberry				
0356	1	Kerrelyn Sparks				
0357	1	Carrie Vaughn				
0358	1	Lauraine Snelling				
0359	1	Larissa Ione				
0360	1	Kresley Cole				
0361	1	David Baldacci				
0363	1	Laura Schlessinger				
0364	1	Janet Evanovich				
0365	1	Gena Showalter				
0366	1	John Ortberg				
0368	1	Steve Alten				
0369	1	Victoria Alexander				
0370	1	Sean Covey				
0371	1	Christopher McDougall				
0372	1	Cressida Cowell				
0373	1	Yasmine Galenorn				
0374	1	Jentezen Franklin				
0375	1	Vince Flynn				
0377	1	Ariana Franklin				
0379	1	Janet Evanovich				
0381	1	Nora Roberts				
0382	1	Johanna Lindsey				
0383	1	Thomas J. Glover				
0384	1	Kate Brian				
0385	1	Don Colbert				
0386	1	Janet Evanovich				
0387	1	Jim Butcher				
0388	1	Lila Dare				
0389	1	Todd Johnson				
0390	1	Keri Arthur				
0393	1	Charles Timmerman				
0394	1	J. D. Robb				
0395	1	Margaret Peterson Haddix				
0396	1	Brian Freeman				
0397	1	S. P. Fjestad				
0398	1	R. A. Salvatore				
0399	1	John Grisham				
0401	1	Robert Dugoni				
0405	1	Fern Michaels				
0406	1	Jim Stovall				
0407	1	Jane Austen				
0408	1	Roger Hargreaves				
0409	1	John T. Lescroart				
0410	1	Debbie Macomber				
0411	1	Jack Rakove				
0412	1	Jeri Smith-Ready				
