book	barnesandnoble	author					
0010	1	Thomas C. Foster					
0012	1	George Orwell					
0013	1	Beverly Lewis					
0014	1	Chris Claremont					
0015	1	Diana Gabaldon					
0016	1	Sarah Dessen					
0017	1	Perdita Finn					
0018	1	Susan Mallery					
0019	1	Barry Petersen					
0020	1	Barb Hendee					
0021	1	Anita Shreve					
0022	1	Sara Shepard					
0023	1	Tasmina Perry					
0024	1	H. A. Rey					
0026	1	Beverly Lewis					
0027	1	Justin Cronin					
0028	1	Justin Halpern					
0029	1	Danielle Steel					
0030	1	Jean M. Auel					
0031	1	Ally Carter					
0032	1	Aimee Bender					
0033	1	Janet Evanovich					
0034	1	Roy Peter Clark					
0035	1	David Sedaris					
0036	1	Rick Riordan					
0037	1	Janet Evanovich					
0038	1	Kitty Richards					
0039	1	Sherry Thomas					
0040	1	Charlaine Harris					
0041	1	Kenneth C. Davis					
0042	1	John Grisham					
0043	1	Jennifer Weiner					
0044	1	Malcolm Gladwell					
0045	1	Michael Lewis					
0046	1	Sebastian Junger					
0047	1	Frank Beddor					
0048	1	Douglas Preston					
0049	1	Kurt Vonnegut					
0050	1	Jhumpa Lahiri					
0052	1	Nora Roberts					
0053	1	David Kirsch					
0054	1	Richard Zacks					
0055	1	Liane Moriarty					
0056	1	Dixie Cash					
0057	1	Sarah Dessen					
0059	1	Claudia Dain					
0060	1	Scott Turow					
0061	1	Michele Borba					
0062	1	Kate Morton					
0063	1	Kathy Reichs					
0064	1	Andrew Clements					
0065	1	C. S. Lewis					
0066	1	Mark Twain					
0067	1	Rosemary Wells					
0068	1	Rick Riordan					
0069	1	Jay Winik					
0070	1	Alison Inches					
0072	1	Mary Kay Andrews					
0073	1	John Steinbeck					
0074	1	Vince Flynn					
0075	1	Vince Flynn					
0077	1	Bethenny Frankel					
0078	1	Mitch Albom					
0079	1	Francis Chan					
0080	1	Syd Hoff					
0081	1	Lynne Cox					
0082	1	Wanda E. Brunstetter					
0083	1	Laurie Halse Anderson					
0084	1	Todd Michael					
0085	1	Karen Kingsbury					
0086	1	Sara Shepard					
0087	1	Elin Hilderbrand					
0088	1	Fern Michaels					
0089	1	Princeton Review					
0090	1	Robyn Carr					
0091	1	Stephen R. Covey					
0093	1	Stephenie Meyer					
0094	1	James McBride					
0096	1	Ernest Hemingway					
0097	1	Eric Van Lustbader					
0098	1	Rebecca Skloot					
0099	1	David Weber					
0100	1	Arthur Agatston					
0101	1	Lisa Gardner					
0102	1	Phillip Margolin					
0104	1	Thea Feldman					
0106	1	Pauline Kiernan					
0108	1	Stephenie Meyer					
0109	1	Marcus Buckingham					
0110	1	Jimmy Buffett					
0111	1	Lee Child					
0112	1	Susan Wiggs					
0113	1	Johanna Lindsey					
0114	1	Tracy Anne Warren					
0115	1	Laura Bush					
0116	1	Chevy Stevens					
0117	1	Adam Ross					
0118	1	Ariana Franklin					
0119	1	Laura Childs					
0120	1	Nathaniel Philbrick					
0121	1	Nancy Pickard					
0122	1	Steve Martini					
0123	1	Maggie Stiefvater					
0124	1	Sandra Brown					
0125	1	Madeleine Wickham					
0126	1	Bonnie McEneaney					
0128	1	Louis Sachar					
0129	1	Sara Shepard					
0130	1	Michael Pollan					
0131	1	Sean Covey					
0132	1	Laurien Gardner					
0133	1	Janet Gleeson					
0134	1	Dennis Lehane					
0135	1	Sandra Cisneros					
0136	1	Don Freeman					
0139	1	Sherrilyn Kenyon					
0140	1	Eleanor Herman					
0141	1	Susan Richards					
0142	1	A. Lee Martinez					
0143	1	Yann Martel					
0144	1	Suzannah Dunn					
0146	1	Stephenie Meyer					
0147	1	John Gardner					
0148	1	Jenny Han					
0149	1	Jon Krakauer					
0150	1	C. S. Lewis					
0151	1	Vince Flynn					
0152	1	Laura Griffin					
0153	1	Colum McCann					
0154	1	Jonathan Mahler					
0155	1	Judi Barrett					
0156	1	Daria Snadowsky					
0157	1	Justine Musk					
0158	1	Paul Harding					
0159	1	Joseph J. Ellis					
0161	1	Jerry Spinelli					
0163	1	Lorraine Hansberry					
0164	1	Mary-Jane Knight					
0165	1	Suzanne Harper					
0166	1	James Patterson					
0167	1	Elizabeth Gilbert					
0168	1	Aprilynne Pike					
0169	1	Ildefonso Falcones					
0170	1	Carol Higgins Clark					
0171	1	Selden Edwards					
0172	1	Harriet Beecher Stowe					
0173	1	Arnold Lobel					
0174	1	DK Publishing					
0175	1	Aaron Klein					
0176	1	C. S. Lewis					
0177	1	Melissa de la Cruz					
0178	1	David A. Carter					
0179	1	Atul Gawande					
0180	1	Candace Bushnell					
0181	1	Brandon Mull					
0182	1	Laura Moriarty					
0183	1	David Halberstam					
0184	1	James Dashner					
0185	1	Sebastian Mallaby					
0186	1	Sharyn McCrumb					
0187	1	Sherrilyn Kenyon					
0188	1	J. A. Jance					
0189	1	Sarah Young					
0190	1	Janet Evanovich					
0192	1	Janet Evanovich					
0193	1	Mary Man-Kong					
0195	1	Tom Grimes					
0196	1	David Means					
0197	1	James Patterson					
0198	1	Harlan Coben					
0200	1	Jerry Spinelli					
0201	1	Carl Hiaasen					
0202	1	Lisa Kleypas					
0203	1	Stephenie Meyer					
0204	1	Sally John					
0205	1	Tracey West					
0206	1	Madeleine L'Engle					
0207	1	John Virapen					
0208	1	Mary Alice Monroe					
0209	1	Kate Chopin					
0210	1	Beverly Lewis					
0211	1	Jorge Cruise					
0213	1	Nicholas Sparks					
0214	1	Nora Roberts					
0215	1	J. K. Rowling					
0216	1	Dennis Lehane					
0217	1	Michael Lewis					
0218	1	Tosca Reno					
0219	1	Miguel Ruiz					
0220	1	Sherman Alexie					
0221	1	Cressida Cowell					
0222	1	Nicholas Sparks					
0223	1	Judith Viorst					
0224	1	J. D. Robb					
0225	1	Stephenie Meyer					
0226	1	Daniel H. Pink					
0227	1	Julia Child					
0228	1	Peter Lerangis					
0229	1	Kim Harrison					
0230	1	Rick Riordan					
0231	1	Sarah Blake					
0233	1	Dave Ramsey					
0234	1	David Servan-Schreiber MD, PhD					
0235	1	Jeannette Walls					
0236	1	Maurice Sendak					
0237	1	Steve Harvey					
0238	1	Harlan Coben					
0239	1	Jeff Kinney					
0240	1	Danielle Steel					
0242	1	Richard Castle					
0243	1	Chris Downie					
0245	1	Arthur Conan Doyle					
0246	1	James S. Hirsch					
0247	1	Stieg Larsson					
0248	1	Shel Silverstein					
0249	1	Alyson Noel					
0250	1	Lisa Scottoline					
0251	1	Daniel Silva					
0252	1	Julie Garwood					
0253	1	Elizabeth Kostova					
0255	1	Jane O'Connor					
0256	1	Jay Asher					
0257	1	Danielle Trussoni					
0258	1	Jonathan Alter					
0259	1	Elizabeth Peters					
0260	1	Mo Willems					
0261	1	Lisa McMann					
0262	1	Margery Williams					
0263	1	Anthony Horowitz					
0264	1	Andre Agassi					
0265	1	Johanna Lindsey					
0267	1	Sarah Addison Allen					
0268	1	Linda Fairstein					
0269	1	Douglas Preston					
0270	1	Timothy Ferriss					
0271	1	Arthur Conan Doyle					
0272	1	Christine Feehan					
0273	1	Rachel Caine					
0274	1	Grosset & Dunlap					
0275	1	Charlaine Harris					
0276	1	Cammie McGovern					
0277	1	David N. Gilbert					
0278	1	C. S. Lewis					
0279	1	Scott O'Dell					
0280	1	Princeton Review					
0282	1	James Patterson					
0283	1	Chicago Tribune Staff					
0284	1	C. S. Lewis					
0285	1	Robert Louis Stevenson					
0286	1	James Patterson					
0287	1	Emily Giffin					
0288	1	L. J. Smith					
0290	1	Carol McCloud					
0291	1	Christine Feehan					
0292	1	Adam Campbell					
0293	1	Erich Maria Remarque					
0295	1	Kristin Hannah					
0296	1	Lisa Genova					
0297	1	Steve Niles					
0298	1	Jennifer Fallon					
0299	1	Sherrilyn Kenyon					
0300	1	Spencer Quinn					
0301	1	John C. Maxwell					
0302	1	Martha Grimes					
0303	1	Laura Joffe Numeroff					
0304	1	Kristin Cashore					
0305	1	John D. Folse					
0306	1	Vanora Bennett					
0307	1	Christopher Moore					
0308	1	Joel Osteen					
0310	1	John Grisham					
0311	1	Max Lucado					
0315	1	Ellen Hopkins					
0316	1	Chris d'Lacey					
0317	1	Richelle Mead					
0318	1	Trenton Lee Stewart					
0319	1	Dean Koontz					
0320	1	James Lee Burke					
0321	1	Lisa Gardner					
0323	1	Patrick Taylor					
0324	1	Jayne Ann Krentz					
0325	1	C. G. Jung					
0327	1	Joshua Cooper Ramo					
0328	1	John Berendt					
0329	1	Jane O'Connor					
0330	1	Laurie R. King					
0331	1	Nicholas Sparks					
0332	1	Julia Child					
0333	1	James Patterson					
0334	1	Melody Beattie					
0335	1	James D. Best					
0336	1	Jennifer Echols					
0337	1	Susan Wiggs					
0338	1	Invisible Committee					
0339	1	N. D. Wilson					
0340	1	Ayn Rand					
0341	1	Walter Dean Myers					
0342	1	Margaret Atwood					
0343	1	Gena Showalter					
0344	1	Philippa Gregory					
0345	1	Fern Michaels					
0346	1	Diana Gabaldon					
0347	1	Janet Evanovich					
0349	1	Robyn Carr					
0351	1	Lisa See					
0352	1	Martha Stewart Living					
0353	1	Lisa McMann					
0354	1	Christopher Paul Curtis					
0355	1	Larissa Ione					
0356	1	Erich von Daniken					
0357	1	Geraldine Brooks					
0358	1	Robyn Carr					
0361	1	Gregory Maguire					
0363	1	Gena Showalter					
0365	1	Laurell K. Hamilton					
0366	1	Debbie Macomber					
0368	1	Sharon Creech					
0369	1	Victoria Kann					
0370	1	Linda Fairstein					
0371	1	Rick Riordan					
0372	1	Roger Rosenblatt					
0374	1	Jeffrey Long MD					
0375	1	Alice Sebold					
0376	1	Scott Patterson					
0377	1	Lemony Snicket					
0378	1	Stuart Woods					
0379	1	Terry Goodkind					
0380	1	Charla Krupp					
0381	1	Paul McKenna					
0382	1	Mary Balogh					
0384	1	Stephen Hunter					
0385	1	Marlene Koch					
0386	1	Francine Rivers					
0387	1	Edward Rutherfurd					
0388	1	Carrie Jones					
0389	1	Mo Willems					
0391	1	Jim Butcher					
0392	1	Robert McCloskey					
0393	1	Bill Simmons					
0394	1	Alex Berenson					
0395	1	Meg Cabot					
0397	1	Ben Sherwood					
0399	1	James J. Cramer					
0400	1	David Baldacci					
0401	1	Charles Martin					
0402	1	Michael Grant					
0404	1	Syd Hoff					
0406	1	Trenton Lee Stewart					
0407	1	Lora Leigh					
0408	1	Alexander McCall Smith					
0409	1	Norton Juster					
0410	1	John Hart					
0412	1	Sabrina Jeffries					
0413	1	Immaculee Ilibagiza					
0415	1	Steven Raichlen					
0416	1	Arthur Miller					
0417	1	Erin Hunter					
0418	1	Anne Fadiman					
0419	1	Diane Mott Davidson					
0420	1	Lynda Madison					
0421	1	Katie MacAlister					
0422	1	Judy Schachner					
0423	1	Susan Mallery					
0424	1	Princeton Review					
0425	1	L. J. Smith					
0426	1	Peggy Parish					
0427	1	Laurell K. Hamilton					
0428	1	Vince Flynn					
0429	1	Simone Elkeles					
0430	1	Natalie Babbitt					
0431	1	Roland Smith					
0432	1	Debbie Macomber					
0433	1	Dean Koontz					
0434	1	Jon Krakauer					
0436	1	John Wooden					
0438	1	Ted Dekker					
0439	1	Ellie Krieger					
0440	1	John Grisham					
0441	1	Dr. Seuss					
0442	1	John Wooden					
0443	1	Audrey Niffenegger					
0445	1	Randy Wayne White					
0446	1	Bruce Feiler					
0447	1	Grant Cardone					
0448	1	Neil Pasricha					
0449	1	Martha Stewart					
0450	1	J. K. Rowling					
0451	1	Lee Child					
0452	1	Sara Donati					
0453	1	Randall B. Woods					
0454	1	Mark Bittman					
0455	1	Andrew Gross					
0456	1	Debbie Macomber					
0457	1	Cassandra Clare					
0458	1	Ayn Rand					
0459	1	Kristin Hannah					
0461	1	Mildred D. Taylor					
0462	1	Ridley Pearson					
0463	1	Homer					
0465	1	Debbie Diller					
0466	1	Charlaine Harris					
0467	1	Gary D. Schmidt					
0469	1	J. D. Robb					
0470	1	James Wesley Rawles					
0471	1	Harlan Cohen					
0472	1	Kaplan Publishing Staff					
0473	1	Harry G. Allard Jr.					
0474	1	Jim Butcher					
0475	1	Robert C. O'Brien					
0476	1	Stephen King					
0477	1	Kristin Hannah					
0478	1	Martha W. Hickman					
0479	1	Charles Dickens					
0480	1	Gordon Korman					
0481	1	Mary Pope Osborne					
0482	1	Sherryl Woods					
0483	1	Pseudonymous Bosch					
0484	1	Nicholas Sparks					
0486	1	Robyn Carr					
0487	1	Beverly Cleary					
0488	1	Laurell K. Hamilton					
0489	1	Raquel Welch					
0490	1	Yann Martel					
0491	1	Sarah Silverman					
0492	1	Ellen Hopkins					
0493	1	Leo Honeycutt					
0494	1	Kendra Wilkinson					
0495	1	Mark Bittman					
0496	1	John Sandford					
0497	1	Robin Oliveira					
0498	1	Stephenie Meyer					
0499	1	Rachel Renee Russell					
0500	1	Arnold Lobel					
0501	1	Drew Karpyshyn					
0502	1	Vicky Ward					
0503	1	Cressida Cowell					
0504	1	David Nasaw					
0505	1	Nancy Markham Alberts					
0506	1	Keri Glassman					
0507	1	Doreen Cronin					
0509	1	Arthur Agatston					
0510	1	Mika Brzezinski					
0512	1	Donna Leon					
0513	1	Gennifer Choldenko					
0514	1	Timothy Keller					
0517	1	Anonymous					
0518	1	Barack Obama					
0519	1	Susan Mallery					
0521	1	Maggie Stiefvater					
0522	1	Charlaine Harris					
0523	1	Charlotte Bronte					
0524	1	Laurell K. Hamilton					
0525	1	Patricia Mulcrone					
0527	1	Darren Shan					
0528	1	Carol Dweck					
0530	1	Susan Beth Pfeffer					
0531	1	Bill Bryson					
0533	1	Mary Pope Osborne					
0534	1	Joanne Fluke					
0535	1	Kazuo Ishiguro					
0536	1	Charlaine Harris					
0537	1	Thomas L. Friedman					
0539	1	Linda Lael Miller					
0540	1	Mary Pope Osborne					
0541	1	Dawn Huebner					
0542	1	Barbara Park					
0543	1	David Bach					
0546	1	Bree Despain					
0547	1	Brian Jacques					
0548	1	Jude Deveraux					
0549	1	Evan Carton					
0550	1	Dave Eggers					
0551	1	Earlene Fowler					
0552	1	Bryan A. Garner					
0554	1	Frank Beddor					
0555	1	Susan Isaacs					
0556	1	Steve Hockensmith					
0557	1	Kate Gosselin					
0558	1	Jane Yolen					
0559	1	Amy Greene					
0560	1	Anna Dewdney					
0561	1	Jasper Fforde					
0563	1	J. J. Hurtak					
0564	1	R. A. Salvatore					
0565	1	Charles Bowden					
0566	1	R. Crumb					
0567	1	George Selden					
0569	1	Napoleon Hill					
0570	1	Sister Souljah					
0572	1	C. S. Lewis					
0573	1	Lara Adrian					
0574	1	Henning Mankell					
0575	1	Association of American Medical Colleges					
0576	1	Richelle Mead					
0577	1	Richelle Mead					
0578	1	Jack London					
0579	1	Nora Roberts					
0580	1	G. Edward Griffin					
0581	1	Erin Hunter					
0582	1	Melissa Marr					
0583	1	Kim Harrison					
0584	1	Tanya Zuckerbrot					
0585	1	J. R. Ward					
0586	1	Kat Martin					
0587	1	Cindy Gerard					
0588	1	Kresley Cole					
0589	1	Nancy Horan					
0590	1	Elizabeth Scott					
0591	1	Jim Butcher					
0593	1	Alice Sebold					
0594	1	Francis Chan					
0595	1	Daniel Judson					
0596	1	John Moody					
0597	1	Susan Beth Pfeffer					
0598	1	Joel Fuhrman					
0599	1	Kevin Leman					
0600	1	Ethan Canin					
0601	1	Ellen Fitzpatrick					
0603	1	Conrad Black					
0604	1	J. K. Rowling					
0605	1	Ted Bell					
0606	1	Elizabeth Bard					
0607	1	Dr. Seuss					
0608	1	Pat Benatar					
0609	1	Wayne W. Dyer					
0610	1	Kate White					
0611	1	John D. Folse					
0612	1	Jonathan Tropper					
0613	1	Barbara Strauch					
0616	1	MaryJanice Davidson					
0617	1	Hampton Sides					
0618	1	Susannah Charleson					
0619	1	John P. Kotter					
0620	1	Ariana Franklin					
0621	1	H. G. Wells					
0622	1	Fred Thompson					
0623	1	Syd Hoff					
0624	1	Richard Reeves					
0626	1	Sherrilyn Kenyon					
0627	1	Toni Morrison					
0628	1	Ann Rule					
0631	1	Linda Skidmore-Roth					
0632	1	Sherrilyn Kenyon					
0633	1	Alexandra Ivy					
0634	1	Karen Chance					
0635	1	Sadie Allison					
0636	1	Jeffrey Zaslow					
0637	1	Jim Butcher					
0638	1	Bryan Lee O'Malley					
0639	1	Stephen King					
0640	1	Arnold Lobel					
0641	1	Jonah Goldberg					
0642	1	Teri Woods					
0643	1	John Gray					
0644	1	Howard Rosenthal					
0645	1	Bryan Lee O'Malley					
0646	1	Kresley Cole					
0647	1	Judy Blume					
0648	1	Chris Prentiss					
0650	1	Rachel Carson					
0651	1	Saul Alinsky					
0652	1	Princeton Review					
0653	1	J. R. Ward					
0654	1	Alex Berenson					
0655	1	Carolyn Jarvis					
0656	1	D. J. MacHale					
0657	1	Gregory Boyle					
0658	1	Evan Thomas					
0659	1	Mary Pope Osborne					
0660	1	Ken Scholes					
0662	1	Golden Books					
0663	1	Shannon McKenna					
0664	1	Roger Lowenstein					
0666	1	Donna Andrews					
0667	1	Timothy Egan					
0668	1	Kevin Henkes					
0670	1	Emily Bronte					
0671	1	Nelson DeMille					
0672	1	Nurit Karlin					
0673	1	Shel Silverstein					
0674	1	Charles Dickens					
0675	1	John C. Maxwell					
0676	1	Claire Cook					
0677	1	Doug Glanville					
0679	1	Robert B. Parker					
0680	1	Byron Barton					
0681	1	Jeffrey Gitomer					
0682	1	Rebecca Newberger Goldstein					
0683	1	David Lubar					
0684	1	Parnell Hall					
0685	1	Joseph Wambaugh					
0686	1	Diane Kress					
0687	1	Jane Austen					
0688	1	Physicians' Desk Reference					
0689	1	Jim Fergus					
0690	1	J. K. Rowling					
0691	1	David Orsay					
0692	1	Lora Leigh					
0693	1	Leo Tolstoy					
0694	1	Melissa Bitter					
0695	1	Mark Cotta Vaz					
0696	1	Mary Pope Osborne					
0697	1	Brenda Joyce					
0698	1	Ayn Rand					
0700	1	Lee Child					
0701	1	S. E. Hinton					
0702	1	Beverly Barton					
0703	1	Kresley Cole					
0704	1	Nicholas Sparks					
0705	1	Greg Harvey PhD					
0706	1	Bryan Peterson					
0707	1	Vince Flynn					
0708	1	Amanda Quick					
0709	1	Harvey Karp					
0711	1	Kate Atkinson					
0712	1	Susan Scott					
0713	1	Louise L. Hay					
0714	1	Erin Hunter					
0715	1	Erin Hunter					
0716	1	Lora Leigh					
0717	1	Danielle Steel					
0718	1	Cynthia Rylant					
0719	1	Mo Willems					
0721	1	Frewin Jones					
0723	1	Dani Shapiro					
0724	1	P. J. Tracy					
0725	1	Richard Scarry					
0727	1	University of Chicago Press Staff					
0728	1	Arthur Herman					
0730	1	Blaize Clement					
0731	1	George Carlin					
0732	1	James Wong					
0733	1	Karen Robards					
0734	1	Anna Godbersen					
0735	1	Mo Willems					
0736	1	Rick Reilly					
0737	1	Bill McKibben					
0738	1	Publications International Staff					
0739	1	Nicholas Sparks					
0740	1	Rodman Philbrick					
0741	1	Scholastic					
0742	1	John Irving					
0743	1	Garth Stein					
0744	1	Mary Balogh					
0745	1	Scott Barnes					
0746	1	MaryJanice Davidson					
0747	1	Jeffrey Toobin					
0748	1	Daphne du Maurier					
0749	1	Darren Shan					
0750	1	Kathleen Kent					
0752	1	Brad Thor					
0754	1	Mary Balogh					
0755	1	Kathy Reichs					
0756	1	Richard Wright					
0757	1	Iris Johansen					
0758	1	Sapphire					
0760	1	Kim Edwards					
0763	1	Michael Buckley					
0764	1	Ben Mikaelsen					
0765	1	Kaplan					
0766	1	William Zinsser					
0767	1	Devin Alexander					
0768	1	Debbie Macomber					
0769	1	Ingrid Law					
0770	1	David McCullough					
0771	1	Sharon M. Draper					
0772	1	James Patterson					
0773	1	Bryan Lee O'Malley					
0774	1	Anthony Horowitz					
0775	1	Princeton Review					
0776	1	Nelson DeMille					
0777	1	Bertrice Small					
0778	1	DK Publishing					
0779	1	Lewis Carroll					
0780	1	Julia Cameron					
0783	1	Danielle Ganek					
0784	1	F. A. Hayek					
0785	1	John Barricelli					
0786	1	Henry David Thoreau					
0787	1	Brandon Mull					
0788	1	Robin Black					
0789	1	Sarah Toulmin					
0791	1	Brian Sussman					
0792	1	Scott Belsky					
0793	1	Erica Bauermeister					
0794	1	Phil Town					
0795	1	Jane O'Connor					
0797	1	Shel Silverstein					
0798	1	Markus Zusak					
0799	1	Harvey Sachs					
0800	1	Jennifer Chiaverini					
0801	1	Editors of Webster's New College Dictionary					
0802	1	Susie Middleton					
0803	1	Michael Connelly					
0804	1	Keri Arthur					
0805	1	James Patterson					
0806	1	Jane Austen					
0807	1	Jodi Picoult					
0808	1	Jhumpa Lahiri					
0809	1	Mitch Albom					
0810	1	H. A. Rey					
0811	1	Rachel Vincent					
0812	1	Sherryl Woods					
0813	1	David Baldacci					
0814	1	Elin Hilderbrand					
0817	1	Sherrilyn Kenyon					
0818	1	Bryce Courtenay					
0819	1	Heather Gudenkauf					
0820	1	Sherrilyn Kenyon					
0821	1	J. M. Barrie					
0822	1	Nic Sheff					
0823	1	Sherrilyn Kenyon					
0824	1	Elin Hilderbrand					
0825	1	Simon Mawer					
0826	1	Laurie Fabiano					
0827	1	C. S. Lewis					
0828	1	George S. Clason					
0829	1	David Sedaris					
0830	1	Richard Dawkins					
0832	1	Mo Willems					
0833	1	Jennifer Chiaverini					
0834	1	M. C. Beaton					
0835	1	Dominique Browning					
0836	1	Joel Osteen					
0837	1	Sean Brodrick					
0838	1	Joseph Slate					
0840	1	Michael Zitz					
0841	1	Ken Corday					
0842	1	Kay Hooper					
0843	1	Alex Barker					
0844	1	Karrine Steffans					
0845	1	Mo Willems					
0846	1	Thomas Keller					
0847	1	Eric Carle					
0848	1	Carolynn Carreno					
0849	1	Gary Player					
0850	1	Sylvia Browne					
0852	1	Carl Hiaasen					
0853	1	Rachel Ward					
0854	1	Jonathan Dee					
0855	1	Better Homes & Gardens					
0858	1	Marilyn Johnson					
0859	1	Patrick J. Buchanan					
0860	1	Sarah Ban Breathnach					
0861	1	Ian Bremmer					
0862	1	Karin Slaughter					
0865	1	Mireille Guiliano					
0866	1	David Stafford					
0867	1	Susan Waggoner					
0868	1	Caroline Taggart					
0869	1	Dian Curtis Regan					
0870	1	Michael Ruhlman					
0871	1	Anna Jarzab					
0872	1	Sarah Dessen					
0873	1	L. J. Smith					
0874	1	Darren Shan					
0875	1	Janet Evanovich					
0877	1	Robert Kirkman					
0878	1	Stephenie Meyer					
0879	1	Carol Stock Kranowitz					
0880	1	Candice Millard					
0881	1	Jeanne DuPrau					
0882	1	James Patterson					
0883	1	Philippa Gregory					
0884	1	Leo Lionni					
0885	1	The College Board					
0887	1	Brandon Sanderson					
0888	1	Frank H. Netter					
0890	1	Graham Greene					
0891	1	Princeton Review					
0892	1	School Specialty Publishing					
0893	1	Stephenie Meyer					
0894	1	Thornton Wilder					
0895	1	Geraldine Brooks					
0896	1	Shayla Black					
0897	1	Karen Essex					
0900	1	Karen Kingsbury					
0901	1	Max Hastings					
0902	1	Nicholas Sparks					
0903	1	Annie Leonard					
0904	1	Karen Armstrong					
0905	1	Alice Waters					
0906	1	Richard Scarry					
0908	1	Marcus Buckingham					
0909	1	Stuart M. Trager					
0910	1	Shel Silverstein					
0911	1	Jon Gordon					
0912	1	Jane Yolen					
0913	1	Lynne Ewing					
0914	1	Ina Garten					
0916	1	Ellie Krieger					
0917	1	Staff of Thomas Nelson Bibles					
0918	1	Patty Lovell					
0919	1	Kathy Reichs					
0920	1	Dr. Seuss					
0921	1	Joyce Meyer					
0922	1	Ina Garten					
0923	1	Elaine Viets					
0924	1	Sandra Dallas					
0925	1	Robin Sharma					
0926	1	Eric Cyphers					
0927	1	Peter Reinhart					
0928	1	Nancy Grace					
0929	1	Friedrich Nietzsche					
0930	1	Sherryl Woods					
0933	1	Lora Leigh					
0934	1	Paul S. Kemp					
0936	1	Stephenie Meyer					
0937	1	Jane O'Connor					
0938	1	Jim Butcher					
0939	1	Denise Swanson					
0942	1	Maeve Binchy					
0943	1	Claudia Gray					
0944	1	Cate Tiernan					
0945	1	Sophie Kinsella					
0946	1	Stephanie Laurens					
0948	1	Edmund J. Bourne					
0949	1	Sara Lindsey					
0950	1	Jim Butcher					
0951	1	Elizabeth Berg					
0952	1	Nelson DeMille					
0953	1	Julie Brinckloe					
0954	1	Cate Tiernan					
0955	1	Dave Eggers					
0956	1	Jim Collins					
0957	1	R. A. Salvatore					
0958	1	James Patterson					
0959	1	Avi					
0960	1	Robert N. Munsch					
0961	1	Christopher Paolini					
0962	1	Fyodor Dostoevsky					
0963	1	Ted Morgan					
0964	1	Jeff Shesol					
0965	1	Richard Stearns					
0966	1	Erin Hunter					
0969	1	Christiane Northrup					
0970	1	Edward R. Tufte					
0971	1	Esther Friesner					
0973	1	Ed Schultz					
0974	1	Lisa Scottoline					
0975	1	Mark Sanborn					
0977	1	David Shenk					
0978	1	Lewis Carroll					
0979	1	Erika Knight					
0981	1	Sally Lloyd-Jones					
0983	1	Barry Eisler					
0986	1	Matt Ridley					
0987	1	Eric Carle					
0988	1	Julia Child					
0989	1	Kelly O'Connor McNees					
0992	1	Ronald J. Pestritto					
0993	1	Al Gore					
0994	1	Anne Frank					
0995	1	Bobby Lynn Maslen					
0996	1	Elizabeth Gilbert					
0997	1	Arnold Lobel					
0998	1	Tom Burrell					
0999	1	Frank Herbert					
1000	1	Princeton Review Staff					
1002	1	Anthony Horowitz					
1003	1	Cesar Millan					
1004	1	Beverly Lewis					
1005	1	Andy Andrews					
1006	1	Erica Bauermeister					
1007	1	Steven Erikson					
1008	1	John Kennedy Toole					
1009	1	William Shakespeare					
1010	1	Harlan Coben					
1011	1	Louise Penny					
1012	1	Nora Roberts					
1013	1	Jane Yolen					
1014	1	Jane Green					
1015	1	Debbie Macomber					
1017	1	Craig Ferguson					
1018	1	Ettore Pettinaroli					
1020	1	Tony Judt					
1021	1	Patrick M. Lencioni					
1022	1	Sandra Lee					
1023	1	Ashley Juergens					
1024	1	Christopher Benfey					
1025	1	Charlaine Harris					
1027	1	Christine Feehan					
1028	1	Ron Paul					
1029	1	Julie Aigner-Clark					
1030	1	Lorna Byrne					
1031	1	Carmine Gallo					
1032	1	Richard Scarry					
1034	1	John G. Miller					
1036	1	John Wooden					
1037	1	Tommy James					
1039	1	Chuck Wills					
1040	1	Peter Hessler					
1042	1	Melanie Benjamin					
1043	1	Seth Godin					
1044	1	Roald Dahl					
1045	1	Cynthia Rylant					
1046	1	Margaret A. Fitzgerald					
1047	1	Masashi Kishimoto					
1048	1	Leslie Capachietti					
1049	1	Fern Michaels					
1050	1	David McCullough					
1051	1	Theodore Taylor					
1053	1	Lora Leigh					
1054	1	J. K. Lasser Institute					
1055	1	Jim Butcher					
1056	1	John Sandford					
1057	1	Oliver Sacks					
1058	1	Joy Bauer					
1059	1	Sam Vaknin					
1061	1	Roger Lancelyn Green					
1062	1	Sherryl Woods					
1063	1	David D. Burns					
1064	1	Arnold Lobel					
1065	1	Jon Meacham					
1066	1	Russell Brand					
1067	1	Shelly Laurenston					
1068	1	Stephen Crane					
1070	1	E. Bernard Jordan					
1071	1	Garry Wills					
1073	1	Suzanne Beecher					
1076	1	Beatrix Potter					
1077	1	Suzanne Brockmann					
1078	1	Todd Bridges					
1079	1	Harlan Coben					
1080	1	Susan Wittig Albert					
1081	1	Sandra Boynton					
1082	1	Tish Rabe					
1083	1	Mo Willems					
1084	1	Margery Williams					
1085	1	Mercedes Lackey					
1086	1	Ted Bell					
1088	1	Stephenie Meyer					
1089	1	Gennifer Choldenko					
1091	1	Debra Frasier					
1092	1	Lisa McMann					
1094	1	Jane O'Connor					
1095	1	Peter Biskind					
1096	1	Charles Sophy					
1097	1	Jane Johnson					
1098	1	Tara Parker-Pope					
1099	1	Josh Kilmer-Purcell					
1100	1	Shelly Laurenston					
1101	1	Elise Broach					
1102	1	Ray Bradbury					
1104	1	Kate DiCamillo					
1105	1	E. B. White					
