book	abebooks	author						
0271	1	Faulkner, William						
0272	1	Bruce Watson						
0273	1	Laurence Gonzales						
0274	1	Lee Child						
0275	1	Jesse Byock						
0276	1	Steven Pinker						
0277	1	Michael Crichton						
0278	1	Leon Uris						
0279	1	William Sleator						
0280	1	Michael B. Oren						
0281	1	Rudolph M. Ballentine						
0282	1	John Grisham						
0283	1	Nora Roberts						
0284	1	Mark Twain						
0285	1	Neal Stephenson						
0286	1	Lee Child						
0287	1	Ellison, Ralph						
0288	1	W. E. B. Griffin						
0289	1	Jhumpa Lahiri						
0290	1	J. R. R. Tolkien						
0291	1	John Grisham						
0292	1	John Le Carre						
0293	1	David L. Robbins						
0294	1	Eugenia Price						
0295	1	William Boyd						
0296	1	Kim Newman						
0297	1	Rand, Ayn						
0299	1	Robert B. Parker						
0300	1	Rick Atkinson						
0301	1	Douglas C. Montgomery						
0302	1	Lisa Kleypas						
0303	1	Nancy C. Wood						
0304	1	David Michaelis						
0305	1	James Clavell						
0306	1	Baldacci, David						
0307	1	Stephen Hunter						
0308	1	Barry Sears						
0309	1	Stephen Baxter						
0310	1	Colin Simpson						
0311	1	Jamie Lee Curtis						
0312	1	O'Brian, Patrick						
0313	1	Dennis Lehane						
0314	1	Barbara Samuels						
0315	1	Foreman, Amanda						
0316	1	O.E. Rolvaag						
0317	1	Joe Hill						
0318	1	Louise Erdrich						
0319	1	Wayne W. Dyer						
0320	1	John Gray						
0321	1	Michael Crichton						
0322	1	O'Brian, Patrick						
0323	1	Michael Chabon						
0324	1	Scanlon, Gisele						
0325	1	O'Brian, Patrick						
0326	1	Tom Spanbauer						
0327	1	Kiyoshi Suzaki						
0328	1	Joseph Campbell						
0329	1	Baker, Tom						
0330	1	Richard J. Foster						
0331	1	Bryan Garner						
0332	1	Leo Strauss						
0333	1	Richard M. Fried						
0334	1	Deborah Crombie						
0335	1	Thomas Moore						
0336	1	Mikhail Bakhtin						
0337	1	Sara Gruen						
0338	1	Stuart Woods						
0339	1	Wendy Robson						
0340	1	Bruce Vermazen						
0341	1	Anne Enright						
0342	1	Huston Smith						
0343	1	Philip Jenkins						
0344	1	Naipaul, V. S.						
0345	1	Elmer Towns						
0346	1	Richard G. Boehm						
0347	1	Linda Olsson						
0348	1	Gladwell, Malcolm						
0349	1	Cate Tiernan						
0350	1	Julia Leigh						
0351	1	John Steinbeck						
0352	1	Smith, Wilbur						
0353	1	Kyriacos C. Markides						
0354	1	Richard Ellmann						
0355	1	Mark Helprin						
0356	1	Milligan, Spike						
0357	1	Mem Fox						
0358	1	Donald Spoto						
0360	1	Picoult, Jodi						
0361	1	Carolyn Chute						
0362	1	Tom Scott						
0363	1	Courtenay, Bryce						
0364	1	Clive James						
0365	1	Arthur Marwick						
0366	1	Gretel Ehrlich						
0367	1	C. S. Lewis						
0368	1	Smith, Zadie						
0369	1	John Rawls						
0371	1	Susan Branch						
0372	1	Connelly, Michael						
0373	1	David Eicher						
0374	1	John Hart						
0375	1	Stephen Coonts						
0376	1	David Dellinger						
0379	1	Linda Lael Miller						
0380	1	Naomi Klein						
0381	1	Linda Howard						
0382	1	Robert Jordan						
0383	1	Norman MacLean						
0384	1	Diana Hacker						
0385	1	George P. Pelecanos						
0386	1	Gregory David Roberts						
0387	1	Wally Lamb						
0388	1	James Patterson						
0389	1	Basil Davidson						
0391	1	Allan Folsom						
0393	1	Tasha Tudor						
0394	1	Michael Connelly						
0395	1	Randy Shilts						
0396	1	James Lee Burke						
0397	1	Clement Clarke Moore						
0398	1	Naomi Klein						
0399	1	Gail Tsukiyama						
0400	1	James A. Michener						
0401	1	David Willis McCullough						
0402	1	James Patterson						
0403	1	Woolf, Virginia						
0404	1	April Stevens						
0405	1	Gibson, William						
0406	1	Tara Bennett-Goleman						
0408	1	David Sklar						
0410	1	Stephanie Coontz						
0411	1	Philbrick, Nathaniel						
0412	1	Jane Goodall						
0413	1	R. D. Wingfield						
0414	1	Dean Koontz						
0415	1	Og Mandino						
0416	1	Geraldine Brooks						
0417	1	Deighton, Len						
0418	1	Linwood Barclay						
0419	1	David Harvey						
0420	1	Stephen King						
0421	1	Mehdi, Sharon						
0422	1	David Willis McCullough						
0423	1	Rose Tarlow						
0424	1	Ray Kurzweil						
0425	1	Carol Gorman						
0426	1	C. S. Lewis						
0427	1	Bryson, Bill						
0428	1	Isabel Wilner						
0429	1	John S. Burnett						
0430	1	Harley Flanders						
0431	1	Eric Jerome Dickey						
0432	1	Alan Weiss						
0433	1	Dalton Trumbo						
0434	1	Daniel Quinn						
0435	1	Ralph Waldo Emerson						
0436	1	Neal Stephenson						
0437	1	Manco, Tristan						
0438	1	Ambrose Bierce						
0439	1	John B. Lust						
0440	1	Deepak Chopra						
0441	1	Deepak Chopra						
0442	1	Henry David Thoreau						
0444	1	Jack Du Brul						
0445	1	Alan Lightman						
0446	1	Irvin Yalom						
0447	1	Howard Gardner						
0448	1	Andrew M. Greeley						
0449	1	David Baldacci						
0450	1	Rolf Myller						
0451	1	Francis D. K. Ching						
0452	1	Lorrie Moore						
0453	1	Joyce Meyer						
0454	1	Christopher Taylor						
0455	1	Greg Iles						
0456	1	David Baldacci						
0457	1	Henri F. Ellenberger						
0458	1	Noah Gordon						
0459	1	Robert George Leeson Waite						
0460	1	Daniel Silva						
0461	1	David Baldacci						
0462	1	Herbert X. Spiegel						
0463	1	Renita J. Weems						
0464	1	David S. Reynolds						
0465	1	K. N. King						
0466	1	James A. Michener						
0467	1	James Carroll						
0468	1	James Dickey						
0469	1	Robert K. Massie						
0470	1	John Kenneth Galbraith						
0471	1	Michael Crichton						
0472	1	Stephen W. Sears						
0473	1	Vidiadhar Surajprasad Naipaul						
0474	1	Jhumpa Lahiri						
0475	1	Edward W. Said						
0476	1	Gerald A. Danzer						
0477	1	Neil Smith						
0478	1	David Halberstam						
0479	1	Samuel Adler						
0480	1	John J. Mearsheimer						
0481	1	Patrick O'Brian						
0483	1	Joel Martin						
0484	1	Danielle Steel						
0485	1	Stephanie Laurens						
0486	1	Bryson, Bill						
0487	1	Walter Mosley						
0488	1	Neil Gaiman						
0489	1	Pat Conroy						
0490	1	Cassie Brown						
0491	1	Laurence Gonzales						
0492	1	Richard Sennett						
0493	1	Jon Kabat-Zinn						
0494	1	Jacob Milgrom						
0495	1	Peter Spier						
0496	1	Elizabeth Lowell						
0497	1	Margaret Atwood						
0498	1	Christopher Bishop						
0499	1	Emory M. Thomas						
0500	1	Boyne, John						
0501	1	Paul Krugman						
0502	1	Khaled Hosseini						
0503	1	Michael Lewis						
0504	1	James Surowiecki						
0505	1	Eugenia Price						
0506	1	Rick Bragg						
0507	1	Edward John Crockett						
0509	1	Rem Koolhaas						
0510	1	Thomas Maude						
0511	1	Robert H. Ferrell						
0512	1	Markus Zusak						
0513	1	Marion Zimmer Bradley						
0516	1	Anne Rice						
0517	1	David Keirsey						
0518	1	Bonnie Wilford						
0519	1	Hans Alfred Nieper						
0520	1	Michelle Hamilton						
0521	1	Carl Hiaasen						
0522	1	Edward St. Aubyn						
0523	1	Markus Zusak						
0524	1	Mankell, Henning						
0525	1	Shirley Jackson						
0527	1	Carol Garhart Mooney						
0528	1	Thomas Paine						
0529	1	Meyer, Stephenie						
0530	1	John P. McTernan						
0531	1	John Piper						
0532	1	Patrick Howe						
0533	1	Ryland Peters & Small						
0534	1	Armstrong, Karen						
0535	1	J. Zohara Meyerhoff Hieronimus						
0537	1	Roger Rosewell						
0538	1	Paul Stamets						
0539	1	Marcia Prager						
0540	1	Bill Moody						
0541	1	Robert Spencer						
0542	1	Chrissie Gallagher-Mundy						
0543	1	Hyde, Lewis						
0544	1	Eugene H. Peterson						
0545	1	Bathroom Readers' Institute						
0546	1	Bathroom Readers' Institute						
0547	1	Linda Hunt						
0548	1	Terry W. Glaspey						
0549	1	Studs Terkel						
0550	1	Wayne S. Peterson						
0551	1	Miles Clark						
0552	1	Lee Smith						
0553	1	Linda McNatt Page						
0554	1	Francine Rivers						
0555	1	John W. Creswell						
0557	1	Beryl Markham						
0558	1	Philippa Gregory						
0559	1	Roger Plunk						
0561	1	Akhil Reed Amar						
0563	1	Foundation of Inner Peace						
0564	1	April Masini						
0565	1	Robyn Webb						
0566	1	Wing F. Fing						
0567	1	Thomas W. Phelan						
0568	1	Cornwell, Patricia						
0569	1	Jack M. Bickham						
0570	1	Jeannie Mills						
0571	1	David Icke						
0572	1	Pearl S. Buck						
0573	1	Lee Catterall						
0574	1	Dan Millman						
0575	1	John Gurda						
0577	1	Jan Foulke						
0578	1	Joel S. Goldsmith						
0579	1	Florence Littauer						
0580	1	Bert Dodson						
0581	1	Thomas H. Davenport						
0582	1	American Psychiatric Association						
0583	1	Jose Comblin						
0584	1	Mel Bartholomew						
0585	1	Andre Van Lysebeth						
0586	1	Jim Harrison						
0588	1	Frank Peretti						
0590	1	Stephen G. Gilligan						
0591	1	Napoleon Hill						
0592	1	Georges Perec						
0593	1	Charlotte M. Mason						
0594	1	John W. Lynch						
0595	1	Bobo Lo						
0596	1	David Ball						
0597	1	Brenda Tharp						
0598	1	Deitcher, David						
0600	1	Mark Simon						
0601	1	Billy Graham						
0602	1	Timothy Miller						
0603	1	Rick Atkinson						
0604	1	Christina Vella						
0605	1	Mann, William J.						
0606	1	Laura Ingalls Wilder						
0607	1	Donald Edward Green						
0608	1	Primo Levi						
0609	1	Karen Louise Jolly						
0610	1	Christopher Kendris						
0611	1	J. Dwight Pentecost						
0612	1	Chris Thurman						
0613	1	Patrick F. McManus						
0616	1	Virginia Haufler						
0617	1	Allen M. Schoen						
0618	1	Ed Viesturs						
0619	1	Lee Roddy						
0620	1	Robert Charles Wilson						
0621	1	Andrew Chevallier						
0622	1	Elaine Aron						
0624	1	Marion Yorck Von Wartenburg						
0625	1	Munro, Alice						
0626	1	John A. Long						
0627	1	Derek Wilson						
0628	1	Mowat, Farley						
0629	1	Tim Hansel						
0630	1	Patrick Leigh Fermor						
0631	1	Chris Hedges						
0632	1	Wood, Gordon S.						
0633	1	Gary Jennings						
0634	1	John Betjeman						
0635	1	Connelly, Michael						
0636	1	Kenneth C. Davis						
0637	1	Gary Paulsen						
0638	1	Ellen Sandbeck						
0639	1	Palin, Michael						
0640	1	Tom Bodett						
0641	1	Steven Pinker						
0642	1	Margot Sunderland						
0643	1	Peter Clement						
0644	1	Read, Miss						
0645	1	Laurie Faria Stolarz						
0646	1	James Cuno						
0647	1	M.L. Van Vorst						
0648	1	Kay R. Jamison						
0650	1	Stephen King						
0651	1	Mary Doria Russell						
0653	1	Deborah Crombie						
0654	1	John Hersey						
0655	1	Jonathan Franzen						
0656	1	Ralph Ellison						
0657	1	Melvin Patrick Ely						
0658	1	Michael Crichton						
0659	1	Ted Hughes						
0660	1	Candace B. Pert						
0661	1	Harold McGee						
0663	1	Patricia Cornwell						
0664	1	Peter Matthiessen						
0665	1	Rushdie, Salman						
0666	1	Carl Hiaasen						
0667	1	Michael Shaara						
0668	1	Hunter S. Thompson						
0669	1	Charlaine Harris						
0670	1	Dennis Potter						
0671	1	Charles Kingsley						
0672	1	Joel Greenblatt						
0675	1	Smith, Delia						
0676	1	Kate Williams						
0677	1	Michael Shaara						
0678	1	Michael Shaara						
0679	1	James E. Mazur						
0680	1	Ransome, Arthur						
0681	1	Edward P. Stafford						
0682	1	David Halberstam						
0683	1	Studs Terkel						
0684	1	Barbara W. Tuchman						
0685	1	Smith, Alexander McCall						
0686	1	Spark, Muriel						
0687	1	Shaara, Jeff						
0688	1	Jeffrey Liker						
0690	1	Philip Caputo						
0691	1	Linda Barnes						
0692	1	Marion Chesney						
0693	1	Barbara Walters						
0694	1	Carol S. Pearson						
0695	1	Richard Lawrence Ollard						
0696	1	Jeff Lindsay						
0697	1	Katie Hickman						
0698	1	Kevin Brownlow						
0699	1	O'Brian, Patrick						
0700	1	Peter Nichols						
0701	1	Megan Holmes						
0702	1	Jacques Barzun						
0703	1	Patrick F. McManus						
0704	1	Ian Kershaw						
0705	1	Nora Ephron						
0706	1	Fitzgerald, Penelope						
0707	1	Jeannie Oakes						
0708	1	Shine, Betty						
0709	1	Matt Ridley						
0710	1	Melissa Knox						
0711	1	Tufnell, Hayter						
0712	1	Linda Hunt						
0713	1	William C. Foster						
0715	1	William MacDonald						
0716	1	Penelope Fitzgerald						
0717	1	Terry Pratchett						
0718	1	Tony Hillerman						
0719	1	John E. Gardner						
0720	1	Tom Snyder						
0721	1	Arnold Mindell						
0722	1	Baxter, Stephen M.						
0723	1	Elgin, Elizabeth						
0724	1	Christie, Agatha						
0725	1	Wright, Jonathan						
0726	1	Forrester, Helen						
0727	1	O'Brian, Patrick						
0728	1	Iggulden, Conn						
0729	1	Joanne Harris						
0730	1	Fraser, George MacDonald						
0731	1	Graham, Laurie						
0732	1	Johnson, Boris						
0733	1	Ramsay, Gordon						
0734	1	O'Brian, Patrick						
0735	1	H.M. Boettinger						
0737	1	Henryk Sienkiewicz						
0738	1	McGee, James						
0739	1	Cornwell, Bernard						
0740	1	Cornwell, Bernard						
0741	1	Levi, Primo						
0742	1	Shirley Trevena						
0743	1	Marjorie Winn Ford						
0744	1	Tolkien, J. R. R.						
0745	1	Robert Kemp Adair						
0746	1	Edwin Hanton Robertson						
0747	1	Donnelly, Jennifer						
0748	1	Iggulden, Conn						
0749	1	Robert Whiting						
0750	1	Erin Hunter						
0751	1	Paul Johnson						
0752	1	Paul Johnson						
0753	1	Phil Hellmuth						
0754	1	Leon Uris						
0755	1	Paulo Coelho						
0756	1	Laura Ingalls Wilder						
0757	1	Erin Hunter						
0759	1	Gaiman, Neil						
0760	1	Parker J. Palmer						
0761	1	Rick Beyer						
0764	1	Elizabeth Lowell						
0765	1	Arthur Herman						
0766	1	Bill Bryson						
0767	1	Gustov Davidson						
0768	1	Betty Smith						
0769	1	Patricia MacLachlan						
0770	1	John Steele Gordon						
0771	1	David A. Aaker						
0772	1	Gregory Maguire						
0773	1	James P. Carse						
0774	1	Thomas J. Peters						
0775	1	Frank A., Comp Tillman						
0776	1	David H. Maister						
0777	1	Diana Wynne Jones						
0778	1	David Underdown						
0779	1	Richard Chamberlain						
0780	1	Martin J. Pring						
0781	1	Pat Dailey						
0782	1	Donald A. MacKay						
0783	1	Annie Dillard						
0784	1	Shel Silverstein						
0785	1	Charlotte Zolotow						
0786	1	Spike Carlsen						
0787	1	MacRina Wiederkehr						
0788	1	Johan Huizinga						
0789	1	Gordon William Prange						
0790	1	Stillman Drake						
0791	1	John B. Herbich						
0792	1	Henry Hill Collins						
0793	1	J. P. Holman						
0794	1	Howard Nemerov						
0795	1	Rumer Godden						
0796	1	Friedrich August Von Hayek						
0797	1	Marcel Detienne						
0798	1	Elizabeth Peters						
0799	1	Robin S. Sharma						
0801	1	Debbie Ford						
0802	1	Frederick Buechner						
0803	1	Richard Powers						
0804	1	Frederic Brussat						
0805	1	Julian Hoppit						
0806	1	Thomas G. Gunning						
0807	1	Paul Addison						
0808	1	John S. Dryzek						
0809	1	Franz Boas						
0810	1	A. David Moody						
0811	1	Kurt Vonnegut						
0812	1	Stephen Gundle						
0813	1	John Herivel						
0814	1	Raymond Williams						
0815	1	Martin Amis						
0816	1	Christopher M. Bishop						
0817	1	Opengl Architecture Review Board						
0819	1	Peter Marcan						
0820	1	Igor Klyukanov						
0821	1	Russell Hoban						
0822	1	Dennis E. Showalter						
0823	1	Euan Cameron						
0826	1	Doyle, Roddy						
0827	1	Bryan A. Garner						
0828	1	Stuart Kauffman						
0829	1	James Waller						
0830	1	Carol Meyers						
0831	1	Robert Coles						
0832	1	Michael J. Klarman						
0833	1	David Brion Davis						
0834	1	Bill Crow						
0835	1	Anthony Grafton						
0836	1	Linda Lemoncheck						
0837	1	John Lindow						
0838	1	Anastasia Edwards						
0839	1	John Lewis Gaddis						
0840	1	Robert Kaplan						
0841	1	Edwin Bryant						
0842	1	Istvan Hargittai						
0843	1	John Pemble						
0844	1	Joanna M. McDonald						
0845	1	David J. Bearison						
0846	1	Eugene B. Sledge						
0847	1	Dell Upton						
0849	1	Debi Gliori						
0850	1	Edward Craig						
0851	1	Christian, James L.						
0852	1	Nancy Willard						
0853	1	Jose Saramago						
0854	1	Gwyn Jones						
0855	1	Charles Wright Mills						
0856	1	Terrence Des Pres						
0857	1	Cross, Gillian						
0858	1	Burke Wilkinson						
0859	1	Jimmy Buffett						
0860	1	Roseman, Mark						
0861	1	McGough, Roger						
0863	1	Alice Walker						
0864	1	Louisa May Alcott						
0865	1	Hawes, Annie						
0866	1	Cunxin, Li						
0868	1	Orbach, Susie						
0869	1	Umberto Eco						
0870	1	Donald Hall						
0871	1	Dahl, Roald						
0872	1	Nuruddin Farah						
0873	1	Peter Trudgill						
0874	1	Edward Gibbon						
0875	1	Mary Bray Pipher						
0876	1	Kapuscinski, Ryszard						
0877	1	Klein, Naomi						
0880	1	Richard B. Frank						
0881	1	John Freely						
0882	1	Mark C. Gridley						
0883	1	Page Smiht						
0884	1	Lawrence Meir Friedman						
0885	1	Milan Kundera						
0886	1	Lee, Laurie						
0887	1	Prentice Hall						
0889	1	Stephenson, Neal						
0890	1	John J. Macionis						
0892	1	Hafiz						
0893	1	Jan Morris						
0894	1	Richard Paul Evans						
0895	1	Joan Wolf						
0896	1	Sheldon M. Ross						
0897	1	Mary Balogh						
0898	1	Barbara Erskine						
0899	1	Berendt, John						
0900	1	Daniel Silva						
0901	1	Mary Jo Putney						
0902	1	Sarah Andrews						
0903	1	Hill, Susan						
0904	1	Wilson, A. N.						
0905	1	Mankell, Henning						
0906	1	Hamilton, Patrick						
0908	1	David Baldacci						
0909	1	Paul Hoffman						
0910	1	Mary Stewart						
0912	1	Sidney B. Simon						
0913	1	Amy Sedaris						
0914	1	Wess Roberts						
0915	1	Anne Rivers Siddons						
0917	1	David Baldacci						
0918	1	Judith Orloff						
0919	1	Robert James Waller						
0920	1	Anne Perry						
0921	1	James Redfield						
0922	1	David Baldacci						
0923	1	Sparks, Nicholas						
0924	1	Nelson Demille						
0925	1	Emma Jensen						
0926	1	Kate Charles						
0927	1	John Grisham						
0928	1	D. H. Tompsett						
0929	1	Annette Curtis Klause						
0930	1	Amanda Scott						
0931	1	Rosario Capotosto						
0932	1	Diana Gabaldon						
0933	1	Alastair Reynolds						
0934	1	Tim O'Brien						
0935	1	Christina Skye						
0936	1	Sidney Sheldon						
0937	1	Richard L. Dube						
0938	1	Christopher Reich						
0939	1	Mary Balogh						
0940	1	Nancy Larrick						
0941	1	Thomas H. Cook						
0942	1	David Lodge						
0943	1	Brenda Joyce						
0944	1	Megan Lindholm						
0945	1	Karen Robards						
0946	1	Annette Curtis Klause						
0947	1	De Bernieres, Louis						
0948	1	Robert B. Parker						
0949	1	Laura Childs						
0950	1	Tracey West						
0951	1	Randy Wayne White						
0952	1	Richard Bach						
0953	1	Jack Finney						
0954	1	Kurt Vonnegut						
0955	1	Peter Sanders						
0956	1	Kurt Vonnegut						
0957	1	Donna Haraway						
0958	1	Emily Rodda						
0959	1	Roddy Doyle						
0960	1	James Carlos Blake						
0961	1	Homi K. Bhabha						
0962	1	John Feather						
0963	1	Andrew M. Greeley						
0964	1	Michael Hough						
0965	1	Sarah Kane						
0966	1	Sharon Kay Penman						
0967	1	John Sandford						
0968	1	Nevada Barr						
0969	1	Xavier Mayne						
0970	1	Brian Jacques						
0971	1	John Sandford						
0972	1	John Sandford						
0973	1	J. D. Robb						
0974	1	Tasha Tudor						
0975	1	Daniel Woodrell						
0976	1	Ariana Franklin						
0977	1	W. E. B. Griffin						
0978	1	Patricia Polacco						
0979	1	John Sandford						
0980	1	George Burns						
0982	1	Robert Charles Wilson						
0983	1	Julian May						
0984	1	Russell Freedman						
0985	1	Berger, John						
0987	1	Penelope Fitzgerald						
0988	1	Barbara Michaels						
0989	1	Bill Peet						
0990	1	Isaac Asimov						
0991	1	Maeve Brennan						
0992	1	William Shakespeare						
0993	1	Elizabeth George Speare						
0994	1	Bruce Duffy						
0996	1	John Gardner						
0997	1	Robert Ludlum						
0998	1	Cather, Willa						
0999	1	Joseph Wambaugh						
1000	1	Bonnie Bryant						
1001	1	James H. Billington						
1002	1	Greg Rucka						
1003	1	David Gemmell						
1004	1	Willa Cather						
1005	1	Swarup, Vikas						
1006	1	Jonathan Kellerman						
1007	1	Allan W. Eckert						
1008	1	Pagels, Elaine						
1009	1	Mary Renault						
1010	1	Bruno Bettelheim						
1011	1	Jonathan Kellerman						
1012	1	Tom Sharpe						
1013	1	Jorge Luis Borges						
1014	1	John Green						
1015	1	D. C. Parker						
1016	1	Joyce Carol Oates						
1017	1	Andrew S. Pullin						
1018	1	Christine M. Korsgaard						
1019	1	Hedieh Nasheri						
1021	1	James E. Small						
1022	1	Philip Melanchton						
1023	1	Michael Wilson						
1025	1	Marjorie Ainsborough Decker						
1027	1	Andrew Wallace-Hadrill						
1028	1	Ron Westrum						
1029	1	Jane Ray						
1030	1	Nalini Nadkarni						
1031	1	Susan McClary						
1032	1	Umberson, Debra						
1033	1	Dena Ferran Dincauze						
1034	1	William Hinton						
1035	1	Bernard F. Schutz						
1037	1	John R. Clarke						
1038	1	Terry Eagleton						
1039	1	Lorenzo Bianconi						
1040	1	Julian Young						
1041	1	Antony Griffiths						
1043	1	David P. Billington						
1044	1	Paul Webster						
1045	1	Andrew M. Greeley						
1046	1	Theodore Kisiel						
1047	1	David Lowenthal						
1048	1	Miles Reid						
1049	1	Neil L. Jamieson						
1050	1	Warren Kenton						
1051	1	Seymour B. Wyler						
1052	1	Roger Tory Peterson						
1054	1	Steven Runciman						
1056	1	Hans Silvester						
1057	1	Nora Roberts						
1058	1	Nora Roberts						
1059	1	Allen Klein						
1060	1	Rafafaele De Grada						
1061	1	Lindsey Davis						
1062	1	Lois Kreischer						
1063	1	Charles Whiting						
1064	1	Davis, Burke						
1065	1	W. E. B. Griffin						
1066	1	Richard Tarnas						
1067	1	Nora Roberts						
1068	1	Edward Courtney						
1069	1	Jacques Stella						
1070	1	J. F. Carlson						
1071	1	Sidney Toy						
1072	1	Alan Agresti						
1073	1	Wassily Kandinsky						
1074	1	John Handoll						
1075	1	William Dunham						
1076	1	Alfred Mann						
1077	1	Manly Banister						
1079	1	Thomas Hughes						
1080	1	Leo Tolstoy						
1081	1	Ebenezer Prout						
1082	1	Loren Cordain						
1083	1	John Allen Paulos						
1084	1	Asne Seierstad						
1085	1	Robert Alter						
1086	1	Robert R. Prechter						
1088	1	Charles Kittel						
1089	1	Daniel Duffy						
1090	1	Lawrence M. Mead						
1091	1	Max Boot						
1092	1	Christian Parenti						
1093	1	Lee Harris						
1094	1	Tracy Chevalier						
1095	1	Dovid Katz						
1096	1	Jill Krementz						
1097	1	Mona Simpson						
1098	1	Denise Domning						
1099	1	Carl Sagan						
1100	1	Carl E. Schorske						
1101	1	James A. Michener						
1102	1	John Dufresne						
1103	1	James A. Michener						
1104	1	John Le Carre						
1105	1	Michel Foucault						
1106	1	Douglas Porch						
1107	1	Robert Hughes						
1108	1	Irene Kuo						
1109	1	Richard Russo						
1110	1	John Le Carre						
1111	1	Norman Mailer						
1112	1	Richard Adams						
1113	1	Crichton, Michael						
1114	1	Steven D. Strauss						
1115	1	Jan Gullberg						
1116	1	George Heussenstamm						
1117	1	Dean Acheson						
1118	1	Toni Morrison						
1119	1	Richard Dawkins						
1120	1	Paul Krugman						
1121	1	James A. Michener						
1122	1	Marcel Mauss						
1123	1	John Le Carre						
1124	1	Patrick O'Brian						
1125	1	Patrick O'Brien						
1126	1	Peter L. Bernstein						
1127	1	Chanrithy Him						
1128	1	Stephen Greenblatt						
1129	1	David Frum						
1130	1	Janet Wallach						
1131	1	R.O. Wells						
1132	1	Peter Schweizer						
1133	1	Antonia Fraser						
1134	1	Pratchett, Terry						
1135	1	Michio Kaku						
1138	1	Pratchett, Terry						
1139	1	David Anthony Durham						
1140	1	James Lee Burke						
1141	1	Libba Bray						
1142	1	Ian McEwan						
1143	1	Chuck Palahniuk						
1144	1	Nicola Griffith						
1145	1	James Lee Burke						
1146	1	Peter Ackroyd						
1147	1	Zusak, Markus						
1148	1	John Grisham						
1149	1	Jacques Lacan						
1150	1	James Reston						
1151	1	Shelley Jackson						
1152	1	Stephen Jay Gould						
1153	1	Edward Rutherfurd						
1154	1	Reza N. Jazar						
1155	1	Malachi Martin						
1156	1	Adam Haslett						
1157	1	Rosemary Rogers						
1158	1	Thomas S. Bokenkotter						
1160	1	John J. Delaney						
1161	1	Michael Gelb						
1163	1	W. Bruce Lincoln						
1164	1	Garry Wills						
1165	1	Naguib Mahfouz						
1166	1	Ben Bova						
1167	1	Immanuel Velikovsky						
1168	1	Junior League of San Francisco						
1169	1	David Hewson						
1170	1	Thomas Stephen Szasz						
1171	1	Thomas Thompson						
1172	1	T. E. Lawrence						
1173	1	Mary Balogh						
1174	1	James Rollins						
1175	1	Sally Denton						
1177	1	John Grisham						
1178	1	John Grisham						
1179	1	Christopher Moore						
1180	1	California J. Cooper						
1181	1	John Grisham						
1182	1	Henri J.M. Nouwen						
1183	1	Laurie McBain						
1184	1	Ellis, Bret Easton						
1185	1	Rosemary Rogers						
1186	1	Francis, Dick						
1187	1	Reeman, Douglas						
1188	1	Rosemary Rogers						
1189	1	Busbee, Shirlee						
1190	1	Rushdie, Salman						
1191	1	Margery Allingham						
1192	1	Godwin, Peter						
1193	1	Edmund Crispin						
1194	1	J.A. Jance						
1195	1	Smith, Wilbur						
1196	1	Ted Hughes						
1197	1	Timothy Hallinan						
1198	1	Reeman, Douglas						
1199	1	Smith, Wilbur						
1200	1	Rosemary Rogers						
1201	1	Elizabeth Lowell						
1202	1	James Lee Burke						
1203	1	Bernd Heinrich						
1204	1	Jane Yolen						
1206	1	John G. Tower						
1207	1	Bruce P. Ballenger						
1208	1	Berkeley Breathed						
1210	1	James Beard						
1211	1	David Allyn						
1212	1	F. Van Wyck Mason						
1213	1	James Patterson						
1214	1	Robert Lacey						
1215	1	Louise Hall Tharp						
1216	1	Jacob Bronowski						
1217	1	Leonard Susskind						
1218	1	Martha Grimes						
1219	1	Verlyn Klinkenborg						
1220	1	Dale Dearmond						
1221	1	Kathleen Morgan						
1222	1	K. C. Greenlief						
1223	1	Atul Gawande						
1224	1	David Hagberg						
1225	1	Mercedes Lackey						
1226	1	David Leitz						
1227	1	Dan Simmons						
1228	1	Jerry White						
1229	1	Paula Marantz Cohen						
1231	1	Chris Duff						
1232	1	David B. Coe						
1233	1	Emily Giffin						
1234	1	Elizabeth Chadwick						
1235	1	Jonathan Carroll						
1237	1	Steven Saylor						
1238	1	Thomas L. Friedman						
1239	1	Aiken						
1240	1	Gerald L. Sittser						
1241	1	Owen Letcher						
1242	1	Robert Gray						
1243	1	H. Wayne House						
1244	1	Eddie Muller						
1245	1	Peter Hathaway Capstick						
1246	1	Ann Ripley						
1247	1	Patricia Veryan						
1248	1	Kevin Boyd Grubb						
1249	1	Michael Wallis						
1250	1	William T. Martin Riches						
1253	1	Anita Diamant						
1254	1	Minette Walters						
1255	1	Robin Lee Hatcher						
1257	1	Rob Roy Kelly						
1258	1	Jerome Kagan						
1260	1	Terence Maloon						
1261	1	MacMullen, Ramsay						
1262	1	John Lukacs						
1263	1	James C. Scott						
1264	1	William E. Odom						
1266	1	Martin Heidegger						
1268	1	Millar, George						
1269	1	Thomas Crow						
1270	1	James C. Scott						
1271	1	Alexandra Garbarini						
1272	1	Marianna Shreve Simpson						
1273	1	John R. Labovitz						
1274	1	William Watson						
1275	1	Robert P. Ericksen						
1276	1	Kathryn Kenny						
1277	1	Barbara Rose						
1278	1	Russell F. Weigley						
1279	1	Beevor, Antony						
1280	1	Russell Frank Weigley						
1281	1	Nancy Mitford						
1282	1	Eugene V. Debs						
1283	1	Mark Elliott						
1284	1	Vincent J. Cornell						
1285	1	Alan P. Bell						
