movie	yahoo	director			
0046	1	Ferzan Özpetek (II)			
0047	1	Spike Lee			
0048	1	Carl Schenkel			
0049	1	Glen Goei			
0051	1	Nancy Savoca			
0052	1	Gary Halvorson			
0053	1	Gary Sinyor			
0054	1	Neil Jordan			
0055	1	Robert Rodriguez			
0056	1	Stephen Frears			
0057	1	Stanley Tucci			
0058	1	Richard Rich			
0059	1	Mike Figgis			
0060	1	Volker Schlöndorff			
0062	1	Antoine Fuqua			
0063	1	Jim Fall			
0064	1	Peter H. Hunt			
0065	1	Michael Polish			
0067	1	Brian Robbins			
0068	1	Kevin Brodie			
0070	1	Barry Sonnenfeld			
0071	1	Joan Chen			
0072	1	Nora Ephron			
0073	1	Michael Lehmann			
0074	1	Chris Smith			
0076	1	Alan Parker			
0077	1	Jay Roach			
0078	1	Chris Noonan			
0079	1	Anne Wheeler			
0081	1	Kimberly Peirce			
0082	1	Caroline Thompson			
0083	1	Vincent Gallo			
0084	1	Michael Curtiz			
0085	1	Brad Silberling			
0086	1	Geoffrey Wright			
0087	1	Bob Saget			
0088	1	David Nutter			
0090	1	Peter Hyams			
0091	1	Kasi Lemmons			
0093	1	Herbert Ross			
0094	1	Sam Pillsbury			
0095	1	Jim Jarmusch			
0096	1	Gus Van Sant			
0097	1	Ana Kokkinos			
0098	1	James Ivory			
0099	1	Lisa Cholodenko			
0100	1	Jonathan Darby			
0104	1	Richard Donner			
0107	1	Paul Thomas Anderson			
0108	1	Milos Forman			
0109	1	Tim Burton			
0110	1	Martin Scorsese			
0111	1	Ron Underwood			
0112	1	John Duigan			
0113	1	John Madden			
0114	1	Trey Parker			
0115	1	Glenn Gordon Caron			
0116	1	John Frankenheimer			
0117	1	Brett Ratner			
0118	1	James Merendino			
0119	1	Wes Craven			
0121	1	Robert Iscove			
0123	1	David Carson			
0126	1	Danny Boyle			
0127	1	Joel Coen			
0128	1	Nicholas Hytner			
0129	1	Neil Jordan			
0131	1	Frank Darabont			
0132	1	Ang Lee			
0133	1	Michael Mann			
0135	1	Julio Medem			
0136	1	Ice Cube			
0138	1	Tim Roth			
0139	1	Frank Coraci			
0142	1	Radu Mihaileanu			
0143	1	Danny Boyle			
0144	1	Robert Zemeckis			
0145	1	Todd Haynes			
0147	1	Sam Raimi			
0148	1	Buddy Van Horn			
0150	1	Woody Allen			
0151	1	Frank Henenlotter			
0152	1	J. Lee Thompson			
0153	1	Michael Schultz			
0154	1	Bryan Forbes			
0155	1	Henry Koster			
0156	1	Richard Brooks			
0157	1	Ridley Scott			
0158	1	Paul Schrader			
0159	1	David Lynch			
0160	1	John Hughes			
0161	1	Peter Hyams			
0162	1	Carlos Diegues			
0163	1	Allan Arkush			
0165	1	George Kaczender			
0166	1	Vincent McEveety			
0167	1	Jules Dassin			
0168	1	Paul Bogart			
0169	1	Steven Spielberg			
0170	1	Ron Howard			
0171	1	Ingmar Bergman			
0172	1	Michael Apted			
0173	1	Peter Faiman			
0175	1	George A. Romero			
0176	1	Gary Sherman			
0177	1	Carl Reiner			
0178	1	Peter Weir			
0179	1	Buddy Van Horn			
0180	1	Dick Richards			
0181	1	Michael Cimino			
0182	1	John Milius			
0184	1	Sidney Lumet			
0185	1	Bruce Beresford			
0186	1	Richard Fleischer			
0187	1	Peter Godfrey			
0189	1	James William Guercio			
0190	1	Steve Barron			
0191	1	Diane Kurys			
0192	1	David Lynch			
0193	1	John Carpenter			
0195	1	David Miller			
0196	1	Norman Jewison			
0197	1	Hiroshi Teshigahara			
0198	1	Alfred Hitchcock			
0199	1	John Duigan			
0200	1	John Huston			
0201	1	Paul Almond			
0202	1	James Toback			
0203	1	Sergio Leone			
0204	1	Fred Zinnemann			
0205	1	Ingmar Bergman			
0206	1	Stanley Kubrick			
0207	1	Richard T. Heffron			
0208	1	Bertrand Blier			
0209	1	Peter Medak			
0210	1	Ivan Reitman			
0211	1	Frank Tashlin			
0212	1	Francis Ford Coppola			
0213	1	H. B. Halicki			
0215	1	John Sturges			
0216	1	Steve Benson			
0217	1	Ken Shapiro			
0220	1	John Carpenter			
0221	1	Peter Ustinov			
0222	1	Ted Post			
0223	1	Woody Allen			
0224	1	Bruce Malmuth			
0225	1	Mark Robson			
0226	1	Hal Ashby			
0227	1	George Sidney			
0228	1	Herb Freed			
0229	1	Terry Marcel			
0230	1	Peter Davis			
0231	1	Michael Lehmann			
0232	1	Nathan Juran			
0233	1	Gene Kelly			
0234	1	Clive Barker			
0235	1	Don Sharp			
0236	1	John Hugh McNaughton			
0238	1	Joan Micklin Silver			
0239	1	Akira Kurosawa			
0240	1	Mel Brooks			
0241	1	Igor Auzins			
0242	1	Stewart Bird			
0243	1	Brian De Palma			
0244	1	Larry Yust			
0245	1	William Graham (II)			
0247	1	Paul Lynch			
0248	1	Matt Cimber			
0249	1	John McTiernan			
0250	1	Matthew Chapman			
0251	1	Robert Aldrich			
0252	1	Robert Jiras			
0253	1	Joseph Brooks			
0254	1	Norman Jewison			
0256	1	Peter Del Monte			
0257	1	Frank Capra			
0258	1	Frank Capra			
0260	1	Norman Jewison			
0262	1	John Sturges			
0263	1	Joseph Ruben			
0266	1	John Landis			
0267	1	Frank Harris			
0268	1	Charlie Chaplin			
0269	1	Michael Apted			
0270	1	Alan J. Pakula			
0271	1	Masaki Kobayashi			
0275	1	Ivan Reitman			
0276	1	Roberto Benigni			
0277	1	John Glen			
0278	1	Michael Crichton			
0279	1	Maurice Pialat			
0281	1	Robert Altman			
0282	1	Richard Compton			
0283	1	Ken Russell			
0285	1	Gene Saks			
0286	1	Otto Preminger			
0287	1	Woody Allen			
0288	1	Richard Compton			
0290	1	Russ Mayberry			
0291	1	Tom Clegg			
0293	1	Rex Bromfield			
0294	1	Waris Hussein			
0297	1	John Schlesinger			
0299	1	Quentin Masters			
0300	1	James Bridges			
0302	1	Alain Resnais			
0303	1	Fred Dekker			
0304	1	Jean-Jacques Beineix			
0305	1	Richard Fleischer			
0306	1	Frank Capra			
0307	1	Michael Anderson			
0308	1	Martin Ritt			
0310	1	Bernard McEveety			
0311	1	Michael Lindsay-Hogg			
0312	1	John Landis			
0313	1	Emmett Alston			
0314	1	Alfred Hitchcock			
0315	1	Sergio Leone			
0316	1	Jean Becker			
0317	1	Agnes Varda			
0318	1	Kaneto Shindo			
0319	1	Glenn Jordan			
0320	1	Arthur Hiller			
0322	1	Menahem Golan			
0323	1	Clint Eastwood			
0325	1	Guy Green			
0326	1	Daryl Duke			
0327	1	Tim Burton			
0328	1	Francis Ford Coppola			
0329	1	John Waters			
0330	1	James M. Arnett			
0331	1	Tobe Hooper			
0334	1	John Carpenter			
0335	1	John Huston			
0336	1	Mel Brooks			
0337	1	Albert Magnoli			
0338	1	Robert Downey Sr.			
0340	1	Jim Markovic			
0341	1	Nicholas Ray			
0342	1	Howard Hawks			
0343	1	Paul Brickman			
0344	1	George Miller			
0345	1	John Avildsen			
0346	1	Fred Schepisi			
0347	1	Peter Hyams			
0349	1	Robert Butler			
0351	1	Harold Becker			
0352	1	Michael Ritchie			
0353	1	Stanley Donen			
0354	1	Lawrence Kasdan			
0357	1	Alan J. Pakula			
0358	1	Norman Taurog			
0360	1	Rob Reiner			
0361	1	Herbert Ross			
0362	1	Richard Rush			
0363	1	Joseph L. Mankiewicz			
0364	1	Preston Sturges			
0365	1	Martin Scorsese			
0366	1	Rod Daniel			
0367	1	Cecil B. DeMille			
0368	1	Tobe Hooper			
0370	1	Jack Haley Jr			
0371	1	Errol Morris			
0372	1	W.S. Van Dyke			
0373	1	Francis Veber			
0374	1	Anthony Mann			
0375	1	Terence Young			
0378	1	Henry Hathaway			
0380	1	Ivan Reitman			
0382	1	Norman Stone			
0383	1	George Sidney			
0384	1	Danny DeVito			
0385	1	Walter Hill			
0388	1	Lindsay Anderson			
0389	1	Robert Aldrich			
0391	1	Mel Stuart			
0393	1	Pedro Almodovar			
0394	1	Mike Nichols			
0395	1	William Wyler			
0397	1	Ellis Rabb			
0398	1	Mel Brooks			
0402	1	Alan J. Pakula			
0403	1	John Avildsen			
0404	1	Joel Coen			
0405	1	Tim Burton			
0409	1	Katsuhiro Otomo			
0411	1	Gus Van Sant			
0412	1	Ringo Starr			
0414	1	Lawrence Kasdan			
0415	1	Charles Shyer			
0417	1	Steven Spielberg			
0418	1	Anthony Mann			
0419	1	Curtis Hanson			
0420	1	Penelope Spheeris			
0421	1	Claude Chabrol			
0422	1	Kenny Ortega			
0423	1	Paul Verhoeven			
0424	1	Emile Ardolino			
0425	1	Jonathan Kaplan			
0426	1	Bertrand Tavernier			
0427	1	Colin Nutley			
0428	1	Lynne Ramsay			
0429	1	Neil Jordan			
0431	1	Robert Rodriguez			
0432	1	Igor Talankin			
0436	1	Errol Morris			
0437	1	Richard Donner			
0438	1	Kenny Ortega			
0439	1	Mel Brooks			
0442	1	David S. Ward			
0443	1	David Cronenberg			
0445	1	Brian Gibson (II)			
0448	1	Stephen Surjik			
0449	1	Fred Schepisi			
0450	1	Walter Hill			
0452	1	Donald Petrie			
0455	1	Mike Newell			
0456	1	Peter Segal			
0457	1	Raoul Peck			
0459	1	Lotte Reiniger			
0461	1	Mike Nichols			
0463	1	Christopher Cain			
0465	1	Frank Darabont			
0466	1	Victor Saville			
0467	1	Kevin Smith			
0470	1	Michael Apted			
0471	1	Henry Hathaway			
0476	1	Tony Scott			
0478	1	Roger Donaldson			
0480	1	Michael Gottlieb			
0482	1	Yuri Mamin			
0483	1	David Fincher			
0484	1	Jodie Foster			
0485	1	Lesli Linka Glatter			
0486	1	Barry Sonnenfeld			
0487	1	William Dieterle			
0488	1	Brian Gibson (II)			
0490	1	Robert Rodriguez			
0492	1	Bille August			
0493	1	Jim Mallon			
0495	1	Ben Stiller			
0496	1	Jim Jarmusch			
0498	1	Amy Holden Jones			
0499	1	James Foley			
0500	1	Mike Leigh			
0501	1	Barry Levinson			
0503	1	Cameron Crowe			
0504	1	Peter Segal			
0506	1	Satyajit Ray			
0507	1	Tsui Hark			
0511	1	Danny Boyle			
0513	1	Hayao Miyazaki			
0514	1	Atom Egoyan			
0515	1	Mark Jonathan Harris			
0518	1	Robert Redford			
0519	1	Steve Miner			
0520	1	Steven Zaillian			
0521	1	Jean Eustache			
0522	1	J.S. Cardone			
0523	1	Stanley Kubrick			
0524	1	James Cameron			
0526	1	Norman Jewison			
0527	1	Arthur Penn			
0528	1	Joseph L. Mankiewicz			
0529	1	Michael Chapman			
0532	1	John Landis			
0534	1	Robert Altman			
0535	1	Martin Scorsese			
0536	1	Oliver Stone			
0537	1	Reginald Hudlin			
0539	1	Mick Jackson			
0541	1	Lawrence Kasdan			
0542	1	Sam Raimi			
0545	1	Benoit Mariage			
0546	1	Spike Jonze			
0547	1	Pedro Almodovar			
0548	1	Michael Winterbottom			
0550	1	Tom Tykwer			
0551	1	Stephan Elliott			
0553	1	Jacques Rivette			
0554	1	Mike Nichols			
0555	1	Carlos Saura			
0557	1	Diane Keaton			
0558	1	Abbas Kiarostami			
0560	1	John Mallory Asher			
0562	1	Tina Valinsky			
0563	1	Rob Cohen			
0564	1	Curtis Hanson			
0566	1	Eric Bross			
0568	1	John Schlesinger			
0569	1	Steven Soderbergh			
0570	1	Julian Henriques			
0571	1	Julien Temple			
0574	1	Robert Lee King			
0575	1	Karin Julsrud			
0576	1	Karyn Kusama			
0577	1	Nigel Cole			
0578	1	Allan Moyle			
0580	1	Jon Shear			
0581	1	Patrik-Ian Polk			
0582	1	Sofia Coppola			
0583	1	John Swanbeck			
0584	1	Myles Connell			
0585	1	Justin Kerrigan			
0588	1	Peter Mullan			
0589	1	Edward Norton			
0590	1	William Friedkin			
0592	1	Michael Cristofer			
0593	1	Jason Freeland			
0594	1	Lars von Trier			
0597	1	Billy Bob Thornton			
0598	1	Sarah Kernochan			
0599	1	Didier Le Pecheur			
0600	1	Stephen Kinsella			
0602	1	Philip Haas			
0604	1	Bruno de Almeida			
0606	1	John Forte			
0607	1	Jon Turteltaub			
0608	1	Eyal Sivan			
0609	1	Michael Apted			
0611	1	Kevin Sullivan			
0613	1	Mike Nichols			
0616	1	Richard Attenborough			
0618	1	Joel Schumacher			
0619	1	John Kozak			
0620	1	Benoit Jacquot			
0621	1	Jason Freeland			
0623	1	Robert Greenwald			
0624	1	Bette Gordon			
0627	1	Keith Melton			
0630	1	Luis Bunuel			
0632	1	Antony Hoffman			
0633	1	George Lucas			
0634	1	Max Mayer			
0635	1	Adam Collis			
0637	1	David Dhawan			
0638	1	Robert Iscove			
0640	1	Rob Reiner			
0641	1	James Gray			
0642	1	Dein Perry			
0643	1	Thomas Carter			
0644	1	Luc Besson			
0645	1	Andre Techine			
0646	1	Francois Ozon			
0648	1	William Friedkin			
0650	1	Kevin Jordan			
0652	1	Mark Jonathan Harris			
0654	1	Gerard Stembridge			
0655	1	Daniel Fridell			
0656	1	Akira Kurosawa			
0658	1	Mimi Leder			
0661	1	Wes Craven			
0662	1	Moshe Mizrahi			
0663	1	Francis Ford Coppola			
0665	1	Mickey Lemle			
0666	1	Rainer Werner Fassbinder			
0667	1	Nina Gilden Seavey			
0668	1	Rintaro			
0671	1	Melissa Painter			
0672	1	Gary Winick			
0674	1	Georg Fenady			
0677	1	Richard Martin			
0680	1	Benito Zambrano			
0681	1	Rob Hedden			
0682	1	Tarsem Singh			
0683	1	Josh Evans			
0684	1	Stephen Hopkins			
0685	1	Tony Barbieri			
0686	1	Bharat Nalluri			
0687	1	Bahman Ghobadi			
0688	1	Hiroyuki Tanaka			
0689	1	Giuseppe Tornatore			
0691	1	John Leekley			
0692	1	Andrew Davis			
0695	1	Wong Kar-Wai			
0696	1	Amos Gitai			
0697	1	Jonathan M. Flicker			
0699	1	Laurence Fishburne			
0700	1	Joe Johnston			
0702	1	Patrice Leconte			
0705	1	Baz Luhrmann			
0707	1	John Berry (III)			
0708	1	Guy Ritchie			
0709	1	Michael Apted			
0711	1	Stefan Ruzowitzky			
0713	1	Scott Kalvert			
0714	1	William Boyd			
0715	1	John Stockwell			
0716	1	Yoshiaki Kawajiri			
0720	1	Wim Wenders			
0721	1	Dennis Dugan			
0722	1	Andrzej Bartkowiak			
0723	1	Kevin Smith			
0724	1	Michel Qissi			
0725	1	Tony Gatlif			
0729	1	John P. Whitesell			
0730	1	JB Rogers			
0731	1	Andrucha Waddington			
0732	1	Doug Pray			
0734	1	Daniel Minahan			
0737	1	Cory McAbee			
0738	1	Bill Eagles			
0739	1	Kim Ki-duk			
0741	1	Richard Linklater			
0742	1	Richard Linklater			
0744	1	Kevin Lewis			
0746	1	Amos Kollek			
0748	1	Joel Hershman			
0749	1	Agnes Jaoui			
0750	1	Hayao Miyazaki			
0752	1	Harald Zwart			
0754	1	David Mirkin			
0755	1	Kieron J. Walsh			
0757	1	David Maquiling			
0758	1	Jesse Vaughan			
0759	1	Bahman Farmanara			
0760	1	Kevin Reynolds			
0761	1	Marleen Gorris			
0763	1	Jordan Walker-Pearlman			
0764	1	Tim Blake Nelson			
0765	1	Griffin Dunne			
0766	1	Peter Jackson			
0767	1	David Kane			
0768	1	Fisher Stevens			
0769	1	Brad Anderson			
0771	1	Peter Capaldi			
0772	1	Michael Polish			
0773	1	Ben Elton			
0774	1	Jesse Peretz			
0775	1	Francis Ford Coppola			
0776	1	Billy Bob Thornton			
0777	1	Soames Summerhays			
0778	1	Hans Petter Moland			
0779	1	Ashutosh Gowariker			
0781	1	Mark Brown			
0782	1	Barry Sonnenfeld			
0783	1	Chuck Russell			
0784	1	Scott Hicks			
0786	1	Guillermo del Toro			
0790	1	Joel Schumacher			
0791	1	Dana Lustig			
0792	1	Rod Lurie			
0793	1	John Duigan			
0794	1	Eric Bross			
0795	1	Neal Slavin			
0796	1	Joel Gallen			
0797	1	Jordan Brady			
0798	1	Bob Giraldi			
0799	1	Harold Becker			
0800	1	Bryan Johnson			
0801	1	Sturla Gunnarsson			
0802	1	Peter Jackson			
0803	1	Jacques Rivette			
0805	1	Claude Lanzmann			
0807	1	Werner Herzog			
0808	1	Ziad Hamzeh			
0809	1	Jean-Pierre Jeunet			
0810	1	Sophie Fillieres			
0811	1	Ridley Scott			
0813	1	Alexei Balabanov			
0816	1	Jean-Luc Godard			
0818	1	Guillermo del Toro			
0819	1	Robert Altman			
0820	1	Mark Pellington			
0821	1	Walter Salles			
0822	1	John Lee Hancock			
0823	1	Rob Morrow			
0824	1	Jessie Nelson			
0826	1	Sandra Goldbacher			
0827	1	Christine Jeffs			
0828	1	Richard Eyre			
0829	1	James Mangold			
0830	1	Mohsen Makhmalbaf			
0831	1	Adam Shankman			
0832	1	Kevin Bray			
0833	1	Laurice Guillen			
0834	1	Stephen Kessler			
0835	1	Fred Schepisi			
0836	1	M. Night Shyamalan			
0837	1	Danny DeVito			
0839	1	Claire Denis			
0840	1	Mark Steven Johnson			
0841	1	Steven Spielberg			
0842	1	Joseph Cedar			
0843	1	David Semel			
0844	1	Curtis Hanson			
0845	1	Brad Silberling			
0846	1	Roger Donaldson			
0847	1	Michael Lembeck			
0848	1	Vera Chytilova			
0849	1	Mark Romanek			
0850	1	Troy Miller			
0851	1	Franc. Reyes			
0852	1	Barry Skolnick			
0853	1	Nanni Moretti			
0854	1	Callie Khouri			
0855	1	Babak Payami			
0856	1	John Schultz			
0857	1	Charles Stone III			
0858	1	George Hickenlooper			
0859	1	Burr Steers			
0860	1	Ron Shelton			
0861	1	Matt Dillon			
0862	1	Alan Taylor			
0863	1	Robert Rodriguez			
0864	1	Guy Ritchie			
0865	1	Wayne Wang			
0866	1	Ramin Serry			
0867	1	Harry Ralston			
0868	1	Jonathan Frakes			
0869	1	Wych Kaosayananda			
0870	1	Clint Eastwood			
0871	1	Jacques Audiard			
0872	1	Stephen Daldry			
0873	1	Jon Amiel			
0874	1	John Polson			
0875	1	Pascale Bailly			
0876	1	Michael Caton-Jones			
0877	1	Laurent Cantet			
0878	1	Nicolas Cage			
0879	1	Oliver Parker			
0880	1	P. J. Posner			
0881	1	Anurag Mehta			
0882	1	Toni Myers			
0883	1	Eric Schaeffer			
0885	1	Spike Lee			
0886	1	Danny Boyle			
0888	1	Paul Schrader			
0889	1	Terry Zwigoff			
0890	1	Martin Campbell			
0891	1	Tim Burton			
0892	1	Feng Xiaogang			
0893	1	Katja Von Garnier			
0894	1	Tim Burton			
0895	1	Steven Soderbergh			
0896	1	Anthony Minghella			
0897	1	Corey Yuen			
0898	1	Guy Ferland			
0899	1	Andrzej Bartkowiak			
0900	1	Neil Jordan			
0902	1	Todd Haynes			
0903	1	Peter Webber			
0904	1	David Zucker			
0905	1	Guillermo del Toro			
0906	1	Angela Robinson			
0907	1	He Ping			
0908	1	Gordon Chan			
0909	1	Menno Meyjes			
0910	1	Donald Petrie			
0911	1	Joel Coen			
0912	1	John Maybury			
0913	1	Frank Whaley			
0914	1	Peter Howitt			
0916	1	Antoine Fuqua			
0917	1	Perry Andelin Blake			
0918	1	Jay Roach			
0919	1	Rob Marshall			
0921	1	Todd Phillips			
0922	1	Dan Ireland			
0923	1	Daniel Algrant			
0924	1	George A. Romero			
0925	1	Brett Ratner			
0926	1	Rose Troche			
0927	1	Breck Eisner			
0928	1	Don Mancini			
0929	1	Stephen Chow			
0932	1	Chris Eyre			
0933	1	Fred Schepisi			
0935	1	George Lucas			
0936	1	D.J. Caruso			
0937	1	Pedro Almodovar			
0938	1	Wisit Sasanatieng			
0939	1	Andrew Fleming			
0940	1	Richard Donner			
0941	1	Stephen Sommers			
0942	1	Kathryn Bigelow			
0943	1	Woody Allen			
0944	1	Simon Wincer			
0945	1	Martin Campbell			
0946	1	Jon Turteltaub			
0947	1	Anne Fontaine			
0948	1	Lawrence Kasdan			
0949	1	Bille August			
0950	1	Joe Dante			
0951	1	Robert Zemeckis			
0952	1	Eli Roth			
0953	1	Kevin Smith			
0954	1	Gregor Jordan			
0955	1	Martin Scorsese			
0956	1	Roman Polanski			
0957	1	Marcus Nispel			
0958	1	Steven Spielberg			
0959	1	Spike Jonze			
0960	1	Glen Morgan			
0961	1	Claude Chabrol			
0962	1	Christopher Guest			
0963	1	Tom Zuber			
0964	1	Raja Gosnell			
0965	1	Vicente Aranda			
0966	1	Roy Andersson			
0967	1	Dylan Kidd			
0968	1	Francis Glebas			
0969	1	Marc Forster			
0970	1	Mark Medoff			
0971	1	Mark Christensen			
0972	1	Christian Charles			
0973	1	Linda Mendoza			
0974	1	Jan De Bont			
0975	1	Joseph Kahn			
0976	1	Brian Robbins			
0977	1	Julie Davis			
0978	1	Michael Moore			
0979	1	Douglas McGrath			
0980	1	Howard Deutch			
0981	1	Robert Harmon			
0983	1	Iraj Karimi			
0984	1	John Hoffman			
0985	1	Len Wiseman			
0987	1	Hilary Birmingham			
0988	1	Neil Burger			
0989	1	Tom Rice			
0990	1	Gary J. Tunnicliffe			
0991	1	Nils Tavernier			
0993	1	Carlos Carrera			
0994	1	Gil Cates Jr			
0995	1	Adam McKay			
0996	1	Don Coscarelli			
0997	1	Alan Rudolph			
0998	1	Niki Caro			
0999	1	Catherine Breillat			
1000	1	Gillies MacKinnon			
1001	1	Gerard Krawczyk			
1003	1	Mel Gibson			
1004	1	Risa Bramon Garcia			
1005	1	Jim Simpson			
1006	1	Troy Beyer			
1007	1	Robert Altman			
1008	1	Rob Reiner			
1009	1	Eldar Ryazanov			
1011	1	Troy Miller			
1012	1	Terry Gilliam			
1013	1	John Hamburg			
1014	1	Richard Linklater			
1015	1	Susanne Bier			
1016	1	Jonathan Frakes			
1017	1	Damian Pettigrew			
1018	1	Don Boyd			
1019	1	John Junkerman			
1020	1	Laetitia Colombani			
1021	1	Fernando León De Aranoa (II)			
1023	1	Wayne Kramer			
1024	1	Mark Rucker			
1025	1	Catherine Hardwicke			
1026	1	Jon Favreau			
1028	1	Wes Craven			
1029	1	Matthew Parkhill			
1031	1	Michael Polish			
1032	1	Joe Maggio			
1033	1	Mark Moskowitz			
1034	1	Im Kwon-Taek			
1035	1	Mathieu Kassovitz			
1036	1	Claire Denis			
1038	1	Lee Tamahori			
1039	1	Alfredo De Villa			
1040	1	Baltasar Kormakur			
1041	1	Alejandro Agresti			
1042	1	Peter Mullan			
1043	1	F. Gary Gray			
1044	1	William Klein			
1045	1	Vladimir Michalek			
1046	1	James Cameron			
1048	1	Rick De Oliveira			
1049	1	Kerry Conran			
1050	1	Hector Babenco			
1051	1	Bernardo Bertolucci			
1052	1	Andrzej Sekula			
1053	1	Jean Pierre Limosin			
1054	1	Gabriele Salvatores			
1055	1	Ron Howard			
1056	1	Daniel Taplitz			
1057	1	Helen Lesnick			
1058	1	Bill Condon			
1059	1	Gary Winick			
1060	1	Gary Chapman			
1061	1	Mike Bigelow			
1062	1	Norman Jewison			
1063	1	Matthew Barney			
1064	1	Donald Petrie			
1065	1	David O. Russell			
1066	1	Jeff Schaffer			
1067	1	Jonathan Demme			
1068	1	Jonathan Hensleigh			
1069	1	Charles Stone III			
1070	1	Robert Luketic			
1071	1	Joseph Ruben			
1072	1	Michael Lembeck			
1073	1	Josee Dayan			
1074	1	Marina De Van			
1075	1	Paul Greengrass			
1076	1	Francois Velle			
1077	1	Samir Jamal Aldin			
1078	1	Alex Steyermark			
1079	1	Lou Ye			
1080	1	Jafar Panahi			
1081	1	Takashi Miike			
1082	1	Michael Haneke			
1083	1	David Zucker			
1084	1	Martin Doblmeier			
1085	1	Siddiq Barmak			
1087	1	Eitan Gorlin			
1088	1	Paul Feig			
1090	1	Brett Ratner			
1092	1	Dana Brown			
1094	1	Takashi Yamazaki			
1095	1	Uwe Boll			
1096	1	Lucas Belvaux			
1097	1	Émile Gaudreault (II)			
1098	1	Paul F. Ryan			
1099	1	Michael Lembeck			
1100	1	Rob Cohen			
1101	1	Christine Jeffs			
1104	1	David Caffrey			
1105	1	Mike Slee			
1106	1	Wayne Wang			
1107	1	Bob Rafelson			
1110	1	Peter Howitt			
1111	1	Robert Luketic			
1112	1	Marc Fusco			
1114	1	Craig Ross Jr			
1115	1	Jeff Bleckner			
1116	1	Jay Craven			
1117	1	Ridley Scott			
1119	1	François Dupeyron			
1120	1	Rodney Evans			
1121	1	Zach Braff			
1122	1	Nicole Kassell			
1124	1	Kevin Mukherji			
1125	1	Mark Milgard			
1127	1	Morgan Spurlock			
1128	1	Greg Pak			
1129	1	Yoji Yamada			
1131	1	Henri-Georges Clouzot			
1132	1	Jean-Paul Rappeneau			
1133	1	Simon Wincer			
1134	1	Mike Nichols			
1135	1	Rowdy Herrington			
1136	1	Jonathan Demme			
1137	1	Brett Ratner			
1138	1	Gore Verbinski			
1139	1	Garry Marshall			
1140	1	Louis Schwartzberg			
1141	1	David Duchovny			
1142	1	Richard Eyre			
1143	1	Reverge Anselmo			
1144	1	Chris Kentis			
1145	1	Russell Mulcahy			
1146	1	Jean-Francois Pouliot			
1147	1	Stacy Peralta			
1148	1	Agnes Jaoui			
1149	1	Yann Samuell			
1150	1	Park Chan-wook			
1151	1	Bronwen Hughes			
1152	1	Hirokazu Koreeda			
1153	1	Peter Berg			
1154	1	Takashi Shimizu			
1155	1	Margarethe Von Trotta			
1156	1	Sven Pape			
1159	1	Joss Whedon			
1160	1	Curtis Hanson			
1162	1	Charles Shyer			
1163	1	Griffin Dunne			
1164	1	Dylan Kidd			
1165	1	Jonathan Caouette			
1166	1	Mike Nichols			
1167	1	Mike Leigh			
1168	1	Terrence Malick			
1170	1	Omar Naim			
1171	1	Eric Small			
1172	1	David Gordon Green			
1173	1	Curtiss Clayton			
1174	1	John Deery			
1175	1	Alex de la Iglesia			
1176	1	Hiner Saleem			
1177	1	Pauly Shore			
1178	1	Leslie Small			
1180	1	John Polson			
1181	1	Frederik Du Chau			
1182	1	Jim Van Bebber			
1183	1	F. Gary Gray			
1184	1	Ari Kirschenbaum			
1185	1	Marcos Siega			
1186	1	Lodge Kerrigan			
1187	1	Ashutosh Gowariker			
1188	1	Ekachai Uekrongtham			
1189	1	Chazz Palminteri			
1190	1	Adam Shankman			
1191	1	James Gartner			
1192	1	Jonathan Nossiter			
1193	1	Frank Nissen			
1194	1	Greg Harrison			
1195	1	Pawel Pawlikowski			
1196	1	Rebecca Miller			
1198	1	Sally Potter			
1199	1	Rian Johnson			
1200	1	Craig Brewer			
1201	1	Phil Morrison			
1202	1	Miranda July			
1203	1	Marcos Siega			
1204	1	Michael Hoffman			
1205	1	Chris Terrio			
1206	1	Matthew Vaughn			
1207	1	Kevin Bacon			
1208	1	Dave McKean			
1209	1	Gregg Araki			
1210	1	Matt Mulhern			
1211	1	Alice Wu			
1212	1	Melissa Painter			
1213	1	Andrew Wagner			
1215	1	Ron Howard			
1216	1	Elliot Greenebaum			
1217	1	Jordi Llompart			
1218	1	Liev Schreiber			
1219	1	Fatih Akin			
1220	1	Jessica Sanders			
1221	1	Jeff Feuerzeig			
1222	1	Alex Gibney			
1223	1	Don Argott			
1224	1	Sebastian Cordero			
1225	1	David Dobkin			
1226	1	Iain Softley			
1227	1	Shinji Aramaki			
1228	1	Terry Zwigoff			
1229	1	Bennett Miller			
1230	1	Iciar Bollain			
1231	1	Harold Ramis			
1232	1	Mark Wexler			
1233	1	Mel Smith			
1234	1	Kim Ki-duk			
1235	1	Stephen Gaghan			
1236	1	Shane Black			
1237	1	James McTeigue			
1238	1	Vadim Jean			
1239	1	Prachya Pinkaew			
1240	1	Len Wiseman			
1241	1	Gil Kenan			
1242	1	Andrzej Bartkowiak			
1243	1	Savi Gabizon			
1244	1	Oliver Hirschbiegel			
1245	1	Bruce Hunt			
1246	1	Craig Lucas			
1247	1	Josh Sternfeld			
1248	1	Judy Irving			
1249	1	John Irvin			
1250	1	Eleonore Faucher			
1251	1	Gary Winick			
1253	1	Mick Davis			
1254	1	Pablo Berger			
1255	1	Les Mayfield			
1256	1	Eric Hendershot			
1257	1	Eddie O Flaherty			
