movie	msn	genre				
0843	3	Action	Western	Action - Western		
0844	3	Comedy	Drama	Comedy - Drama		
0847	3	Comedy	Documentary	Comedy - Documentary		
0850	3	Action	Drama	Action - Drama		
0852	3	Horror	Action	Horror - Action		
0855	3	Comedy	Drama	Comedy - Drama		
0858	3	Drama	Action	Drama - Action		
0861	3	Comedy	Drama	Comedy - Drama		
0862	3	Action	Drama	Action - Drama		
0863	3	Drama	Sci-Fi	Drama - Sci-Fi		
0867	3	Drama	Action	Drama - Action		
0869	3	Comedy	Drama	Comedy - Drama		
0875	3	Action	Sci-Fi	Action - Sci-Fi		
0876	3	Comedy	Documentary	Comedy - Documentary		
0877	3	Drama	Action	Drama - Action		
0879	3	Drama	Romance	Drama - Romance		
0884	3	Drama	Action	Drama - Action		
0886	3	Comedy	Romance	Comedy - Romance		
0887	3	Action	Sci-Fi	Action - Sci-Fi		
0893	3	Comedy	Drama	Comedy - Drama		
0897	3	Action	Drama	Action - Drama		
0898	3	Horror	Action	Horror - Action		
0900	3	Drama	Action	Drama - Action		
0901	3	Drama	Action	Drama - Action		
0903	3	Drama	Action	Drama - Action		
0904	3	Drama	Romance	Drama - Romance		
0905	3	Action	Comedy	Action - Comedy		
0906	3	Comedy	Romance	Comedy - Romance		
0907	3	Comedy	Romance	Comedy - Romance		
0911	3	Musical	Documentary	Musical - Documentary		
0913	3	Action	Comedy	Action - Comedy		
0914	3	Comedy	Romance	Comedy - Romance		
0919	3	Drama	Musical	Drama - Musical		
0921	3	Comedy	Drama	Comedy - Drama		
0929	3	Western	Action	Western - Action		
0930	3	Family	Drama	Family - Drama		
0933	3	Musical	Documentary	Musical - Documentary		
0934	3	Horror	Drama	Horror - Drama		
0950	3	Drama	Romance	Drama - Romance		
0953	3	Drama	Romance	Drama - Romance		
0954	3	Drama	Romance	Drama - Romance		
0955	3	Action	Drama	Action - Drama		
0956	3	Sci-Fi	Action	Sci-Fi - Action		
0958	3	Action	Comedy	Action - Comedy		
0962	3	Drama	Romance	Drama - Romance		
0964	3	Comedy	Romance	Comedy - Romance		
0967	3	Sci-Fi	Action	Sci-Fi - Action		
0968	3	Sci-Fi	Drama	Sci-Fi - Drama		
0972	3	Drama	Romance	Drama - Romance		
0973	3	Musical	Documentary	Musical - Documentary		
0975	3	Comedy	Drama	Comedy - Drama		
0980	3	Comedy	Drama	Comedy - Drama		
0981	3	Family	Comedy	Family - Comedy		
0982	3	Drama	Romance	Drama - Romance		
0983	3	Comedy	Romance	Comedy - Romance		
0985	3	Comedy	Romance	Comedy - Romance		
0987	3	Drama	Comedy	Drama - Comedy		
0990	3	Drama	Action	Drama - Action		
0992	3	Comedy	Drama	Comedy - Drama		
0995	3	Drama	Documentary	Drama - Documentary		
0996	3	Drama	Comedy	Drama - Comedy		
0999	3	Sci-Fi	Action	Sci-Fi - Action		
1000	3	Comedy	Documentary	Comedy - Documentary		
1005	3	Action	Drama	Action - Drama		
1006	3	Drama	Documentary	Drama - Documentary		
1008	3	Drama	Comedy	Drama - Comedy		
1009	3	Action	Drama	Action - Drama		
1010	3	Drama	Comedy	Drama - Comedy		
1012	3	Family	Comedy	Family - Comedy		
1016	3	Drama	Action	Drama - Action		
1020	3	Comedy	Drama	Comedy - Drama		
1021	3	Comedy	Drama	Comedy - Drama		
1022	3	Comedy	Romance	Comedy - Romance		
1024	3	Comedy	Drama	Comedy - Drama		
1025	3	Action	Sci-Fi	Action - Sci-Fi		
1026	3	Drama	Romance	Drama - Romance		
1027	3	Comedy	Drama	Comedy - Drama		
1028	3	Drama	Action	Drama - Action		
1030	3	Comedy	Romance	Comedy - Romance		
1032	3	Action	Drama	Action - Drama		
1033	3	Comedy	Drama	Comedy - Drama		
1036	3	Sci-Fi	Comedy	Sci-Fi - Comedy		
1038	3	Comedy	Drama	Comedy - Drama		
1040	3	Comedy	Action	Comedy - Action		
1041	3	Horror	Action	Horror - Action		
1042	3	Comedy	Drama	Comedy - Drama		
1043	3	Horror	Drama	Horror - Drama		
1044	3	Drama	Action	Drama - Action		
1047	3	Horror	Drama	Horror - Drama		
1048	3	Comedy	Romance	Comedy - Romance		
1050	3	Drama	Comedy	Drama - Comedy		
1052	3	Action	Sci-Fi	Action - Sci-Fi		
1053	3	Family	Comedy	Family - Comedy		
1055	3	Sci-Fi	Action	Sci-Fi - Action		
1056	3	Comedy	Action	Comedy - Action		
1058	3	Action	Comedy	Action - Comedy		
1059	3	Comedy	Drama	Comedy - Drama		
1062	3	Comedy	Drama	Comedy - Drama		
1067	3	Sci-Fi	Drama	Sci-Fi - Drama		
1070	3	Drama	Documentary	Drama - Documentary		
1071	3	Drama	Comedy	Drama - Comedy		
1074	3	Comedy	Drama	Comedy - Drama		
1076	3	Musical	Documentary	Musical - Documentary		
1094	3	Comedy	Drama	Comedy - Drama		
1096	3	Drama	Comedy	Drama - Comedy		
1098	3	Comedy	Drama	Comedy - Drama		
1101	3	Comedy	Drama	Comedy - Drama		
1102	3	Drama	Romance	Drama - Romance		
1103	3	Drama	Action	Drama - Action		
1104	3	Comedy	Drama	Comedy - Drama		
1105	3	Family	Sci-Fi	Family - Sci-Fi		
1106	3	War	Drama	War - Drama		
1107	3	Drama	Romance	Drama - Romance		
1111	3	Sci-Fi	Action	Sci-Fi - Action		
1113	3	Drama	Comedy	Drama - Comedy		
1114	3	Drama	Sci-Fi	Drama - Sci-Fi		
1115	3	Comedy	Romance	Comedy - Romance		
1116	3	Comedy	Drama	Comedy - Drama		
1120	3	Documentary	Musical	Documentary - Musical		
1121	3	Sci-Fi	Horror	Sci-Fi - Horror		
1124	3	Drama	Romance	Drama - Romance		
1125	3	Comedy	Drama	Comedy - Drama		
1127	3	Comedy	Romance	Comedy - Romance		
1129	3	Drama	Romance	Drama - Romance		
1132	3	Drama	Action	Drama - Action		
1136	3	Drama	Action	Drama - Action		
1137	3	Comedy	Romance	Comedy - Romance		
1138	3	Comedy	Drama	Comedy - Drama		
1140	3	Sci-Fi	Action	Sci-Fi - Action		
1144	3	Drama	Sci-Fi	Drama - Sci-Fi		
1146	3	Action	Drama	Action - Drama		
1147	3	Family	Comedy	Family - Comedy		
1148	3	Action	Sci-Fi	Action - Sci-Fi		
1149	3	Drama	Action	Drama - Action		
1150	3	Drama	Romance	Drama - Romance		
1152	3	Comedy	Romance	Comedy - Romance		
1158	3	Romance	Drama	Romance - Drama		
1162	3	Comedy	Drama	Comedy - Drama		
1166	3	Action	Drama	Action - Drama		
1167	3	Musical	Documentary	Musical - Documentary		
1168	3	Comedy	Romance	Comedy - Romance		
1170	3	Action	Drama	Action - Drama		
1171	3	Drama	Romance	Drama - Romance		
1172	3	Comedy	Romance	Comedy - Romance		
1175	3	Drama	Action	Drama - Action		
1179	3	Drama	Action	Drama - Action		
1180	3	Drama	Romance	Drama - Romance		
1184	3	Comedy	Drama	Comedy - Drama		
1185	3	Comedy	Drama	Comedy - Drama		
1186	3	Drama	Romance	Drama - Romance		
1187	3	Horror	Drama	Horror - Drama		
1188	3	Comedy	Drama	Comedy - Drama		
1192	3	Drama	Action	Drama - Action		
1204	3	Comedy	Drama	Comedy - Drama		
1205	3	Comedy	Romance	Comedy - Romance		
1210	3	Drama	Action	Drama - Action		
1222	3	Sci-Fi	Action	Sci-Fi - Action		
1224	3	Comedy	Drama	Comedy - Drama		
1226	3	Drama	Romance	Drama - Romance		
1228	3	Drama	Romance	Drama - Romance		
1230	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1231	3	Comedy	Drama	Comedy - Drama		
1234	3	Family	Action	Family - Action		
1245	3	Horror	Action	Horror - Action		
1246	3	Family	Comedy	Family - Comedy		
1249	3	Comedy	Drama	Comedy - Drama		
1250	3	Action	Drama	Action - Drama		
1252	3	Family	Sci-Fi	Family - Sci-Fi		
1256	3	Drama	Musical	Drama - Musical		
1263	3	Drama	Comedy	Drama - Comedy		
1265	3	Drama	Romance	Drama - Romance		
1266	3	Drama	Romance	Drama - Romance		
1267	3	Comedy	Romance	Comedy - Romance		
1268	3	Action	Drama	Action - Drama		
1269	3	Western	Drama	Western - Drama		
1270	3	Comedy	Documentary	Comedy - Documentary		
1272	3	Documentary	Musical	Documentary - Musical		
1273	3	Drama	Romance	Drama - Romance		
1274	3	Comedy	Romance	Comedy - Romance		
1277	3	Action	Sci-Fi	Action - Sci-Fi		
1278	3	Comedy	Drama	Comedy - Drama		
1280	3	Family	Comedy	Family - Comedy		
1281	3	Romance	Drama	Romance - Drama		
1282	3	Drama	War	Drama - War		
1286	3	Action	Drama	Action - Drama		
1290	3	Drama	Documentary	Drama - Documentary		
1292	3	Comedy	Drama	Comedy - Drama		
1295	3	Comedy	Drama	Comedy - Drama		
1296	3	Drama	Romance	Drama - Romance		
1300	3	Drama	War	Drama - War		
1302	3	Horror	Action	Horror - Action		
1303	3	Comedy	Romance	Comedy - Romance		
1306	3	Horror	Action	Horror - Action		
1307	3	Drama	Action	Drama - Action		
1310	3	Sci-Fi	Horror	Sci-Fi - Horror		
1311	3	Drama	Comedy	Drama - Comedy		
1312	3	Drama	Comedy	Drama - Comedy		
1314	3	Action	Romance	Action - Romance		
1320	3	Drama	Action	Drama - Action		
1326	3	Drama	War	Drama - War		
1327	3	Comedy	Drama	Comedy - Drama		
1329	3	Comedy	Drama	Comedy - Drama		
1331	3	Comedy	Drama	Comedy - Drama		
1335	3	Horror	Comedy	Horror - Comedy		
1339	3	Drama	Action	Drama - Action		
1373	3	Drama	Western	Drama - Western		
1379	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1380	3	Drama	Romance	Drama - Romance		
1386	3	Drama	Romance	Drama - Romance		
1388	3	Action	Drama	Action - Drama		
1389	3	Drama	Action	Drama - Action		
1391	3	Comedy	Drama	Comedy - Drama		
1393	3	Drama	Documentary	Drama - Documentary		
1395	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1396	3	Comedy	Drama	Comedy - Drama		
1399	3	Drama	Romance	Drama - Romance		
1402	3	Action	Sci-Fi	Action - Sci-Fi		
1410	3	Action	Horror	Action - Horror		
1411	3	Family	Action	Family - Action		
1413	3	Documentary	Musical	Documentary - Musical		
1414	3	Romance	Comedy	Romance - Comedy		
1416	3	Sci-Fi	Drama	Sci-Fi - Drama		
1417	3	Comedy	Drama	Comedy - Drama		
1419	3	Drama	Action	Drama - Action		
1420	3	Comedy	Horror	Comedy - Horror		
1421	3	Sci-Fi	Action	Sci-Fi - Action		
1427	3	Comedy	Romance	Comedy - Romance		
1429	3	Drama	Comedy	Drama - Comedy		
1430	3	Drama	Comedy	Drama - Comedy		
1431	3	Comedy	Musical	Comedy - Musical		
1447	3	Drama	Romance	Drama - Romance		
1449	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1462	3	Drama	Romance	Drama - Romance		
1468	3	Comedy	Drama	Comedy - Drama		
1469	3	Drama	Action	Drama - Action		
1470	3	Family	Musical	Family - Musical		
1471	3	Sci-Fi	Action	Sci-Fi - Action		
1478	3	Comedy	Drama	Comedy - Drama		
1479	3	Drama	Romance	Drama - Romance		
1481	3	Action	Comedy	Action - Comedy		
1482	3	Comedy	Drama	Comedy - Drama		
1483	3	Action	Horror	Action - Horror		
1484	3	Action	Drama	Action - Drama		
1486	3	Sci-Fi	Action	Sci-Fi - Action		
1491	3	Drama	Action	Drama - Action		
1497	3	Comedy	Drama	Comedy - Drama		
1499	3	Comedy	Romance	Comedy - Romance		
1501	3	Action	Drama	Action - Drama		
1502	3	Action	Sci-Fi	Action - Sci-Fi		
1504	3	Action	Drama	Action - Drama		
1512	3	Horror	Action	Horror - Action		
1516	3	Drama	Action	Drama - Action		
1526	3	Comedy	Drama	Comedy - Drama		
1528	3	Drama	Horror	Drama - Horror		
1531	3	Drama	Action	Drama - Action		
1533	3	Drama	Action	Drama - Action		
1535	3	Drama	Romance	Drama - Romance		
1536	3	Comedy	Romance	Comedy - Romance		
1542	3	Family	Action	Family - Action		
1543	3	Drama	Romance	Drama - Romance		
1545	3	Sci-Fi	Drama	Sci-Fi - Drama		
1546	3	Comedy	Drama	Comedy - Drama		
1548	3	Sci-Fi	Action	Sci-Fi - Action		
1550	3	Drama	Romance	Drama - Romance		
1553	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1567	3	Drama	Comedy	Drama - Comedy		
1568	3	Horror	Action	Horror - Action		
1573	3	Action	Drama	Action - Drama		
1577	3	Action	Sci-Fi	Action - Sci-Fi		
1585	3	Sci-Fi	Comedy	Sci-Fi - Comedy		
1586	3	Comedy	Romance	Comedy - Romance		
1588	3	Action	Sci-Fi	Action - Sci-Fi		
1589	3	Drama	Romance	Drama - Romance		
1590	3	Action	Drama	Action - Drama		
1592	3	Drama	Action	Drama - Action		
1593	3	Drama	Romance	Drama - Romance		
1594	3	Drama	Action	Drama - Action		
1595	3	Family	Comedy	Family - Comedy		
1596	3	Comedy	Drama	Comedy - Drama		
1597	3	Comedy	Romance	Comedy - Romance		
1598	3	Horror	Drama	Horror - Drama		
1599	3	Comedy	Romance	Comedy - Romance		
1600	3	Action	Drama	Action - Drama		
1601	3	Drama	Romance	Drama - Romance		
1603	3	Action	Drama	Action - Drama		
1605	3	Comedy	Drama	Comedy - Drama		
1607	3	Comedy	Romance	Comedy - Romance		
1615	3	Family	Sci-Fi	Family - Sci-Fi		
1618	3	Family	Sci-Fi	Family - Sci-Fi		
1621	3	Comedy	Action	Comedy - Action		
1622	3	Action	Drama	Action - Drama		
1624	3	Action	Sci-Fi	Action - Sci-Fi		
1636	3	Comedy	Drama	Comedy - Drama		
1637	3	Sci-Fi	Comedy	Sci-Fi - Comedy		
1640	3	Drama	Action	Drama - Action		
1643	3	Family	Documentary	Family - Documentary		
1650	3	Action	Comedy	Action - Comedy		
1651	3	Comedy	Drama	Comedy - Drama		
1656	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1660	3	Drama	Romance	Drama - Romance		
1661	3	Action	Comedy	Action - Comedy		
1662	3	Family	Comedy	Family - Comedy		
1666	3	Action	Drama	Action - Drama		
1670	3	Drama	Action	Drama - Action		
1672	3	Western	Drama	Western - Drama		
1677	3	Action	Romance	Action - Romance		
1678	3	Drama	Action	Drama - Action		
1681	3	Drama	Sci-Fi	Drama - Sci-Fi		
1682	3	Comedy	Drama	Comedy - Drama		
1684	3	Comedy	Drama	Comedy - Drama		
1685	3	Drama	Action	Drama - Action		
1689	3	Comedy	Action	Comedy - Action		
1694	3	Horror	Drama	Horror - Drama		
1698	3	Action	Drama	Action - Drama		
1700	3	Drama	Romance	Drama - Romance		
1702	3	Family	Drama	Family - Drama		
1707	3	Comedy	Action	Comedy - Action		
1714	3	Horror	Action	Horror - Action		
1719	3	War	Drama	War - Drama		
1720	3	Comedy	Horror	Comedy - Horror		
1721	3	Drama	War	Drama - War		
1723	3	Action	Drama	Action - Drama		
1724	3	Drama	Romance	Drama - Romance		
1726	3	Drama	Musical	Drama - Musical		
1727	3	Family	Comedy	Family - Comedy		
1728	3	Comedy	Drama	Comedy - Drama		
1729	3	Action	Romance	Action - Romance		
1730	3	Sci-Fi	Horror	Sci-Fi - Horror		
1735	3	Drama	Action	Drama - Action		
1740	3	Comedy	Drama	Comedy - Drama		
1742	3	Drama	Romance	Drama - Romance		
1747	3	Sci-Fi	Drama	Sci-Fi - Drama		
1748	3	Family	Sci-Fi	Family - Sci-Fi		
1749	3	Horror	Action	Horror - Action		
1750	3	Action	Sci-Fi	Action - Sci-Fi		
1760	3	Sci-Fi	Action	Sci-Fi - Action		
1763	3	Drama	Action	Drama - Action		
1764	3	Comedy	Drama	Comedy - Drama		
1770	3	Drama	Romance	Drama - Romance		
1774	3	Drama	Action	Drama - Action		
1775	3	Western	Action	Western - Action		
1777	3	Comedy	Drama	Comedy - Drama		
1778	3	Drama	War	Drama - War		
1779	3	Drama	Action	Drama - Action		
1782	3	Comedy	Drama	Comedy - Drama		
1785	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1786	3	Comedy	Musical	Comedy - Musical		
1787	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1788	3	Drama	Action	Drama - Action		
1789	3	Family	Drama	Family - Drama		
1798	3	Drama	Action	Drama - Action		
1800	3	Family	Action	Family - Action		
1803	3	Action	Comedy	Action - Comedy		
1804	3	Sci-Fi	Action	Sci-Fi - Action		
1805	3	Comedy	Romance	Comedy - Romance		
1807	3	Action	Comedy	Action - Comedy		
1809	3	Action	Sci-Fi	Action - Sci-Fi		
1810	3	Drama	Musical	Drama - Musical		
1811	3	Action	Sci-Fi	Action - Sci-Fi		
1813	3	Documentary	Drama	Documentary - Drama		
1816	3	Horror	Action	Horror - Action		
1820	3	Comedy	Drama	Comedy - Drama		
1821	3	Musical	Documentary	Musical - Documentary		
1823	3	Comedy	Drama	Comedy - Drama		
1824	3	Comedy	Action	Comedy - Action		
1825	3	Family	Sci-Fi	Family - Sci-Fi		
1826	3	Horror	Action	Horror - Action		
1828	3	Action	Sci-Fi	Action - Sci-Fi		
1830	3	Drama	Action	Drama - Action		
1835	3	Musical	Drama	Musical - Drama		
1836	3	Action	Drama	Action - Drama		
1837	3	Drama	Musical	Drama - Musical		
1838	3	Drama	Comedy	Drama - Comedy		
1840	3	Drama	Action	Drama - Action		
1841	3	Comedy	Drama	Comedy - Drama		
1844	3	Comedy	Drama	Comedy - Drama		
1846	3	Horror	Drama	Horror - Drama		
1847	3	Horror	Action	Horror - Action		
1850	3	Horror	Action	Horror - Action		
1851	3	Action	Drama	Action - Drama		
1852	3	Drama	Comedy	Drama - Comedy		
1854	3	Drama	Horror	Drama - Horror		
1856	3	Drama	Romance	Drama - Romance		
1859	3	Family	Action	Family - Action		
1860	3	Drama	Action	Drama - Action		
1865	3	Family	Comedy	Family - Comedy		
1866	3	Drama	Romance	Drama - Romance		
1867	3	Romance	Drama	Romance - Drama		
1870	3	Comedy	Documentary	Comedy - Documentary		
1871	3	Comedy	Drama	Comedy - Drama		
1872	3	Comedy	Drama	Comedy - Drama		
1873	3	Action	Drama	Action - Drama		
1874	3	Romance	Drama	Romance - Drama		
1875	3	War	Drama	War - Drama		
1876	3	Drama	Action	Drama - Action		
1877	3	Action	Drama	Action - Drama		
1879	3	Action	Drama	Action - Drama		
1880	3	Drama	Comedy	Drama - Comedy		
1881	3	Western	Action	Western - Action		
1882	3	Action	Drama	Action - Drama		
1885	3	Documentary	Musical	Documentary - Musical		
1886	3	Family	Sci-Fi	Family - Sci-Fi		
1888	3	Comedy	Drama	Comedy - Drama		
1890	3	Musical	Documentary	Musical - Documentary		
1892	3	Comedy	Action	Comedy - Action		
1894	3	Sci-Fi	Action	Sci-Fi - Action		
1898	3	Action	Drama	Action - Drama		
1899	3	Family	Action	Family - Action		
1900	3	Musical	Comedy	Musical - Comedy		
1901	3	Action	Sci-Fi	Action - Sci-Fi		
1903	3	Comedy	Drama	Comedy - Drama		
1904	3	Drama	Romance	Drama - Romance		
1906	3	Action	Sci-Fi	Action - Sci-Fi		
1908	3	Comedy	Drama	Comedy - Drama		
1911	3	Comedy	Drama	Comedy - Drama		
1912	3	Comedy	Drama	Comedy - Drama		
1917	3	Drama	Action	Drama - Action		
1919	3	Horror	Sci-Fi	Horror - Sci-Fi		
1922	3	Action	Drama	Action - Drama		
1925	3	Comedy	Drama	Comedy - Drama		
1928	3	Action	Sci-Fi	Action - Sci-Fi		
1932	3	Comedy	Drama	Comedy - Drama		
1933	3	Horror	Comedy	Horror - Comedy		
1934	3	Drama	Action	Drama - Action		
1935	3	Drama	Action	Drama - Action		
1936	3	Action	Drama	Action - Drama		
1938	3	Comedy	Drama	Comedy - Drama		
1942	3	Comedy	Drama	Comedy - Drama		
1945	3	Horror	Action	Horror - Action		
1946	3	Comedy	Drama	Comedy - Drama		
1950	3	Comedy	Drama	Comedy - Drama		
1953	3	Action	Drama	Action - Drama		
1954	3	Family	Action	Family - Action		
1955	3	Documentary	War	Documentary - War		
1958	3	Comedy	Drama	Comedy - Drama		
1961	3	Comedy	Drama	Comedy - Drama		
1964	3	Romance	Drama	Romance - Drama		
1965	3	Drama	War	Drama - War		
1966	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1967	3	Action	Drama	Action - Drama		
1968	3	Horror	Action	Horror - Action		
1973	3	Action	Comedy	Action - Comedy		
1976	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
1981	3	Action	Drama	Action - Drama		
1982	3	Comedy	Drama	Comedy - Drama		
1985	3	Comedy	Drama	Comedy - Drama		
1988	3	Horror	Action	Horror - Action		
0001	1	Sci-Fi				
0002	1	Action				
0007	1	Documentary				
0011	1	Documentary				
0012	1	Drama				
0014	1	Drama				
0016	1	Action				
0017	1	Comedy				
0020	1	Action				
0021	1	Horror				
0022	1	Comedy				
0024	1	Drama				
0027	1	Drama				
0029	1	Drama				
0031	1	Drama				
0035	1	Drama				
0037	1	Drama				
0039	1	Documentary				
0040	1	Drama				
0042	1	Documentary				
0046	1	Comedy				
0049	1	Documentary				
0052	1	Comedy				
0054	1	Action				
0055	1	Action				
0056	1	Comedy				
0058	1	Horror				
0059	1	Comedy				
0061	1	Documentary				
0062	1	Documentary				
0064	1	Comedy				
0068	1	Drama				
0069	1	Drama				
0072	1	Comedy				
0074	1	Documentary				
0076	1	Drama				
0077	1	Documentary				
0078	1	Drama				
0080	1	Comedy				
0083	1	Drama				
0085	1	Action				
0086	1	Drama				
0089	1	Drama				
0090	1	Documentary				
0091	1	Drama				
0092	1	Drama				
0098	1	Drama				
0102	1	Documentary				
0103	1	Drama				
0104	1	Drama				
0106	1	Action				
0110	1	Comedy				
0112	1	Drama				
0115	1	Comedy				
0117	1	Drama				
0119	1	Drama				
0120	1	Comedy				
0121	1	Drama				
0122	1	Comedy				
0123	1	Drama				
0124	1	Action				
0128	1	Drama				
0131	1	Comedy				
0134	1	Documentary				
0136	1	Drama				
0138	1	Drama				
0139	1	Comedy				
0140	1	Documentary				
0142	1	Drama				
0146	1	Comedy				
0148	1	Drama				
0149	1	Drama				
0151	1	Documentary				
0152	1	Comedy				
0157	1	Documentary				
0161	1	Drama				
0162	1	Drama				
0166	1	Action				
0170	1	Drama				
0173	1	Comedy				
0174	1	Documentary				
0177	1	Drama				
0178	1	Drama				
0181	1	Comedy				
0182	1	Comedy				
0183	1	Drama				
0184	1	Horror				
0186	1	Drama				
0189	1	Documentary				
0190	1	Comedy				
0192	1	Comedy				
0193	1	Drama				
0194	1	Comedy				
0198	1	Drama				
0202	1	Documentary				
0205	1	Documentary				
0206	1	Documentary				
0207	1	Drama				
0208	1	Comedy				
0210	1	Drama				
0211	1	Comedy				
0212	1	Comedy				
0219	1	Drama				
0222	1	Comedy				
0223	1	Documentary				
0224	1	Documentary				
0227	1	Documentary				
0228	1	Drama				
0229	1	Documentary				
0231	1	Comedy				
0232	1	Family				
0233	1	Documentary				
0236	1	Drama				
0237	1	Drama				
0238	1	Comedy				
0242	1	Documentary				
0243	1	Comedy				
0250	1	Drama				
0252	1	Comedy				
0254	1	Drama				
0256	1	Drama				
0257	1	Documentary				
0258	1	Drama				
0263	1	Drama				
0264	1	Drama				
0266	1	Drama				
0267	1	Drama				
0268	1	Documentary				
0269	1	Drama				
0273	1	Documentary				
0275	1	Documentary				
0285	1	Comedy				
0287	1	Drama				
0290	1	Drama				
0292	1	Drama				
0294	1	Comedy				
0296	1	Action				
0297	1	Action				
0298	1	Documentary				
0299	1	Documentary				
0300	1	Drama				
0302	1	Family				
0305	1	Action				
0306	1	Comedy				
0308	1	Action				
0317	1	Drama				
0319	1	Comedy				
0321	1	Comedy				
0323	1	Comedy				
0325	1	Comedy				
0329	1	Sci-Fi				
0330	1	Drama				
0331	1	Drama				
0333	1	Drama				
0339	1	Documentary				
0343	1	Documentary				
0344	1	Documentary				
0353	1	Documentary				
0354	1	Drama				
0355	1	Action				
0356	1	Drama				
0357	1	Drama				
0361	1	Documentary				
0363	1	Documentary				
0364	1	Drama				
0366	1	Drama				
0367	1	Drama				
0368	1	Documentary				
0370	1	Horror				
0371	1	Sci-Fi				
0374	1	Drama				
0376	1	Drama				
0378	1	Drama				
0381	1	Drama				
0385	1	Drama				
0389	1	Drama				
0393	1	Drama				
0394	1	Documentary				
0395	1	Drama				
0396	1	Horror				
0399	1	Comedy				
0401	1	Drama				
0403	1	Horror				
0404	1	Comedy				
0406	1	Comedy				
0409	1	Comedy				
0415	1	Documentary				
0419	1	Drama				
0421	1	Comedy				
0423	1	Documentary				
0426	1	Drama				
0427	1	Family				
0431	1	Drama				
0432	1	Documentary				
0433	1	Documentary				
0434	1	Family				
0440	1	Drama				
0441	1	Drama				
0447	1	Drama				
0448	1	Drama				
0449	1	Action				
0454	1	Drama				
0455	1	Drama				
0456	1	Drama				
0460	1	Documentary				
0462	1	Comedy				
0465	1	Drama				
0466	1	Drama				
0468	1	Drama				
0474	1	Documentary				
0480	1	Documentary				
0482	1	Action				
0483	1	Documentary				
0484	1	Horror				
0486	1	Documentary				
0487	1	Comedy				
0488	1	Documentary				
0495	1	Drama				
0499	1	Documentary				
0501	1	Documentary				
0503	1	Documentary				
0504	1	Action				
0506	1	Drama				
0510	1	Drama				
0511	1	Comedy				
0512	1	Drama				
0515	1	Documentary				
0519	1	Horror				
0524	1	Drama				
0526	1	Documentary				
0527	1	Drama				
0536	1	Comedy				
0537	1	Drama				
0540	1	Drama				
0544	1	Documentary				
0547	1	Documentary				
0548	1	Comedy				
0549	1	Documentary				
0550	1	Documentary				
0551	1	Drama				
0553	1	Documentary				
0557	1	Drama				
0558	1	Drama				
0559	1	Drama				
0561	1	Drama				
0562	1	Action				
0564	1	Musical				
0565	1	Comedy				
0566	1	Drama				
0567	1	Drama				
0568	1	Drama				
0569	1	Musical				
0571	1	Sci-Fi				
0573	1	Drama				
0574	1	Drama				
0575	1	Comedy				
0578	1	Drama				
0579	1	Drama				
0580	1	Drama				
0582	1	Drama				
0583	1	Comedy				
0585	1	Documentary				
0590	1	Drama				
0592	1	Drama				
0593	1	Comedy				
0594	1	Horror				
0597	1	Documentary				
0598	1	Documentary				
0599	1	Action				
0601	1	Drama				
0602	1	Sci-Fi				
0604	1	Horror				
0605	1	Horror				
0606	1	Comedy				
0607	1	Drama				
0611	1	Drama				
0612	1	Drama				
0613	1	Documentary				
0616	1	Drama				
0620	1	Comedy				
0624	1	Drama				
0626	1	Documentary				
0634	1	Comedy				
0636	1	Drama				
0639	1	Drama				
0647	1	Documentary				
0649	1	Drama				
0654	1	Comedy				
0656	1	Drama				
0661	1	Drama				
0664	1	Comedy				
0667	1	Drama				
0668	1	Drama				
0670	1	Drama				
0672	1	Horror				
0678	1	Documentary				
0680	1	Comedy				
0681	1	Drama				
0685	1	Drama				
0688	1	Comedy				
0695	1	Documentary				
0697	1	Comedy				
0698	1	Documentary				
0699	1	Comedy				
0700	1	Comedy				
0702	1	Documentary				
0705	1	Comedy				
0708	1	Documentary				
0709	1	Drama				
0710	1	Comedy				
0713	1	Documentary				
0718	1	Drama				
0719	1	Drama				
0721	1	Drama				
0723	1	Comedy				
0727	1	Drama				
0729	1	Drama				
0731	1	Comedy				
0735	1	Drama				
0742	1	Documentary				
0744	1	Documentary				
0747	1	Drama				
0748	1	Comedy				
0750	1	Comedy				
0751	1	Comedy				
0753	1	Drama				
0755	1	Comedy				
0758	1	Documentary				
0760	1	Documentary				
0761	1	Drama				
0764	1	Comedy				
0765	1	Drama				
0767	1	Documentary				
0768	1	Drama				
0770	1	Drama				
0772	1	Comedy				
0773	1	Comedy				
0775	1	Comedy				
0778	1	Documentary				
0780	1	Action				
0781	1	Documentary				
0783	1	Horror				
0784	1	Drama				
0785	1	Action				
0786	1	Documentary				
0791	1	Action				
0792	1	Action				
0793	1	Drama				
0795	1	Drama				
0796	1	Drama				
0797	1	Documentary				
0799	1	Drama				
