movie	rottentomatoes	director		
0443	1	Franco Zeffirelli		
0444	1	Dan Katzir		
0446	1	C�dric Klapisch		
0447	1	Henry Hathaway		
0448	1	Alan Metter		
0449	1	John D. Hancock		
0450	1	Jim Jarmusch		
0451	1	John Ford		
0452	1	William Wyler		
0453	1	Jir� Menzel		
0454	1	Scott Hamilton Kennedy		
0455	1	Colin Higgins		
0456	1	Alan Parker		
0457	1	Michael Lehmann		
0458	1	Steven Soderbergh		
0459	1	Iain Softley		
0461	1	Carlos Sorin		
0462	1	John Turturro		
0463	1	Deborah Warner		
0464	1	Jake Goldberger		
0466	1	Kelly Makin		
0467	1	Joon-ho Bong		
0468	1	Richard Lester		
0469	1	Apichatpong Weerasethakul		
0470	1	Anand Tucker		
0471	1	Nuri Bilge Ceylan		
0472	1	Brian DePalma		
0473	1	Dori Berinstein		
0474	1	Mathieu Kassovitz		
0475	1	Nicholas Ray		
0476	1	Bela Tarr		
0477	1	Lowell Sherman		
0478	1	Patrice Leconte		
0479	1	William Friedkin		
0480	1	Andrea Arnold		
0481	1	Cary Fukunaga		
0483	1	Dylan Kidd		
0485	1	Ronald F. Maxwell		
0486	1	Phil Joanou		
0487	1	Vic Sarin		
0488	1	Jeff Reichert		
0489	1	Christopher Cain		
0490	1	Danny Boyle		
0491	1	David Fincher		
0493	1	Bruce Campbell		
0494	1	Claude Chabrol		
0496	1	Patrick Stettner		
0497	1	Jacques Tati		
0498	1	Ren� Clair		
0500	1	Woody Allen		
0501	1	Steven M. Martin		
0502	1	Achim Bornhak		
0503	1	Milos Forman		
0504	1	Zhou Sun		
0505	1	Arliss Howard		
0506	1	Steve Carr		
0507	1	Roger Spottiswoode		
0508	1	Woody Allen		
0509	1	Gary Winick		
0510	1	Shekhar Kapur		
0511	1	Danny Boyle		
0512	1	Scott Frank		
0513	1	Guillermo del Toro		
0514	1	David Cronenberg		
0515	1	Chuck Workman		
0516	1	Abbas Kiarostami		
0517	1	Emir Kusturica		
0518	1	Roman Polanski		
0519	1	John Irvin		
0520	1	Edouard Molinaro		
0521	1	Des McAnuff		
0522	1	Tony Goldwyn		
0523	1	Ivan Reitman		
0524	1	Frank Darabont		
0525	1	Angela Robinson (III)		
0526	1	Mel Stuart		
0527	1	Nicolas Roeg		
0528	1	Tom Gilroy		
0530	1	William Wyler		
0531	1	Orson Welles		
0532	1	Joe Dante		
0533	1	Michael Winterbottom		
0534	1	James Mangold		
0535	1	Jean-Luc Godard		
0537	1	Brian Jun		
0538	1	Oren Jacoby		
0540	1	Toni Myers		
0541	1	Francis Ford Coppola		
0542	1	Hugh Hudson		
0543	1	Lucrecia Martel		
0545	1	Mike Nawrocki		
0546	1	Theresa Connelly		
0547	1	Sean Ellis		
0548	1	Paul Schrader		
0549	1	Joanna Hogg		
0550	1	Damien Chazelle		
0551	1	Neil Diamond		
0552	1	Jon Else		
0553	1	Wolfgang Petersen		
0555	1	Alfred Hitchcock		
0556	1	Bob Fosse		
0557	1	Albert Brooks		
0558	1	Michael Dougherty		
0559	1	Alexander Olch		
0560	1	Jack Arnold		
0561	1	Sun-Woo Jang		
0562	1	Bill Forsyth		
0564	1	Ye Lou		
0565	1	Pen Densham		
0566	1	Lena Dunham		
0567	1	Jon Turteltaub		
0568	1	Barbet Schroeder		
0570	1	Edward Zwick		
0571	1	David Fincher		
0572	1	So Yong Kim		
0573	1	Robert Greenwald		
0574	1	Steven Spielberg		
0575	1	Alex Holdridge		
0577	1	Kelly Reichardt		
0578	1	Alan Rudolph		
0579	1	Mabrouk El Mechri		
0580	1	Aaron Schneider		
0581	1	M. Night Shyamalan		
0582	1	Tommy Lee Jones		
0583	1	Jean Renoir		
0584	1	Mike Figgis		
0585	1	Roger Donaldson		
0586	1	Christopher Smith		
0587	1	S.R. Bindler		
0588	1	David Cronenberg		
0589	1	Harold Becker		
0590	1	Margot Benacerraf		
0592	1	Byron Haskin		
0593	1	Tony Bill		
0594	1	Majid Majidi		
0595	1	Jim Jarmusch		
0596	1	Marco Bellocchio		
0597	1	Deborah Koons Garcia		
0598	1	John Schlesinger		
0599	1	Ben Wheatley		
0600	1	Paul Bartel		
0601	1	Leonard Nimoy		
0602	1	Brian DePalma		
0603	1	Francis Ford Coppola		
0604	1	William Friedkin		
0605	1	Penelope Spheeris		
0607	1	Steve Jacobs		
0608	1	Christine Jeffs		
0610	1	Jeffrey Levy-Hinte		
0611	1	Lynne Ramsay		
0612	1	Ronald F. Maxwell		
0613	1	Jonathan Liebesman		
0614	1	Stephen Hopkins		
0615	1	Lawrence Blume		
0616	1	Stewart Wade		
0617	1	Victor Salva		
0618	1	Fran�ois Ozon		
0620	1	Jonathan Teplitzky		
0621	1	Vicente Aranda		
0622	1	Garson Kanin		
0623	1	Peter Medak		
0624	1	Michael Reeves		
0625	1	Philippe Garrel		
0626	1	Milcho Manchevski		
0627	1	Ren� Clair		
0628	1	Louise Hogarth		
0629	1	Ron Howard		
0630	1	Des McAnuff		
0631	1	John Cameron Mitchell		
0632	1	Lourdes Portillo		
0633	1	Jeremy Sims		
0634	1	Arthur Hiller		
0635	1	Richard Attenborough		
0636	1	Daniel Mann		
0637	1	John McTiernan		
0638	1	Todd Robinson		
0639	1	Orson Welles		
0642	1	Brian DePalma		
0643	1	Julio Medem		
0644	1	Bohdan Slama		
0646	1	Martha Coolidge		
0647	1	Paul Mazursky		
0648	1	Steven Greenstreet		
0649	1	Wilson Yip		
0650	1	Michel Ocelot		
0651	1	Silvio Soldini		
0652	1	Brian DePalma		
0653	1	Carl Reiner		
0654	1	Abbas Kiarostami		
0655	1	Bahman Ghobadi		
0656	1	Alex Proyas		
0657	1	Joe Mantegna		
0658	1	Jan Svankmajer		
0659	1	Martin Scorsese		
0660	1	Carroll Ballard		
0661	1	Tom Holland		
0662	1	Don Coscarelli		
0663	1	Ji-woon Kim		
0664	1	Jean-Fran�ois Richet		
0665	1	Mike Leigh		
0666	1	Udayan Prasad		
0667	1	Doug Atchison		
0668	1	Steven Soderbergh		
0669	1	Billy Ray		
0670	1	Roman Polanski		
0671	1	James Cameron		
0672	1	Tobe Hooper		
0673	1	Blake Edwards		
0674	1	David Gebroe		
0675	1	Robert Bresson		
0676	1	Paolo Sorrentino		
0677	1	David Mamet		
0678	1	Francis Ford Coppola		
0679	1	Jacques Demy		
0680	1	Norman Foster		
0682	1	Ana Kokkinos		
0683	1	Rob Cohen		
0684	1	Arthur Penn		
0685	1	Donald Petrie		
0686	1	Jean-St�phane Sauvaire		
0688	1	Richard Donner		
0689	1	Phil Joanou		
0690	1	Michael Ritchie		
0691	1	Thomas Schlamme		
0692	1	Marco Kreuzpaintner		
0693	1	Ivan Reitman		
0694	1	Nicholas Hytner		
0695	1	Larry Clark		
0696	1	Francis Ford Coppola		
0699	1	Al Pacino		
0700	1	Rick McKay		
0701	1	Chris Columbus		
0702	1	Woody Allen		
0703	1	Mira Nair		
0704	1	David Slade		
0705	1	Robert Rodriguez		
0706	1	Nigel Cole		
0707	1	James Cameron		
0708	1	Anthony Minghella		
0709	1	Roger Donaldson		
0710	1	Jane Campion		
0711	1	James Gray		
0713	1	Director Ridley Scott		
0714	1	Sean Penn		
0715	1	Patty Jenkins		
0716	1	Woody Allen		
0717	1	Len Wiseman		
0718	1	Gary Sinyor		
0719	1	Roman Polanski		
0720	1	Billy Wilder		
0721	1	Clint Eastwood		
0722	1	Bertrand Tavernier		
0723	1	Barry Avrich		
0724	1	Savage Steve Holland		
0725	1	Barry Levinson		
0727	1	Martin Rosen		
0728	1	John Turturro		
0729	1	Gurinder Chadha		
0730	1	Alan Parker		
0731	1	Jay Roach		
0732	1	Chris Nahon		
0733	1	David Mirkin		
0734	1	Peter R. Hunt		
0735	1	Tim Burton		
0736	1	Francesco Rosi		
0737	1	Peter Askin		
0738	1	Martin Scorsese		
0740	1	Miranda July		
0741	1	Gavin Hood		
0742	1	Pedro Almod�var		
0743	1	Catherine Hardwicke		
0744	1	Miguel Arteta		
0745	1	Paul Greengrass		
0746	1	Robert Altman		
0747	1	Mark Romanek		
0748	1	Taylor Hackford		
0749	1	Guillermo del Toro		
0750	1	Claude Chabrol		
0751	1	Carl Seaton		
0752	1	Michael Radford		
0753	1	Cy Endfield		
0754	1	George Sidney		
0755	1	Otto Preminger		
0756	1	Simon Pummell		
0757	1	Raoul Walsh		
0758	1	Ming-liang Tsai		
0759	1	John Boorman		
0760	1	Harry Basil		
0761	1	Ken Loach		
0762	1	Robert Wise		
0763	1	Julie Taymor		
0764	1	Woody Allen		
0765	1	Wes Anderson		
0766	1	Agnieszka Holland		
0767	1	Nicholas Ray		
0768	1	Preston Sturges		
0769	1	Hayao Miyazaki		
0770	1	Corey Yuen		
0771	1	Dave Payne		
0772	1	Alfred Hitchcock		
0773	1	Matthew Tabak		
0774	1	Bette Gordon		
0775	1	C�dric Kahn		
0776	1	Annemarie Jacir		
0777	1	Slava Tsukerman		
0778	1	Tom McLoughlin		
0779	1	Katie Aselton		
0780	1	Nicholas Ray		
0781	1	Robert Wise		
0782	1	Ronald Bronstein		
0783	1	Kelly Duane		
0785	1	Gideon Koppel		
0786	1	Yang Ik-Joon		
0787	1	John Sayles		
0788	1	Philippe Muyl		
0789	1	Samira Makhmalbaf		
0790	1	Jay Roach		
0791	1	Gore Verbinski		
0792	1	Arthur Hiller		
0793	1	Damien O'Donnell		
0794	1	Joel Schumacher		
0795	1	Joseph Vilsmaier		
0796	1	Christopher Zalla		
0797	1	Martin Campbell		
0798	1	Takashi Ishii		
0800	1	Howard R. Cohen		
0801	1	Paul Auster		
0802	1	Evan Dunsky		
0803	1	Nick Gomez		
0804	1	Jacques Tourneur		
0806	1	Matt Mulhern		
0807	1	James Toback		
0808	1	Tamra Davis		
0809	1	Frank Nissen		
0810	1	J Blakeson		
0811	1	John Sayles		
0812	1	Paul Provenza		
0814	1	Alfred Hitchcock		
0815	1	Louis Malle		
0816	1	George Roy Hill		
0817	1	Michael Radford		
0818	1	Rainer Werner Fassbinder		
0821	1	Susan Morgan Cooper		
0823	1	Tom Shankland		
0824	1	Richard Brooks I		
0825	1	Seijun Suzuki		
0826	1	Henry Koster		
0827	1	Zhang Ke Jia		
0828	1	Robert Lepage		
0829	1	Peter Greenaway		
0830	1	Kirby Dick		
0831	1	Frank A. Cappello		
0832	1	David O. Russell		
0834	1	Rodrigo Pl�		
0835	1	Leon Gast		
0836	1	David Burton Morris		
0837	1	Mark Herman		
0838	1	Jack N. Green		
0840	1	David Anspaugh		
0841	1	Alfredo De Villa		
0842	1	Helen Stickler		
0843	1	Michel Hazanavicius		
0844	1	Stanley Tong		
0845	1	Xavier Beauvois		
0846	1	Neil Jordan		
0847	1	Sam Raimi		
0848	1	Mary Harron		
0849	1	Todd Field		
0850	1	Robert Aldrich		
0852	1	Keven McAlester		
0853	1	Sang-soo Hong		
0856	1	Don Taylor		
0857	1	John Carpenter		
0858	1	Alex LeMay		
0859	1	Abbas Kiarostami		
0860	1	Richard Trank		
0861	1	Patrick Hughes		
0862	1	Robert Towne		
0863	1	Pedro Almod�var		
0864	1	Vincent Gallo		
0865	1	Sam Raimi		
0866	1	Wolfgang Petersen		
0868	1	Woody Allen		
0869	1	Richard Marquand		
0870	1	Denis Dercourt		
0871	1	Kevin Willmott		
0872	1	Edward Zwick		
0873	1	Susanna White		
0874	1	Mikael H�fstrom		
0875	1	John Patrick Shanley		
0876	1	Nikita Mikhalkov		
0877	1	Allison Anders		
0878	1	Sam Wood		
0879	1	Jerry Rothwell		
0880	1	Joe Charbanic		
0881	1	Mark Rosman		
0882	1	Mike Bigelow		
0883	1	Woo-ping Yuen		
0884	1	Giuseppe Piccioni		
0885	1	James Mottern		
0886	1	Ulu Grosbard		
0887	1	Claude Berri		
0889	1	Esther Robinson		
0890	1	Stanley Kramer		
0891	1	Gus Van Sant		
0892	1	Gregory Hoblit		
0893	1	Tom Tykwer		
0894	1	Gore Verbinski		
0895	1	Alexis Dos Santos		
0896	1	Daisy von Scherler Mayer		
0897	1	S�bastien Lifshitz		
0898	1	Hitoshi Matsumoto		
0899	1	Catherine Breillat		
0900	1	Michael Polish		
0901	1	Nuri Bilge Ceylan		
0902	1	Lucy Walker		
0903	1	Jonathan Demme		
0904	1	Ken Kwapis		
0905	1	George Cukor		
0907	1	Terry Zwigoff		
0909	1	Patrice Leconte		
0911	1	Eric Rohmer		
0912	1	Diane Keaton		
0913	1	Todd Haynes		
0914	1	Tom Tykwer		
0917	1	Mary Harron		
0918	1	Shohei Imamura		
0920	1	Albert Magnoli		
0921	1	Jim Sheridan		
0922	1	George Huang		
0923	1	Antonio Luigi Grimaldi		
0924	1	Robert Collector		
0925	1	Lewis Teague		
0926	1	Manish Acharya		
0927	1	Patricia Rozema		
0928	1	Christian Charles		
0929	1	Frank Perry		
0930	1	John Derek		
0931	1	Kevin Knoblock		
0932	1	Rob Reiner		
0933	1	Kevin Hooks		
0935	1	Savage Steve Holland		
0936	1	Melanie Mayron		
0937	1	Bill Fishman		
0939	1	J�r�me Laperrousaz		
0940	1	Doug Block		
0941	1	Lance Mungia		
0942	1	John Badham		
0943	1	David Attwood		
0945	1	Emile Ardolino		
0946	1	Mel Brooks		
0947	1	Bob Rafelson		
0949	1	Ian Inaba		
0950	1	Anton Leader		
0951	1	Alan Alda		
0952	1	Robert Aldrich		
0953	1	Jacques Maillot		
0954	1	Karen Shakhnazarov		
0956	1	Anand Tucker		
0957	1	Jules Dassin		
0958	1	Julie Lopes-Curval		
0959	1	Peter Weir		
0960	1	George Stevens		
0961	1	Leos Carax		
0963	1	Jason Freeland		
0964	1	Bill Bennett		
0965	1	Catherine Jelski		
0966	1	Matt Tauber		
0967	1	Robert Stone		
0968	1	Michael Ritchie		
0969	1	Vikram Jayanti		
0970	1	Jon Amiel		
0971	1	Ki-duk Kim		
0972	1	Per Fly		
0973	1	Marcos Bernstein		
0974	1	Richard Linklater		
0975	1	Kathryn Bigelow		
0976	1	Robert Rodriguez		
0977	1	Russell Mulcahy		
0978	1	Istv�n Szab�		
0979	1	Oliver Stone		
0980	1	Jeff Nathanson		
0982	1	Sarah Robertson		
0983	1	Richard Shepard		
0984	1	David Frankel		
0985	1	Clint Eastwood		
0986	1	Phillip Noyce		
0987	1	John R. Cherry III		
0989	1	Jeff Kanew		
0990	1	Leo McCarey		
0991	1	Ron Mann		
0992	1	Martha Coolidge		
0994	1	Andrew Davis		
0995	1	Gene Cajayon		
0996	1	Francis Ford Coppola		
0997	1	Jean-Paul Jaud		
0998	1	Peter Chelsom		
1000	1	Glenn McQuaid		
1001	1	Harold Ramis		
1002	1	Walter Salles		
1003	1	Tatia Rosenthal		
1005	1	John Swanbeck		
1006	1	Rupert Murray		
1007	1	Chan Wook Park		
1008	1	Alan Taylor		
1009	1	Nigel Cole		
1010	1	Frank Oz		
1011	1	Danny Leiner		
1012	1	George Miller		
1013	1	Nora Ephron		
1014	1	M. Night Shyamalan		
1015	1	Jon Favreau		
1016	1	John Guillermin		
1017	1	Roger Vadim		
1018	1	Mervyn LeRoy		
1019	1	Dario Argento		
1020	1	Robert Altman		
1021	1	Robert Altman		
1022	1	Stuart Walker		
1023	1	Woody Allen		
1024	1	Delbert Mann		
1025	1	Krzysztof Kieslowski		
1026	1	John Huston		
1027	1	Elaine May		
1029	1	Bruce Beresford		
1030	1	Frank Whaley		
1031	1	Abel Ferrara		
1032	1	Anders Thomas Jensen		
1033	1	Wes Craven		
1034	1	Julien Temple		
1036	1	Juan Carlos Rulfo		
1037	1	Stephen Herek		
1038	1	George Miller		
1039	1	Sam Raimi		
1040	1	Danny Leiner		
1041	1	Brad Anderson		
1042	1	Francis Veber		
1044	1	Laetitia Colombani		
1045	1	Peter Hyams		
1046	1	Peter Hyams		
1048	1	Robinson Devor		
1049	1	John Duigan		
1051	1	Nora Ephron		
1052	1	Spike Lee		
1053	1	Charles Martin Smith		
1054	1	Ernest R. Dickerson		
1055	1	Richard Marquand		
1056	1	Otto Preminger		
1057	1	Sara Lamm		
1058	1	Bill Haney		
1059	1	Roger Tucker		
1060	1	Tristan Loraine		
1061	1	Mark Brown		
1062	1	Christian Volckman		
1063	1	Gary Hardwick		
1064	1	Shawn Levy		
1065	1	Shawn Levy		
1067	1	Jonathan Glazer		
1068	1	Nicole Holofcener		
1070	1	Niels Arden Oplev		
1071	1	Tom Ford		
1072	1	Guy Ferland		
1073	1	Andrew Davis		
1074	1	Sydney Pollack		
1075	1	Greg Pritikin		
1076	1	Fran�ois Girard		
1077	1	Nora Ephron		
1078	1	Paul Andrew Williams		
1079	1	Sebasti�n Cordero		
1081	1	Giuseppe Tornatore		
1082	1	David Lynch		
1083	1	Sam Raimi		
1084	1	Don Bluth		
1085	1	Lyndall Hobbs		
1086	1	Sidney Poitier		
1087	1	Ingmar Bergman		
1088	1	Doug McHenry		
1089	1	Michelangelo Antonioni		
1090	1	Vincente Minnelli		
1091	1	Jim Henson		
1092	1	Bob Rafelson		
1093	1	Joe Maggio		
1094	1	Marcelo Pi�eyro		
1095	1	Tomer Heymann		
1097	1	Josh Gilbert		
1098	1	Leonard Nimoy		
1099	1	Shane Meadows		
1100	1	Gurinder Chadha		
1101	1	Frank Oz		
1102	1	Q. Allan Brocka		
1104	1	Francis Ford Coppola		
1105	1	Edward D. Wood Jr.		
1106	1	Angela Ismailos		
1107	1	Joe Dante		
1108	1	John Glen		
1109	1	Danny Boyle		
1110	1	Zhang Ke Jia		
1111	1	Adrian Lyne		
1112	1	Silvio Soldini		
1113	1	Michael Schorr		
1114	1	Julio Medem		
1115	1	Andrew Currie		
1116	1	Lasse Hallstr�m		
1117	1	Gareth Edwards		
1118	1	Breck Eisner		
1119	1	Steven Soderbergh		
1120	1	Roman Polanski		
1121	1	Richard Shepard		
1122	1	Andrzej Zulawski		
1123	1	John Turturro		
1124	1	Richard Thorpe		
1125	1	James Ivory		
1126	1	Chris Noonan		
1127	1	David Dobkin		
1128	1	Craig Brewer		
1130	1	Cristi Puiu		
1131	1	Anders Thomas Jensen		
1132	1	Robinson Devor		
1133	1	Charles Burnett		
1134	1	Peter Jackson		
1135	1	Antoine de Caunes		
1136	1	Nicholas Fackler		
1138	1	Jan Sch�tte		
1139	1	Cindy Kleine		
1140	1	Jim Jarmusch		
1141	1	Gary Burns		
1142	1	Richard Donner		
1143	1	George Butler		
1144	1	Aleksandr Sokurov		
1145	1	Pablo Berger		
1146	1	Andrew Dominik		
1147	1	Lian Lunson		
1148	1	Michael Apted		
1149	1	Mike White		
1150	1	Larry Charles		
1151	1	Simone Bitton		
1152	1	Rebecca Yeldham		
1154	1	Peter Brook		
1155	1	Sidney Lumet		
1156	1	Bill Kroyer		
1157	1	Rose Troche		
1158	1	David Auburn		
1159	1	David Redmon		
1160	1	Brian Henson		
1161	1	Joshua Tickell		
1162	1	Renny Harlin		
1163	1	Shemi Zarhin		
1164	1	Peter Cattaneo		
1166	1	Charles Herman-Wurmfeld		
1167	1	Pierre-Paul Renders		
1168	1	Billy Corben		
1169	1	Baz Luhrmann		
1170	1	Rebecca Miller		
1172	1	Menno Meyjes		
1173	1	Daniel Alfredson		
1174	1	Allen Coulter		
1175	1	Francis Lawrence		
1176	1	Oliver Stone		
1177	1	Sandy Tung		
1178	1	Mike Nichols		
1179	1	Michael Hoffman		
1180	1	Jim Van Bebber		
1182	1	W.D. Richter		
1183	1	Shunji Iwai		
1184	1	Scott J. Gill		
1185	1	Joel Schumacher		
1186	1	Jay Roach		
1187	1	Ted Braun		
1188	1	John Frankenheimer		
1189	1	C�dric Klapisch		
1190	1	Julie Taymor		
1191	1	Christophe Barratier		
1192	1	David Slade		
1193	1	David Mamet		
1194	1	Miguel Arteta		
1195	1	Robert Rodriguez		
1196	1	Richard Attenborough		
1197	1	Luc Besson		
1198	1	Jacques Doillon		
1199	1	Claire Denis		
1200	1	Robert Hiltzik		
1201	1	Takashi Miike		
1202	1	Randal Kleiser		
1203	1	Marco Bellocchio		
1204	1	G�rard Corbiau		
1205	1	Susan Streitfeld		
1207	1	James Cameron		
1208	1	Sandra Goldbacher		
1209	1	Donald Petrie		
1210	1	Guy Hamilton		
1211	1	Sam Garbarski		
1212	1	David Maquiling		
1213	1	Whit Stillman		
1214	1	Jean-Luc Godard		
1215	1	Michael Hoffman		
1216	1	Quentin Tarantino		
1217	1	Marc Evans		
1218	1	Jordan Melamed		
1219	1	Sandra Goldbacher		
1220	1	Fran�ois Truffaut		
1221	1	Elia Kazan		
1222	1	Orson Welles		
1223	1	John Lee Hancock		
1224	1	Adam McKay		
1225	1	Daryl Wein		
1226	1	Peter Stebbings		
1227	1	Stan Dragoti		
1228	1	Henry Jaglom		
1229	1	Desmond Davis		
1230	1	Stuart Baird		
1231	1	Matthew Barney		
1232	1	Warren Beatty		
1233	1	Peter Chan		
1235	1	Richard Fleischer		
1236	1	Anne-Sophie Birot		
1237	1	Steven E. de Souza		
1238	1	John Gray		
1239	1	Martin Lawrence		
1240	1	Andrew Sipes		
1242	1	David S. Ward		
1244	1	Jim McBride		
1245	1	Barry Shils		
1246	1	Alan Taylor		
1247	1	Arthur Crabtree		
1249	1	Matej Minac		
1250	1	Joel Schumacher		
1252	1	Joe Swanberg		
1253	1	Andrew Haigh		
1254	1	Deagol Brothers		
1255	1	Ram�n Men�ndez		
1256	1	Zelda Barron		
1257	1	Charles Shyer		
1258	1	Franco Zeffirelli		
1259	1	Spike Lee		
1260	1	Frank Lloyd		
1262	1	Takashi Shimizu		
1263	1	Curtis Hanson		
1264	1	Amnon Buchbinder		
1265	1	Jake Kasdan		
1266	1	John Dahl		
1268	1	Neil LaBute		
1269	1	Peter Hedges		
1270	1	Chris Wedge		
1271	1	Terry Gilliam		
1272	1	Marc Forster		
1273	1	Mario Bava		
1274	1	Sidney Lumet		
1275	1	Rob Margolies		
1276	1	John-Luke Montias		
1278	1	Lee Unkrich		
1279	1	John Sayles		
1280	1	Alfred Hitchcock		
1281	1	Billy Wilder		
1282	1	Andrei Tarkovsky		
1283	1	Richard Linklater		
1284	1	Chris Atkins		
1285	1	Scott S. Anderson		
1286	1	Takashi Miike		
1287	1	Jeff Tremaine		
1288	1	Julian Jarrold		
1289	1	Ben Stiller		
1290	1	Kevin Smith		
1292	1	Les Mayfield		
1293	1	Boaz Yakin		
1294	1	Alan Rudolph		
1295	1	Otto Preminger		
1297	1	Oliver Stone		
1298	1	Iain Softley		
1299	1	Colin Nutley		
1300	1	Andre Techine		
1301	1	David Lynch		
1302	1	John Herzfeld		
1303	1	Tim Hill		
1304	1	Michael Haneke		
1305	1	Brad Silberling		
1306	1	George Lucas		
1307	1	Clint Eastwood		
1308	1	Sydney Pollack		
1309	1	Harry Hook		
1310	1	�zg�r Yildirim		
1311	1	Tom Harper		
1312	1	Steven Spielberg		
1313	1	Paul Brickman		
1314	1	Billy Wilder		
1315	1	Charles Laughton		
1316	1	Michael Haneke		
1317	1	Ryan Piers Williams		
1318	1	Timothy Linh Bui		
1320	1	Robert Harmon		
1321	1	Dani Menkin		
1322	1	Sean S. Cunningham		
1323	1	Mike Nichols		
1324	1	Bonnie Hunt		
1325	1	Sanaa Hamri		
1326	1	Derrick Borte		
1327	1	Audrey Wells		
1328	1	Bryan Singer		
1329	1	Ulu Grosbard		
1330	1	Hugh Hudson		
1331	1	Ted Kotcheff		
1332	1	Martin Ritt		
1333	1	Wim Wenders		
1334	1	Jonathan Kaplan		
1335	1	Sidney Lumet		
1336	1	Daniel J. Sullivan		
1337	1	Sidney Lumet		
1338	1	Mark L. Lester		
1339	1	Gordon Chan		
1340	1	John Frankenheimer		
1341	1	Bob Odenkirk		
1342	1	Hal Needham		
1343	1	Jonathan Lynn		
1344	1	Amy Holden Jones		
1345	1	Stephen Surjik		
1346	1	Karim Ainouz		
1347	1	Robert Benton		
1348	1	Paul Verhoeven		
1349	1	Dana Brown		
1350	1	Isaac H. Eaton		
1351	1	John Badham		
1352	1	Dominique Othenin-Girard		
1353	1	Roger Donaldson		
1354	1	Bille August		
1355	1	Rodney Evans		
1356	1	Gary Halvorson		
1357	1	C�line Sciamma		
1358	1	Terrence Malick		
1359	1	Garth Jennings		
1360	1	Conrad Rooks		
1361	1	Phillip Noyce		
1362	1	Julie Taymor		
1363	1	Zack Snyder		
1364	1	Michael Moore		
1365	1	Eric Bana		
1366	1	William Peter Blatty		
1368	1	Alex Rivera		
1371	1	Tod Browning		
1372	1	Jerry Aronson		
1373	1	Matthew Barney		
1374	1	Richard Rich		
1376	1	William Friedkin		
1377	1	Tom Tykwer		
1378	1	Paul Michael Glaser		
1379	1	Charles Haid		
1380	1	Pedro Almod�var		
1381	1	Federico Fellini		
1382	1	Stuart Rosenberg		
1383	1	John Hamburg		
1385	1	John Patrick Shanley		
1386	1	Joseph Cedar		
1387	1	Julien Temple		
1388	1	Hugh Wilson		
1389	1	Richard Day		
1390	1	Henry Bean		
1391	1	Cyrus Nowrasteh		
1392	1	John Erick Dowdle		
1393	1	Ari Sandel		
1394	1	John Sayles		
1395	1	Deborah Scranton		
1396	1	Errol Morris		
1397	1	Joel Coen		
1399	1	Fred Schepisi		
1400	1	Sofia Coppola		
1401	1	Richard Kwietniowski		
1402	1	Guy Maddin		
1403	1	Darren Aronofsky		
1405	1	Frank Capra		
1406	1	George Stevens		
1407	1	Joel Conroy		
1408	1	Jeannot Szwarc		
1409	1	Anthony Minghella		
1410	1	Dan Ireland		
1411	1	Forest Whitaker		
1412	1	Nacer Khemir		
1413	1	Raja Gosnell		
1414	1	Michael Almereyda		
1415	1	Niall Johnson		
1416	1	Michael Radford		
1417	1	John Schultz		
1418	1	Bruce A. Evans		
1419	1	Luke Greenfield		
1420	1	Nancy Meyers		
1421	1	Herbert Ross		
1422	1	David E. Talbert		
1423	1	James Wong		
1424	1	David L. Cunningham		
1425	1	Xavier Gens		
1426	1	Matt Tyrnauer		
1427	1	Peter Bogdanovich		
1428	1	Zackary Adler		
1429	1	James C. Strouse		
1430	1	Hiroyuki Okiura		
1431	1	Edward Anderson		
1433	1	Michael Apted		
1434	1	Robert Lee King		
1435	1	Youngyooth Thongkonthun		
1436	1	Noah Baumbach		
1437	1	Craig Chester		
1438	1	Sofia Coppola		
1441	1	Erik Skjoldbjaerg		
1442	1	John Wayne		
1443	1	Shusuke Kaneko		
1445	1	Mark Joffe		
1446	1	Nick Guthe		
1447	1	Robert Greenwald		
1449	1	Abby Epstein		
1450	1	Martin Campbell		
1451	1	Joseph McGrath		
1452	1	Jason Kohn		
1453	1	Kasi Lemmons		
1454	1	Wes Craven		
1455	1	Keith Beauchamp		
1456	1	Herbert Ross		
1457	1	Bob Fosse		
1458	1	Michael Mann		
1459	1	Lewis Milestone		
1460	1	Alfred Hitchcock		
1461	1	Mike Nichols		
1462	1	Emmanuel Laurent		
1463	1	Michael Chapman		
1464	1	Brian DePalma		
1465	1	Peter Hyams		
1466	1	Jos� Padilha		
1467	1	Clint Eastwood		
1468	1	Anna Biller		
1469	1	Jeff Balsmeyer		
1470	1	James Ivory		
1471	1	Todd Solondz		
1472	1	Thomas Carter (II)		
1473	1	Thor Freudenthal		
1474	1	James Mangold		
1475	1	Rod Lurie		
1476	1	Nancy Meyers		
1477	1	Ron Howard		
1478	1	Rob Cohen		
1480	1	Greg Pritikin		
1481	1	Matt Farnsworth		
1482	1	Randall Miller		
1483	1	Edward Burns		
1484	1	Jonathan Jakubowicz		
1485	1	Robert Luketic		
1486	1	John Sayles		
1487	1	Caroline Link		
1489	1	Peter Berg		
1490	1	Jean Renoir		
1491	1	Ernst Lubitsch		
1492	1	George Stevens		
1493	1	David Mamet		
1494	1	Otto Preminger		
1495	1	Leslie H. Martinson		
1496	1	Werner Herzog		
1497	1	Arthur Hiller		
1499	1	Herbert Ross		
1500	1	Yojiro Takita		
