movie	imdb	genre								
1002	5	Adventure	Comedy	Crime	Mystery	Adventure - Comedy - Crime - Mystery				
1012	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1023	5	Action	Romance	Sci-Fi	Thriller	Action - Romance - Sci-Fi - Thriller				
1026	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1028	5	Drama	Mystery	Sci-Fi	Thriller	Drama - Mystery - Sci-Fi - Thriller				
1032	5	Action	Adventure	Family	Fantasy	Action - Adventure - Family - Fantasy				
1042	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1043	5	Animation	Adventure	Family	Sci-Fi	Animation - Adventure - Family - Sci-Fi				
1046	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1048	5	Adventure	Fantasy	Mystery	Sci-Fi	Adventure - Fantasy - Mystery - Sci-Fi				
1051	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1053	5	Animation	Action	Sci-Fi	Thriller	Animation - Action - Sci-Fi - Thriller				
1057	5	Comedy	Drama	Music	Romance	Comedy - Drama - Music - Romance				
1063	5	Drama	Music	Mystery	Romance	Drama - Music - Mystery - Romance				
1067	5	Comedy	Drama	Fantasy	Sci-Fi	Comedy - Drama - Fantasy - Sci-Fi				
1068	5	Biography	Drama	History	War	Biography - Drama - History - War				
1071	5	Action	Adventure	Drama	Sci-Fi	Action - Adventure - Drama - Sci-Fi				
1088	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
1094	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance				
1096	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1101	5	Drama	Horror	Musical	Thriller	Drama - Horror - Musical - Thriller				
1107	5	Action	Adventure	Comedy	Thriller	Action - Adventure - Comedy - Thriller				
1109	5	Action	Family	Adventure	Comedy	Action - Family - Adventure - Comedy				
1121	5	Biography	Drama	Music	Romance	Biography - Drama - Music - Romance				
1123	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1125	5	Crime	Drama	Music	Romance	Crime - Drama - Music - Romance				
1134	5	Adventure	Drama	Romance	Western	Adventure - Drama - Romance - Western				
1141	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
1143	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1144	5	Comedy	Drama	Romance	War	Comedy - Drama - Romance - War				
1151	5	Adventure	Comedy	Family	Sci-Fi	Adventure - Comedy - Family - Sci-Fi				
1156	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1158	5	Comedy	Family	Fantasy	Thriller	Comedy - Family - Fantasy - Thriller				
1165	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1166	5	Action	Comedy	Crime	Family	Action - Comedy - Crime - Family				
1168	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller				
1169	5	Comedy	Crime	Romance	Thriller	Comedy - Crime - Romance - Thriller				
1173	5	Drama	Horror	Romance	Sci-Fi	Drama - Horror - Romance - Sci-Fi				
1177	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1179	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1189	5	Comedy	Drama	Family	Sport	Comedy - Drama - Family - Sport				
1191	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1194	5	Animation	Biography	Drama	War	Animation - Biography - Drama - War				
1200	5	Action	Drama	Thriller	War	Action - Drama - Thriller - War				
1204	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller				
1210	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport				
1211	5	Action	Adventure	Mystery	Sci-Fi	Action - Adventure - Mystery - Sci-Fi				
1213	5	Action	Adventure	Comedy	Thriller	Action - Adventure - Comedy - Thriller				
1214	5	Adventure	Drama	Family	Romance	Adventure - Drama - Family - Romance				
1223	5	Drama	Action	Adventure	Thriller	Drama - Action - Adventure - Thriller				
1226	5	Horror	Mystery	Sci-Fi	Thriller	Horror - Mystery - Sci-Fi - Thriller				
1228	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1230	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1232	5	Adventure	Comedy	Drama	Romance	Adventure - Comedy - Drama - Romance				
1233	5	Comedy	Drama	Mystery	Romance	Comedy - Drama - Mystery - Romance				
1236	5	Action	Adventure	Comedy	Family	Action - Adventure - Comedy - Family				
1241	5	Action	Mystery	Sci-Fi	Thriller	Action - Mystery - Sci-Fi - Thriller				
1246	5	Comedy	Adventure	Crime	Music	Comedy - Adventure - Crime - Music				
1250	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller				
1253	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance				
1270	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller				
1279	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1281	5	Adventure	Comedy	Family	Fantasy	Adventure - Comedy - Family - Fantasy				
1285	5	Fantasy	Horror	Thriller	Mystery	Fantasy - Horror - Thriller - Mystery				
1295	5	Drama	Fantasy	Comedy	Romance	Drama - Fantasy - Comedy - Romance				
1297	5	Adventure	Comedy	Family	Fantasy	Adventure - Comedy - Family - Fantasy				
1300	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1305	5	Biography	Comedy	Drama	Romance	Biography - Comedy - Drama - Romance				
1310	5	Animation	Adventure	Comedy	Family	Animation - Adventure - Comedy - Family				
1312	5	Fantasy	Horror	Mystery	Thriller	Fantasy - Horror - Mystery - Thriller				
1313	5	Comedy	Drama	History	Romance	Comedy - Drama - History - Romance				
1316	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1320	5	Drama	Romance	Mystery	Music	Drama - Romance - Mystery - Music				
1323	5	Animation	Adventure	Comedy	Family	Animation - Adventure - Comedy - Family				
1324	5	Drama	Fantasy	Mystery	Sci-Fi	Drama - Fantasy - Mystery - Sci-Fi				
1325	5	Comedy	Fantasy	Horror	Thriller	Comedy - Fantasy - Horror - Thriller				
1329	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1337	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1339	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1342	5	Animation	Adventure	Family	Thriller	Animation - Adventure - Family - Thriller				
1343	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
1345	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1346	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
1359	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
1373	5	Action	Comedy	Romance	Thriller	Action - Comedy - Romance - Thriller				
1376	5	Action	Adventure	Horror	Thriller	Action - Adventure - Horror - Thriller				
1382	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1383	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1404	5	Biography	Drama	History	War	Biography - Drama - History - War				
1405	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1410	5	Comedy	Family	Fantasy	Musical	Comedy - Family - Fantasy - Musical				
1414	5	Crime	Drama	History	Romance	Crime - Drama - History - Romance				
1420	5	Action	Comedy	Crime	Western	Action - Comedy - Crime - Western				
1422	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1424	5	Comedy	Family	Fantasy	Romance	Comedy - Family - Fantasy - Romance				
1428	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1429	5	Action	Adventure	Comedy	Crime	Action - Adventure - Comedy - Crime				
1434	5	Biography	Drama	Thriller	War	Biography - Drama - Thriller - War				
1443	5	Adventure	Comedy	Family	Fantasy	Adventure - Comedy - Family - Fantasy				
1447	5	Action	Crime	Mystery	Thriller	Action - Crime - Mystery - Thriller				
1453	5	Action	Crime	Sci-Fi	Thriller	Action - Crime - Sci-Fi - Thriller				
1462	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1467	5	Horror	Thriller	Fantasy	Mystery	Horror - Thriller - Fantasy - Mystery				
1475	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1477	5	Adventure	Comedy	Family	Fantasy	Adventure - Comedy - Family - Fantasy				
1478	5	Action	Adventure	Fantasy	Thriller	Action - Adventure - Fantasy - Thriller				
1482	5	Adventure	Drama	Family	Fantasy	Adventure - Drama - Family - Fantasy				
1485	5	Action	Crime	Fantasy	Thriller	Action - Crime - Fantasy - Thriller				
1486	5	Biography	Drama	History	War	Biography - Drama - History - War				
1498	5	Drama	History	War	Western	Drama - History - War - Western				
1505	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
1511	5	Drama	Romance	Sci-Fi	Thriller	Drama - Romance - Sci-Fi - Thriller				
1516	5	Action	Crime	Horror	Thriller	Action - Crime - Horror - Thriller				
1519	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1522	5	Action	Crime	Fantasy	Thriller	Action - Crime - Fantasy - Thriller				
1529	5	Comedy	Drama	Music	Romance	Comedy - Drama - Music - Romance				
1531	5	Action	Adventure	Horror	Thriller	Action - Adventure - Horror - Thriller				
1546	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1552	5	Comedy	Horror	Mystery	Thriller	Comedy - Horror - Mystery - Thriller				
1556	5	Comedy	Fantasy	Music	Romance	Comedy - Fantasy - Music - Romance				
1565	5	Comedy	Family	Fantasy	Romance	Comedy - Family - Fantasy - Romance				
1569	5	Action	Adventure	Family	Thriller	Action - Adventure - Family - Thriller				
1573	5	Comedy	Drama	Music	War	Comedy - Drama - Music - War				
1576	5	Animation	Comedy	Drama	Musical	Animation - Comedy - Drama - Musical				
1578	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
1594	5	Comedy	Drama	Mystery	Romance	Comedy - Drama - Mystery - Romance				
1596	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1597	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance				
1598	5	Biography	Comedy	Drama	Sport	Biography - Comedy - Drama - Sport				
1605	5	Biography	Drama	Music	Musical	Biography - Drama - Music - Musical				
1611	5	Action	Adventure	Horror	Thriller	Action - Adventure - Horror - Thriller				
1621	5	Animation	Action	Sci-Fi	Thriller	Animation - Action - Sci-Fi - Thriller				
1629	5	Comedy	Family	Fantasy	Adventure	Comedy - Family - Fantasy - Adventure				
1634	5	Action	Adventure	Comedy	Crime	Action - Adventure - Comedy - Crime				
1639	5	Drama	Mystery	Sci-Fi	Thriller	Drama - Mystery - Sci-Fi - Thriller				
1640	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
1642	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1644	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
1647	5	Comedy	Drama	Music	Romance	Comedy - Drama - Music - Romance				
1649	5	Action	Adventure	Comedy	Crime	Action - Adventure - Comedy - Crime				
1658	5	Action	Drama	History	War	Action - Drama - History - War				
1660	5	Action	Comedy	Fantasy	Horror	Action - Comedy - Fantasy - Horror				
1663	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1675	5	Action	Comedy	Family	Sport	Action - Comedy - Family - Sport				
1683	5	Action	Adventure	Crime	Thriller	Action - Adventure - Crime - Thriller				
1685	5	Action	Adventure	Drama	War	Action - Adventure - Drama - War				
1689	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller				
1691	5	Drama	Mystery	Sci-Fi	Thriller	Drama - Mystery - Sci-Fi - Thriller				
1692	5	Comedy	Drama	Family	Fantasy	Comedy - Drama - Family - Fantasy				
1694	5	Drama	History	Romance	War	Drama - History - Romance - War				
1703	5	Action	Adventure	Drama	History	Action - Adventure - Drama - History				
1705	5	Adventure	Drama	Fantasy	Thriller	Adventure - Drama - Fantasy - Thriller				
1706	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1722	5	Drama	Romance	Family	Fantasy	Drama - Romance - Family - Fantasy				
1734	5	Action	Fantasy	Horror	Thriller	Action - Fantasy - Horror - Thriller				
1736	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1740	5	Family	Comedy	Adventure	Romance	Family - Comedy - Adventure - Romance				
1742	5	Drama	Horror	Thriller	Mystery	Drama - Horror - Thriller - Mystery				
1743	5	Action	Crime	Mystery	Thriller	Action - Crime - Mystery - Thriller				
1746	5	Comedy	Crime	Thriller	Drama	Comedy - Crime - Thriller - Drama				
1749	5	Comedy	Musical	Adventure	Action	Comedy - Musical - Adventure - Action				
1755	5	Biography	Comedy	Drama	History	Biography - Comedy - Drama - History				
1756	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1782	5	Action	Comedy	Mystery	Thriller	Action - Comedy - Mystery - Thriller				
1784	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller				
1787	5	Comedy	Drama	Horror	Thriller	Comedy - Drama - Horror - Thriller				
1808	5	Action	Drama	History	War	Action - Drama - History - War				
1812	5	Animation	Action	Family	Sci-Fi	Animation - Action - Family - Sci-Fi				
1817	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
1821	5	Comedy	Drama	Family	Romance	Comedy - Drama - Family - Romance				
1824	5	Drama	Horror	Mystery	Sci-Fi	Drama - Horror - Mystery - Sci-Fi				
1839	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1852	5	Crime	Mystery	Sci-Fi	Thriller	Crime - Mystery - Sci-Fi - Thriller				
1855	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport				
1857	5	Action	Drama	Fantasy	Romance	Action - Drama - Fantasy - Romance				
1870	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller				
1871	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport				
1873	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance				
1884	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1889	5	Drama	Horror	War	Thriller	Drama - Horror - War - Thriller				
1893	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1897	5	Animation	Fantasy	Music	Romance	Animation - Fantasy - Music - Romance				
1898	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller				
1905	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1906	5	Drama	Mystery	Sci-Fi	Thriller	Drama - Mystery - Sci-Fi - Thriller				
1907	5	Comedy	Drama	Family	Romance	Comedy - Drama - Family - Romance				
1910	5	Comedy	Family	Fantasy	Sport	Comedy - Family - Fantasy - Sport				
1915	5	Drama	Comedy	Crime	Thriller	Drama - Comedy - Crime - Thriller				
1936	5	Sci-Fi	Thriller	Mystery	Drama	Sci-Fi - Thriller - Mystery - Drama				
1942	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
1943	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
1946	5	Comedy	Crime	Drama	Romance	Comedy - Crime - Drama - Romance				
1948	5	Comedy	Crime	Musical	Mystery	Comedy - Crime - Musical - Mystery				
1949	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1952	5	Adventure	Comedy	Drama	Family	Adventure - Comedy - Drama - Family				
1958	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
1961	5	Action	Crime	Drama	Sport	Action - Crime - Drama - Sport				
1964	5	Action	Comedy	Drama	Thriller	Action - Comedy - Drama - Thriller				
1969	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller				
1982	5	Action	Biography	Crime	Drama	Action - Biography - Crime - Drama				
1991	5	Crime	Drama	History	Romance	Crime - Drama - History - Romance				
1997	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller				
1998	5	Crime	Drama	Family	Sport	Crime - Drama - Family - Sport				
0002	4	Action	Adventure	Sci-Fi	Action - Adventure - Sci-Fi					
0006	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0008	4	Drama	History	Romance	Drama - History - Romance					
0010	4	Action	Fantasy	War	Action - Fantasy - War					
0011	4	Drama	Romance	Sci-Fi	Drama - Romance - Sci-Fi					
0012	4	Crime	Mystery	Thriller	Crime - Mystery - Thriller					
0013	4	Drama	Mystery	Sci-Fi	Drama - Mystery - Sci-Fi					
0014	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0015	4	Action	Sci-Fi	Thriller	Action - Sci-Fi - Thriller					
0017	4	Action	Crime	Thriller	Action - Crime - Thriller					
0026	4	Drama	Sci-Fi	Thriller	Drama - Sci-Fi - Thriller					
0028	4	Adventure	Comedy	Drama	Adventure - Comedy - Drama					
0030	4	Action	Adventure	Comedy	Action - Adventure - Comedy					
0031	4	Drama	History	War	Drama - History - War					
0033	4	Drama	Mystery	Thriller	Drama - Mystery - Thriller					
0035	4	Action	Thriller	Crime	Action - Thriller - Crime					
0037	4	Mystery	Romance	Thriller	Mystery - Romance - Thriller					
0039	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0040	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0041	4	Drama	Mystery	Romance	Drama - Mystery - Romance					
0053	4	Horror	Fantasy	Thriller	Horror - Fantasy - Thriller					
0056	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0060	4	Comedy	Drama	Thriller	Comedy - Drama - Thriller					
0064	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0065	4	Drama	Thriller	Crime	Drama - Thriller - Crime					
0066	4	Biography	Drama	Romance	Biography - Drama - Romance					
0067	4	Action	Drama	History	Action - Drama - History					
0069	4	Drama	Romance	Thriller	Drama - Romance - Thriller					
0070	4	Drama	Horror	Thriller	Drama - Horror - Thriller					
0072	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0073	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0078	4	Action	Thriller	Crime	Action - Thriller - Crime					
0079	4	Action	Crime	Thriller	Action - Crime - Thriller					
0086	4	Comedy	Family	Sport	Comedy - Family - Sport					
0089	4	Drama	Horror	Thriller	Drama - Horror - Thriller					
0090	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0093	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0099	4	Biography	Drama	History	Biography - Drama - History					
0101	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0104	4	Drama	Romance	Western	Drama - Romance - Western					
0105	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0106	4	Horror	Sci-Fi	Thriller	Horror - Sci-Fi - Thriller					
0110	4	Drama	Music	Romance	Drama - Music - Romance					
0112	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0114	4	Comedy	Adventure	Family	Comedy - Adventure - Family					
0115	4	Biography	Drama	Music	Biography - Drama - Music					
0116	4	Fantasy	Horror	Mystery	Fantasy - Horror - Mystery					
0118	4	Comedy	Crime	Romance	Comedy - Crime - Romance					
0119	4	Comedy	Drama	Sport	Comedy - Drama - Sport					
0121	4	Comedy	Romance	Sport	Comedy - Romance - Sport					
0123	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0131	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0136	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0138	4	Comedy	Drama	Music	Comedy - Drama - Music					
0140	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0141	4	Comedy	Drama	Sport	Comedy - Drama - Sport					
0142	4	Crime	Fantasy	Comedy	Crime - Fantasy - Comedy					
0148	4	Drama	History	Western	Drama - History - Western					
0150	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0153	4	Biography	Drama	Romance	Biography - Drama - Romance					
0154	4	Comedy	Fantasy	Romance	Comedy - Fantasy - Romance					
0156	4	Comedy	Romance	Sport	Comedy - Romance - Sport					
0160	4	Action	Adventure	Crime	Action - Adventure - Crime					
0165	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0168	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0170	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0172	4	Comedy	Fantasy	Horror	Comedy - Fantasy - Horror					
0174	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0175	4	Drama	Music	War	Drama - Music - War					
0190	4	Drama	Romance	War	Drama - Romance - War					
0192	4	Biography	Drama	Sport	Biography - Drama - Sport					
0193	4	Action	Adventure	Thriller	Action - Adventure - Thriller					
0198	4	Adventure	Comedy	Romance	Adventure - Comedy - Romance					
0202	4	Horror	Thriller	Mystery	Horror - Thriller - Mystery					
0205	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0207	4	Drama	Comedy	Crime	Drama - Comedy - Crime					
0213	4	Fantasy	Horror	Thriller	Fantasy - Horror - Thriller					
0218	4	Action	Crime	Thriller	Action - Crime - Thriller					
0221	4	Comedy	Fantasy	Sci-Fi	Comedy - Fantasy - Sci-Fi					
0224	4	Action	Crime	Drama	Action - Crime - Drama					
0230	4	Animation	Action	Sci-Fi	Animation - Action - Sci-Fi					
0233	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0234	4	Action	Adventure	Comedy	Action - Adventure - Comedy					
0235	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0238	4	Action	Crime	Drama	Action - Crime - Drama					
0247	4	Drama	History	Thriller	Drama - History - Thriller					
0249	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0253	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0261	4	Action	Comedy	Sport	Action - Comedy - Sport					
0263	4	Biography	Comedy	Drama	Biography - Comedy - Drama					
0264	4	Comedy	Drama	Fantasy	Comedy - Drama - Fantasy					
0265	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0267	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0270	4	Adventure	Comedy	Family	Adventure - Comedy - Family					
0271	4	Horror	Sci-Fi	Thriller	Horror - Sci-Fi - Thriller					
0275	4	Biography	Drama	Romance	Biography - Drama - Romance					
0276	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0281	4	Crime	Drama	Mystery	Crime - Drama - Mystery					
0286	4	Drama	Fantasy	Mystery	Drama - Fantasy - Mystery					
0290	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0292	4	Comedy	Drama	War	Comedy - Drama - War					
0299	4	Action	Crime	Thriller	Action - Crime - Thriller					
0306	4	Adventure	War	Western	Adventure - War - Western					
0308	4	Action	Horror	Sci-Fi	Action - Horror - Sci-Fi					
0314	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0317	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0321	4	Drama	Mystery	War	Drama - Mystery - War					
0323	4	Comedy	Crime	Family	Comedy - Crime - Family					
0324	4	Comedy	Drama	Crime	Comedy - Drama - Crime					
0325	4	Drama	Romance	Thriller	Drama - Romance - Thriller					
0328	4	Comedy	Drama	Music	Comedy - Drama - Music					
0330	4	Drama	Romance	Comedy	Drama - Romance - Comedy					
0332	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0333	4	Action	Adventure	Drama	Action - Adventure - Drama					
0336	4	Comedy	Romance	Music	Comedy - Romance - Music					
0338	4	Action	Crime	Thriller	Action - Crime - Thriller					
0340	4	Crime	Mystery	Thriller	Crime - Mystery - Thriller					
0343	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0345	4	Action	Drama	Thriller	Action - Drama - Thriller					
0346	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0348	4	Action	Adventure	Thriller	Action - Adventure - Thriller					
0350	4	Crime	Drama	History	Crime - Drama - History					
0353	4	Biography	Drama	History	Biography - Drama - History					
0354	4	Action	Crime	Sci-Fi	Action - Crime - Sci-Fi					
0358	4	Comedy	Fantasy	Horror	Comedy - Fantasy - Horror					
0363	4	Western	Adventure	Drama	Western - Adventure - Drama					
0364	4	Action	Comedy	Thriller	Action - Comedy - Thriller					
0366	4	Drama	Romance	War	Drama - Romance - War					
0370	4	Action	Biography	Western	Action - Biography - Western					
0374	4	Comedy	Family	Sport	Comedy - Family - Sport					
0376	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0378	4	Biography	Drama	Sport	Biography - Drama - Sport					
0380	4	Comedy	Crime	Thriller	Comedy - Crime - Thriller					
0386	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0392	4	Sci-Fi	Thriller	Mystery	Sci-Fi - Thriller - Mystery					
0394	4	Comedy	Horror	Thriller	Comedy - Horror - Thriller					
0395	4	Action	Crime	Drama	Action - Crime - Drama					
0398	4	Drama	Horror	Thriller	Drama - Horror - Thriller					
0405	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0406	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0411	4	Drama	Comedy	Crime	Drama - Comedy - Crime					
0413	4	Comedy	Romance	Drama	Comedy - Romance - Drama					
0414	4	Mystery	Drama	Romance	Mystery - Drama - Romance					
0416	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0423	4	Drama	Mystery	Thriller	Drama - Mystery - Thriller					
0424	4	Biography	Drama	Sport	Biography - Drama - Sport					
0429	4	Action	Crime	Thriller	Action - Crime - Thriller					
0430	4	Action	Sci-Fi	Thriller	Action - Sci-Fi - Thriller					
0432	4	Horror	Mystery	Thriller	Horror - Mystery - Thriller					
0434	4	Biography	Drama	Music	Biography - Drama - Music					
0438	4	Comedy	Crime	Drama	Comedy - Crime - Drama					
0440	4	Crime	Drama	Thriller	Crime - Drama - Thriller					
0441	4	Drama	Musical	Romance	Drama - Musical - Romance					
0442	4	Comedy	Family	Fantasy	Comedy - Family - Fantasy					
0443	4	Action	Comedy	Thriller	Action - Comedy - Thriller					
0445	4	Drama	Comedy	Romance	Drama - Comedy - Romance					
0451	4	Horror	Mystery	Thriller	Horror - Mystery - Thriller					
0454	4	Fantasy	Horror	Sci-Fi	Fantasy - Horror - Sci-Fi					
0455	4	Biography	Drama	Romance	Biography - Drama - Romance					
0457	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0458	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0461	4	Crime	Drama	Romance	Crime - Drama - Romance					
0462	4	Action	Adventure	Fantasy	Action - Adventure - Fantasy					
0464	4	Adventure	Comedy	Romance	Adventure - Comedy - Romance					
0467	4	Drama	Romance	Comedy	Drama - Romance - Comedy					
0474	4	Action	Sci-Fi	Thriller	Action - Sci-Fi - Thriller					
0476	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0480	4	Animation	Comedy	Family	Animation - Comedy - Family					
0482	4	Drama	Horror	Thriller	Drama - Horror - Thriller					
0483	4	Animation	Action	Sci-Fi	Animation - Action - Sci-Fi					
0500	4	Drama	Crime	War	Drama - Crime - War					
0501	4	Comedy	Drama	Romance	Comedy - Drama - Romance					
0505	4	Adventure	Fantasy	Thriller	Adventure - Fantasy - Thriller					
0508	4	Drama	History	War	Drama - History - War					
0511	4	Action	Crime	Thriller	Action - Crime - Thriller					
0518	4	Biography	Crime	Drama	Biography - Crime - Drama					
0523	4	Action	Comedy	Crime	Action - Comedy - Crime					
0524	4	Drama	History	War	Drama - History - War					
