restaurant	gayot	cuisine			
0439	3	Steakhouse	Seafood	Steakhouse - Seafood	
0440	3	Chinese	Seafood	Chinese - Seafood	
0444	3	Steakhouse	Seafood	Steakhouse - Seafood	
0445	3	Irish	American	Irish - American	
0450	3	Middle Eastern	Lebanese	Middle Eastern - Lebanese	
0452	3	Southern	Soul Food	Southern - Soul Food	
0454	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0456	3	California	Contemporary	California - Contemporary	
0458	3	Brewpub	American	Brewpub - American	
0459	3	Italian	Contemporary	Italian - Contemporary	
0460	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0461	3	Seafood	Steakhouse	Seafood - Steakhouse	
0462	3	Steakhouse	American	Steakhouse - American	
0463	3	American	Mediterranean	American - Mediterranean	
0469	3	American	Italian	American - Italian	
0470	3	Indian	Vegetarian	Indian - Vegetarian	
0472	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0476	3	Irish	Pub	Irish - Pub	
0479	3	Japanese	Sushi	Japanese - Sushi	
0480	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0481	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0482	3	Mediterranean	Middle Eastern	Mediterranean - Middle Eastern	
0483	3	American	International	American - International	
0490	3	American	Bistro	American - Bistro	
0494	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0495	3	Steakhouse	Burgers	Steakhouse - Burgers	
0496	3	Philly Steak Sandwiches	Hoagies	Philly Steak Sandwiches - Hoagies	
0497	3	Pizza	Italian	Pizza - Italian	
0499	3	Thai	Sushi	Thai - Sushi	
0500	3	French	New American	French - New American	
0504	3	American	Organic	American - Organic	
0510	3	Contemporary	Southern	Contemporary - Southern	
0515	3	Barbecue	American	Barbecue - American	
0516	3	French	Southern	French - Southern	
0520	3	French	Bakery	French - Bakery	
0522	3	American	Bakery	American - Bakery	
0525	3	American	Tex-Mex	American - Tex-Mex	
0526	3	Cajun	Seafood	Cajun - Seafood	
0531	3	Steakhouse	Seafood	Steakhouse - Seafood	
0532	3	Italian	Pizza	Italian - Pizza	
0533	3	Italian	Contemporary	Italian - Contemporary	
0539	3	French	Bakery	French - Bakery	
0542	3	Italian	Pizza	Italian - Pizza	
0546	3	Barbecue	Mexican	Barbecue - Mexican	
0548	3	Bakery	Café	Bakery - Café	
0549	3	American	Southern	American - Southern	
0552	3	French	Bistro	French - Bistro	
0553	3	Cajun	Seafood	Cajun - Seafood	
0555	3	American	Grill	American - Grill	
0557	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0558	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0559	3	Thai	Chinese	Thai - Chinese	
0561	3	American Regional	Contemporary	American Regional - Contemporary	
0564	3	American	Sushi	American - Sushi	
0567	3	Pizza	Italian	Pizza - Italian	
0575	3	American	Steakhouse	American - Steakhouse	
0578	3	Pizza	Italian	Pizza - Italian	
0579	3	American	Bistro	American - Bistro	
0580	3	Breakfast	Deli	Breakfast - Deli	
0581	3	French	Contemporary	French - Contemporary	
0584	3	Seafood	Sushi	Seafood - Sushi	
0587	3	Steakhouse	Wine Bar	Steakhouse - Wine Bar	
0590	3	Steakhouse	Seafood	Steakhouse - Seafood	
0591	3	Italian	Pizza	Italian - Pizza	
0592	3	Pizza	Italian	Pizza - Italian	
0594	3	Vietnamese	Noodles	Vietnamese - Noodles	
0601	3	Austrian	Italian	Austrian - Italian	
0603	3	Caribbean	Latin American	Caribbean - Latin American	
0604	3	Caribbean	Cuban	Caribbean - Cuban	
0608	3	Bakery	European	Bakery - European	
0609	3	Japanese	Sushi	Japanese - Sushi	
0612	3	Contemporary	American	Contemporary - American	
0622	3	Coffeehouse	American	Coffeehouse - American	
0628	3	Bakery	Bagels	Bakery - Bagels	
0637	3	Desserts	Confectionary	Desserts - Confectionary	
0639	3	Barbecue	Breakfast	Barbecue - Breakfast	
0647	3	Mexican	New Mexican	Mexican - New Mexican	
0653	3	American	Burgers	American - Burgers	
0657	3	Tex-Mex	Taqueria	Tex-Mex - Taqueria	
0658	3	Contemporary	Wine Bar	Contemporary - Wine Bar	
0660	3	Contemporary	American	Contemporary - American	
0665	3	Seafood	Steakhouse	Seafood - Steakhouse	
0670	3	Contemporary	Small Plates	Contemporary - Small Plates	
0676	3	American	Breakfast	American - Breakfast	
0679	3	Pacific Northwest	Sushi	Pacific Northwest - Sushi	
0681	3	Sandwiches	Asian	Sandwiches - Asian	
0685	3	American	Steakhouse	American - Steakhouse	
0686	3	American Regional	Contemporary	American Regional - Contemporary	
0687	3	Mexican	Burritos	Mexican - Burritos	
0688	3	Steakhouse	Wine Bar	Steakhouse - Wine Bar	
0690	3	American	Wine Bar	American - Wine Bar	
0694	3	Chinese	Szechuan	Chinese - Szechuan	
0698	3	Steakhouse	Seafood	Steakhouse - Seafood	
0700	3	Japanese	Sushi	Japanese - Sushi	
0704	3	French	Contemporary	French - Contemporary	
0706	3	French	Mediterranean	French - Mediterranean	
0708	3	Seafood	Steakhouse	Seafood - Steakhouse	
0711	3	Italian	Modern American	Italian - Modern American	
0712	3	Southwestern	American	Southwestern - American	
0713	3	American	Southwestern	American - Southwestern	
0717	3	Tapas	Small Plates	Tapas - Small Plates	
0718	3	Israeli	Middle Eastern	Israeli - Middle Eastern	
0721	3	California	Steakhouse	California - Steakhouse	
0726	3	French	Eclectic	French - Eclectic	
0729	3	Mediterranean	Seafood	Mediterranean - Seafood	
0731	3	Diner	American	Diner - American	
0737	3	Café	Healthy	Café - Healthy	
0742	3	Sushi	Japanese	Sushi - Japanese	
0745	3	Deli	Italian	Deli - Italian	
0746	3	Mexican	Bar	Mexican - Bar	
0747	3	French	Café	French - Café	
0750	3	Korean	Barbecue	Korean - Barbecue	
0751	3	Japanese	Sushi	Japanese - Sushi	
0757	3	Healthy	Organic	Healthy - Organic	
0758	3	French	Desserts	French - Desserts	
0760	3	California	Mediterranean	California - Mediterranean	
0762	3	Italian	Pizza	Italian - Pizza	
0765	3	Asian	Fusion	Asian - Fusion	
0767	3	Mediterranean	Eclectic	Mediterranean - Eclectic	
0770	3	Ice Cream	Frozen Yogurt	Ice Cream - Frozen Yogurt	
0773	3	Japanese	Sushi	Japanese - Sushi	
0774	3	Korean	Barbecue	Korean - Barbecue	
0776	3	Barbecue	Brewpub	Barbecue - Brewpub	
0778	3	Mexican	Breakfast	Mexican - Breakfast	
0779	3	Japanese	Sushi	Japanese - Sushi	
0780	3	Vietnamese	Southeast Asian	Vietnamese - Southeast Asian	
0782	3	Vegetarian	California	Vegetarian - California	
0783	3	American	Breakfast	American - Breakfast	
0787	3	Mexican	Breakfast	Mexican - Breakfast	
0789	3	Korean	Barbecue	Korean - Barbecue	
0792	3	American	Eclectic	American - Eclectic	
0796	3	Thai	Asian	Thai - Asian	
0799	3	Coffee Shop	Breakfast	Coffee Shop - Breakfast	
0801	3	Italian	California	Italian - California	
0806	3	Fusion	Eclectic	Fusion - Eclectic	
0810	3	Contemporary	Bistro	Contemporary - Bistro	
0814	3	Diner	Italian	Diner - Italian	
0822	3	Café	Breakfast	Café - Breakfast	
0824	3	Italian	International	Italian - International	
0826	3	California	French	California - French	
0828	3	Café	Bakery	Café - Bakery	
0831	3	Italian	Small Plates	Italian - Small Plates	
0834	3	American	Healthy	American - Healthy	
0838	3	Brazilian	Seafood	Brazilian - Seafood	
0841	3	Steakhouse	Mexican	Steakhouse - Mexican	
0849	3	Contemporary	Coffee Shop	Contemporary - Coffee Shop	
0850	3	Deli	Sandwiches	Deli - Sandwiches	
0852	3	Cajun	Soul Food	Cajun - Soul Food	
0853	3	Afghan	Middle Eastern	Afghan - Middle Eastern	
0854	3	Coffee Shop	Pancakes	Coffee Shop - Pancakes	
0855	3	Pizza	Italian	Pizza - Italian	
0856	3	Brazilian	Steakhouse	Brazilian - Steakhouse	
0857	3	New World	Caribbean	New World - Caribbean	
0858	3	French	Contemporary	French - Contemporary	
0862	3	Japanese	Sushi	Japanese - Sushi	
0866	3	Latin American	Contemporary	Latin American - Contemporary	
0877	3	Bagels	Deli	Bagels - Deli	
0878	3	Italian	Contemporary	Italian - Contemporary	
0880	3	Hawaii Regional	Fusion	Hawaii Regional - Fusion	
0883	3	Bakery	Sandwiches	Bakery - Sandwiches	
0884	3	Pizza	Italian	Pizza - Italian	
0887	3	Italian	Steakhouse	Italian - Steakhouse	
0889	3	American	Burgers	American - Burgers	
0893	3	Southern	Breakfast	Southern - Breakfast	
0896	3	Eclectic	Small Plates	Eclectic - Small Plates	
0900	3	Japanese	Sushi	Japanese - Sushi	
0901	3	American	Mediterranean	American - Mediterranean	
0902	3	French	Bistro	French - Bistro	
0905	3	Pizza	Italian	Pizza - Italian	
0906	3	Indian	Vegetarian	Indian - Vegetarian	
0908	3	Pan-Asian	Noodles	Pan-Asian - Noodles	
0910	3	Indian	Vegetarian	Indian - Vegetarian	
0915	3	Bakery	Café	Bakery - Café	
0918	3	American	Eclectic	American - Eclectic	
0930	3	Steakhouse	Seafood	Steakhouse - Seafood	
0931	3	Southern	Contemporary	Southern - Contemporary	
0932	3	Burgers	Bar	Burgers - Bar	
0933	3	American	Grill	American - Grill	
0940	3	Creole	Sandwiches	Creole - Sandwiches	
0941	3	Italian	Creole	Italian - Creole	
0942	3	Italian	Creole	Italian - Creole	
0944	3	Italian	Creole	Italian - Creole	
0945	3	Creole	Seafood	Creole - Seafood	
0946	3	Lebanese	Middle Eastern	Lebanese - Middle Eastern	
0947	3	Italian	Contemporary	Italian - Contemporary	
0948	3	Sandwiches	Burgers	Sandwiches - Burgers	
0954	3	Mediterranean	Bistro	Mediterranean - Bistro	
0955	3	Barbecue	Ribs	Barbecue - Ribs	
0956	3	Brewpub	American	Brewpub - American	
0957	3	Café	Indian	Café - Indian	
0960	3	Tex-Mex	South American	Tex-Mex - South American	
0961	3	Café	American	Café - American	
0962	3	Italian	Pizza	Italian - Pizza	
0963	3	Wine Bar	Italian	Wine Bar - Italian	
0965	3	Burritos	Sandwiches	Burritos - Sandwiches	
0966	3	Burritos	Sandwiches	Burritos - Sandwiches	
0967	3	Brasserie	French	Brasserie - French	
0970	3	Eclectic	Small Plates	Eclectic - Small Plates	
0971	3	Seafood	Barbecue	Seafood - Barbecue	
0973	3	Italian	American	Italian - American	
0974	3	American	Seafood	American - Seafood	
0978	3	American	Soul Food	American - Soul Food	
0979	3	American	Bar	American - Bar	
0984	3	Armenian	Middle Eastern	Armenian - Middle Eastern	
0986	3	Greek	Armenian	Greek - Armenian	
0987	3	American	Mexican	American - Mexican	
0991	3	Contemporary	American Regional	Contemporary - American Regional	
0992	3	Coffee Shop	Breakfast	Coffee Shop - Breakfast	
0994	3	American	Sandwiches	American - Sandwiches	
0998	3	Ice Cream	Sandwiches	Ice Cream - Sandwiches	
0999	3	Mexican	Burrito	Mexican - Burrito	
1000	3	California	Italian	California - Italian	
1004	3	American	Italian	American - Italian	
1006	3	Deli	Sandwiches	Deli - Sandwiches	
1009	3	Japanese	Steakhouse	Japanese - Steakhouse	
1010	3	Steakhouse	Latin American	Steakhouse - Latin American	
1013	3	Steakhouse	American	Steakhouse - American	
1015	3	Seafood	Raw Bar	Seafood - Raw Bar	
1018	3	Japanese	Sushi	Japanese - Sushi	
1020	3	Mexican	New Mexican	Mexican - New Mexican	
1027	3	Asian	Sushi	Asian - Sushi	
1028	3	Mexican	Contemporary	Mexican - Contemporary	
1029	3	Mexican	Seafood	Mexican - Seafood	
1033	3	American	Barbecue	American - Barbecue	
1036	3	Middle Eastern	Lebanese	Middle Eastern - Lebanese	
1039	3	Barbecue	Sandwiches	Barbecue - Sandwiches	
1042	3	Ice Cream	Bakery	Ice Cream - Bakery	
1043	3	Eclectic	Bistro	Eclectic - Bistro	
1044	3	French	Bistro	French - Bistro	
1045	3	Seafood	Steakhouse	Seafood - Steakhouse	
1047	3	American	Bistro	American - Bistro	
1048	3	Irish	Pub	Irish - Pub	
1053	3	Pub	Irish	Pub - Irish	
1055	3	Steakhouse	Seafood	Steakhouse - Seafood	
1056	3	Steakhouse	American	Steakhouse - American	
1057	3	American	Mediterranean	American - Mediterranean	
1059	3	Cajun	Southern	Cajun - Southern	
1060	3	Scandinavian	Breakfast	Scandinavian - Breakfast	
1064	3	New American	French	New American - French	
1066	3	Steakhouse	Seafood	Steakhouse - Seafood	
1074	3	Burgers	American	Burgers - American	
1076	3	Italian	Pizza	Italian - Pizza	
1077	3	Southern	Vegetarian	Southern - Vegetarian	
1080	3	Southwestern	Contemporary	Southwestern - Contemporary	
1081	3	Mexican	Polynesian	Mexican - Polynesian	
1083	3	Japanese	Sushi	Japanese - Sushi	
1086	3	Seafood	American	Seafood - American	
1087	3	Italian	Pizza	Italian - Pizza	
1090	3	Korean	Barbecue	Korean - Barbecue	
1092	3	British	Pub	British - Pub	
1099	3	Hawaii Regional	Fusion	Hawaii Regional - Fusion	
1100	3	American	Continental	American - Continental	
1104	3	American	Seafood	American - Seafood	
1109	3	Bakery	Café	Bakery - Café	
1110	3	American	French	American - French	
1111	3	Southern	American	Southern - American	
1117	3	American	Noodles	American - Noodles	
1118	3	American	Italian	American - Italian	
1119	3	Vietnamese	Noodles	Vietnamese - Noodles	
1122	3	Japanese	Sushi	Japanese - Sushi	
1123	3	Chicken	Guatemalan	Chicken - Guatemalan	
1127	3	Turkish	Mediterranean	Turkish - Mediterranean	
1131	3	Japanese	Sushi	Japanese - Sushi	
1133	3	American	Italian	American - Italian	
1136	3	Contemporary	Fusion	Contemporary - Fusion	
1139	3	American	Noodles	American - Noodles	
1144	3	Southwestern	Tex-Mex	Southwestern - Tex-Mex	
1146	3	Sushi	Japanese	Sushi - Japanese	
1147	3	Seafood	American	Seafood - American	
1148	3	French	Provençal	French - Provençal	
1149	3	New American	Small Plates	New American - Small Plates	
1151	3	Pub	Burgers	Pub - Burgers	
1153	3	Contemporary	Organic	Contemporary - Organic	
1155	3	French	Bistro	French - Bistro	
1161	3	Mexican	Southwestern	Mexican - Southwestern	
1164	3	California	Contemporary	California - Contemporary	
1165	3	Seafood	California	Seafood - California	
1167	3	Indian	Vegetarian	Indian - Vegetarian	
1170	3	Italian	Café	Italian - Café	
1173	3	Italian	Pizza	Italian - Pizza	
1176	3	California	Pan-Asian	California - Pan-Asian	
1178	3	Japanese	Sushi	Japanese - Sushi	
1180	3	Italian	Mediterranean	Italian - Mediterranean	
1182	3	Continental	California	Continental - California	
1183	3	American	Pizza	American - Pizza	
1185	3	Mexican	Latin American	Mexican - Latin American	
1188	3	Sushi	Japanese	Sushi - Japanese	
1192	3	Mexican	Small Plates	Mexican - Small Plates	
1195	3	Singaporean	Southeast Asian	Singaporean - Southeast Asian	
1200	3	Mediterranean	California	Mediterranean - California	
1201	3	American	Small Plates	American - Small Plates	
1203	3	Italian	European	Italian - European	
1206	3	California	European	California - European	
1207	3	American	Contemporary	American - Contemporary	
1211	3	Hawaiian	Barbecue	Hawaiian - Barbecue	
1213	3	American Regional	New American	American Regional - New American	
1214	3	Mexican	Taqueria	Mexican - Taqueria	
1216	3	Café	California	Café - California	
1217	3	Cajun	Creole	Cajun - Creole	
1220	3	Modern American	Small Plates	Modern American - Small Plates	
1221	3	American	Burgers	American - Burgers	
1222	3	Brewpub	American	Brewpub - American	
1226	3	California	Pizza	California - Pizza	
1227	3	California	Contemporary	California - Contemporary	
1230	3	Peruvian	Ice Cream	Peruvian - Ice Cream	
1232	3	American	Mediterranean	American - Mediterranean	
1233	3	French	Bakery	French - Bakery	
1240	3	Steakhouse	Seafood	Steakhouse - Seafood	
1241	3	Seafood	Steakhouse	Seafood - Steakhouse	
1242	3	Vietnamese	French	Vietnamese - French	
1244	3	Kosher	Vegetarian	Kosher - Vegetarian	
1245	3	Coffeehouse	Bakery	Coffeehouse - Bakery	
1246	3	Bistro	American	Bistro - American	
1258	3	Gourmet Bar Food	Desserts	Gourmet Bar Food - Desserts	
1259	3	French	Bistro	French - Bistro	
1260	3	French	Bistro	French - Bistro	
1261	3	Sushi	Japanese	Sushi - Japanese	
1263	3	American Regional	Mediterranean	American Regional - Mediterranean	
1274	3	American	Italian	American - Italian	
1275	3	Café	Bakery	Café - Bakery	
1279	3	Moroccan	Middle Eastern	Moroccan - Middle Eastern	
1280	3	Chicken	Guatemalan	Chicken - Guatemalan	
1287	3	Spanish	Tapas	Spanish - Tapas	
1290	3	Vegetarian	Pan-Asian	Vegetarian - Pan-Asian	
1291	3	Southwestern	Tex-Mex	Southwestern - Tex-Mex	
1292	3	Diner	Breakfast	Diner - Breakfast	
1294	3	Bakery	Café	Bakery - Café	
1295	3	Korean	Japanese	Korean - Japanese	
1297	3	Barbecue	American	Barbecue - American	
1298	3	American	Southern	American - Southern	
1299	3	Eclectic	Vegetarian	Eclectic - Vegetarian	
1302	3	French	Italian	French - Italian	
1305	3	American	Ice Cream	American - Ice Cream	
1307	3	Eclectic	Global	Eclectic - Global	
1308	3	Creole	Cajun	Creole - Cajun	
1312	3	Burgers	American	Burgers - American	
1313	3	Contemporary	French	Contemporary - French	
1316	3	Italian	Pizza	Italian - Pizza	
1317	3	Southwestern	Contemporary	Southwestern - Contemporary	
1318	3	Japanese	Sushi	Japanese - Sushi	
1319	3	French	Bistro	French - Bistro	
1320	3	English	Indian	English - Indian	
1323	3	Pizza	Italian	Pizza - Italian	
1330	3	Italian	Pizza	Italian - Pizza	
1333	3	Eclectic	American	Eclectic - American	
1335	3	German	American	German - American	
1337	3	Italian	Mediterranean	Italian - Mediterranean	
1341	3	Greek	Deli	Greek - Deli	
1343	3	Mediterranean	Small Plates	Mediterranean - Small Plates	
1347	3	American	Wine Bar	American - Wine Bar	
1349	3	Italian	Bistro	Italian - Bistro	
1352	3	Pan-Asian	Contemporary	Pan-Asian - Contemporary	
1355	3	Burgers	American	Burgers - American	
1356	3	Bistro	Mediterranean	Bistro - Mediterranean	
1360	3	Italian	Pizza	Italian - Pizza	
1364	3	Tex-Mex	Taqueria	Tex-Mex - Taqueria	
1365	3	Contemporary	Burgers	Contemporary - Burgers	
1368	3	South American	Steakhouse	South American - Steakhouse	
1369	3	Contemporary	Continental	Contemporary - Continental	
1370	3	Japanese	Sushi	Japanese - Sushi	
1372	3	Brewpub	Eclectic	Brewpub - Eclectic	
1378	3	Chinese	Dim Sum	Chinese - Dim Sum	
1379	3	American	Burgers	American - Burgers	
1382	3	Pizza	American	Pizza - American	
1384	3	Japanese	Sushi	Japanese - Sushi	
1387	3	Diner	American	Diner - American	
1389	3	Bakery	Café	Bakery - Café	
1390	3	French	Small Plates	French - Small Plates	
1395	3	Japanese	Sushi	Japanese - Sushi	
1396	3	Japanese	Sushi	Japanese - Sushi	
1399	3	Southwestern	American	Southwestern - American	
1403	3	Steakhouse	Seafood	Steakhouse - Seafood	
1409	3	California	Sushi	California - Sushi	
1411	3	Persian	Middle Eastern	Persian - Middle Eastern	
1422	3	American	Bar	American - Bar	
1423	3	Mediterranean	Bar	Mediterranean - Bar	
1424	3	Jewish	Deli	Jewish - Deli	
1428	3	French	California	French - California	
1430	3	Sushi	Japanese	Sushi - Japanese	
1434	3	American	California	American - California	
1435	3	French	Bistro	French - Bistro	
1437	3	American	Steakhouse	American - Steakhouse	
1439	3	Seafood	Raw Bar	Seafood - Raw Bar	
1446	3	Japanese	Sushi	Japanese - Sushi	
1451	3	Mexican	Southwestern	Mexican - Southwestern	
1455	3	American	Steakhouse	American - Steakhouse	
1456	3	Middle Eastern	Healthy	Middle Eastern - Healthy	
1459	3	American	Diner	American - Diner	
1460	3	Cuban	Chicken	Cuban - Chicken	
1467	3	Hawaii Regional	Modern American	Hawaii Regional - Modern American	
1469	3	Juice Bar	Healthy	Juice Bar - Healthy	
1471	3	Continental	French	Continental - French	
1475	3	French	Bistro	French - Bistro	
1483	3	Italian	Creole	Italian - Creole	
1485	3	Japanese	Sushi	Japanese - Sushi	
1488	3	Chinese	Bakery	Chinese - Bakery	
1489	3	Chinese	Noodles	Chinese - Noodles	
1491	3	American	Pancakes	American - Pancakes	
1494	3	French	Contemporary	French - Contemporary	
1495	3	Italian	Pizza	Italian - Pizza	
1497	3	Italian	Steakhouse	Italian - Steakhouse	
1499	3	Fusion	Contemporary	Fusion - Contemporary	
1501	3	French	Contemporary	French - Contemporary	
1509	3	American	Breakfast	American - Breakfast	
1513	3	Japanese	Sushi	Japanese - Sushi	
1514	3	California	Mexican	California - Mexican	
1517	3	Café	Bakery	Café - Bakery	
1524	3	American	Bistro	American - Bistro	
1527	3	Italian	Pizza	Italian - Pizza	
1531	3	Italian	Pizza	Italian - Pizza	
1536	3	Seafood	Mediterranean	Seafood - Mediterranean	
1538	3	American	Southern	American - Southern	
1539	3	Chicken	Guatemalan	Chicken - Guatemalan	
1540	3	Italian	Contemporary	Italian - Contemporary	
1544	3	Cuban	Tex-Mex	Cuban - Tex-Mex	
1550	3	Thai	Japanese	Thai - Japanese	
1551	3	Sushi	Japanese	Sushi - Japanese	
1553	3	Pacific Northwest	Modern American	Pacific Northwest - Modern American	
1554	3	Ice Cream	Italian	Ice Cream - Italian	
1555	3	Breakfast	American	Breakfast - American	
1560	3	Italian	Small Plates	Italian - Small Plates	
1561	3	Bakery	Sandwiches	Bakery - Sandwiches	
1563	3	California	French	California - French	
1564	3	Japanese	Sushi	Japanese - Sushi	
1567	3	Pizza	California	Pizza - California	
1570	3	Brazilian	Mediterranean	Brazilian - Mediterranean	
1572	3	Japanese	Sushi	Japanese - Sushi	
1576	3	Pizza	Italian	Pizza - Italian	
1577	3	Bakery	Desserts	Bakery - Desserts	
1579	3	American	Bistro	American - Bistro	
1580	3	California	Contemporary	California - Contemporary	
1583	3	Japanese	Sushi	Japanese - Sushi	
1584	3	Irish	Pub	Irish - Pub	
1585	3	American	Breakfast	American - Breakfast	
1587	3	Steakhouse	Breakfast	Steakhouse - Breakfast	
1588	3	California	Contemporary	California - Contemporary	
1589	3	American	Contemporary	American - Contemporary	
1592	3	Sushi	Japanese	Sushi - Japanese	
1593	3	American	Asian	American - Asian	
1595	3	Southern	Eclectic	Southern - Eclectic	
1596	3	American	Bar Food	American - Bar Food	
1599	3	Seafood	Raw Bar	Seafood - Raw Bar	
1600	3	Pizza	Italian	Pizza - Italian	
1605	3	Contemporary	Eclectic	Contemporary - Eclectic	
1606	3	Burgers	Bar	Burgers - Bar	
1607	3	Mediterranean	Contemporary	Mediterranean - Contemporary	
1608	3	Contemporary	American	Contemporary - American	
1609	3	French	California	French - California	
1611	3	American	Sandwiches	American - Sandwiches	
1612	3	Irish	Pub	Irish - Pub	
1617	3	Bakery	Coffee Shop	Bakery - Coffee Shop	
1619	3	Hawaii Regional	Seafood	Hawaii Regional - Seafood	
1627	3	Indian	Fusion	Indian - Fusion	
1630	3	Italian	Pizza	Italian - Pizza	
1631	3	Bagels	Sandwiches	Bagels - Sandwiches	
1637	3	Italian	American	Italian - American	
1639	3	American	French	American - French	
1642	3	Japanese	Brewpub	Japanese - Brewpub	
1651	3	American	Eclectic	American - Eclectic	
1652	3	American	Eclectic	American - Eclectic	
1654	3	Mexican	Taqueria	Mexican - Taqueria	
1656	3	Eastern European	Polish	Eastern European - Polish	
1657	3	Italian	Spanish	Italian - Spanish	
1658	3	African	Caribbean	African - Caribbean	
1661	3	French	Japanese	French - Japanese	
1668	3	Italian	Contemporary	Italian - Contemporary	
1671	3	Diner	Breakfast	Diner - Breakfast	
1672	3	Deli	Jewish	Deli - Jewish	
1677	3	Steakhouse	Brazilian	Steakhouse - Brazilian	
1679	3	Japanese	Sushi	Japanese - Sushi	
1681	3	American	Southern	American - Southern	
1687	3	Mexican	South American	Mexican - South American	
1692	3	Contemporary	Southwestern	Contemporary - Southwestern	
1693	3	Italian	Contemporary	Italian - Contemporary	
1694	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1695	3	American	Eclectic	American - Eclectic	
1700	3	Tex-Mex	Taqueria	Tex-Mex - Taqueria	
1708	3	Pub	Irish	Pub - Irish	
1709	3	Pub	Irish	Pub - Irish	
1713	3	Chinese	Healthy	Chinese - Healthy	
1719	3	American	Contemporary	American - Contemporary	
1723	3	Japanese	Noodles	Japanese - Noodles	
1735	3	Café	American	Café - American	
1740	3	California	European	California - European	
1742	3	Italian	Mediterranean	Italian - Mediterranean	
1743	3	Brewpub	American	Brewpub - American	
1746	3	Cuban	Nuevo Latino	Cuban - Nuevo Latino	
1747	3	Seafood	Steakhouse	Seafood - Steakhouse	
1750	3	Italian	Steakhouse	Italian - Steakhouse	
1756	3	Hawaii Regional	Asian	Hawaii Regional - Asian	
1758	3	Italian	Contemporary	Italian - Contemporary	
1761	3	Japanese	Sushi	Japanese - Sushi	
1763	3	French	Mediterranean	French - Mediterranean	
1765	3	American	Contemporary	American - Contemporary	
1768	3	French	Contemporary	French - Contemporary	
1770	3	Lebanese	Middle Eastern	Lebanese - Middle Eastern	
1773	3	Seafood	Contemporary	Seafood - Contemporary	
1774	3	Contemporary	Eclectic	Contemporary - Eclectic	
1777	3	Pan-Asian	Thai	Pan-Asian - Thai	
1781	3	Mexican	Salvadoran	Mexican - Salvadoran	
1784	3	American	Bar	American - Bar	
1787	3	New American	Small Plates	New American - Small Plates	
1791	3	Bakery	Café	Bakery - Café	
1794	3	American	Bar	American - Bar	
1798	3	Thai	Japanese	Thai - Japanese	
1799	3	American	Contemporary	American - Contemporary	
1804	3	Crêpes	French	Crêpes - French	
1806	3	American	Bar	American - Bar	
1807	3	Mediterranean	Contemporary	Mediterranean - Contemporary	
1808	3	Café	Breakfast	Café - Breakfast	
1811	3	Chinese	Dim Sum	Chinese - Dim Sum	
1814	3	French	Bakery	French - Bakery	
1815	3	French	Bakery	French - Bakery	
1818	3	Italian	Small Plates	Italian - Small Plates	
1821	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
1822	3	Seafood	Sushi	Seafood - Sushi	
1823	3	Indian	Vegetarian	Indian - Vegetarian	
1826	3	American	Pacific Rim	American - Pacific Rim	
1827	3	Thai	Chinese	Thai - Chinese	
1829	3	French	Northwest	French - Northwest	
1832	3	Japanese	Sushi	Japanese - Sushi	
1838	3	Japanese	Sushi	Japanese - Sushi	
1843	3	French	California	French - California	
1846	3	Pizza	Italian	Pizza - Italian	
1848	3	French	California	French - California	
1851	3	California	Asian	California - Asian	
1854	3	American	Seafood	American - Seafood	
1855	3	English	Pub	English - Pub	
1857	3	Sushi	Japanese	Sushi - Japanese	
1859	3	Mexican	Taqueria	Mexican - Taqueria	
1864	3	Indian	Vegetarian	Indian - Vegetarian	
1868	3	American	Steakhouse	American - Steakhouse	
1870	3	Steakhouse	Modern American	Steakhouse - Modern American	
1873	3	Pizza	Italian	Pizza - Italian	
1876	3	Creole	Contemporary	Creole - Contemporary	
1880	3	Bakery	Italian	Bakery - Italian	
1881	3	Tex-Mex	Southwestern	Tex-Mex - Southwestern	
1884	3	American	Café	American - Café	
1885	3	American	Bakery	American - Bakery	
1892	3	Breakfast	American	Breakfast - American	
1897	3	Eclectic	American	Eclectic - American	
1903	3	Vietnamese	Sandwiches	Vietnamese - Sandwiches	
1904	3	Eclectic	Wine Bar	Eclectic - Wine Bar	
1905	3	Northwest	Latin American	Northwest - Latin American	
1906	3	American	Breakfast	American - Breakfast	
1907	3	Wine Bar	Pacific Northwest	Wine Bar - Pacific Northwest	
1908	3	Healthy	Eclectic	Healthy - Eclectic	
1920	3	Tex-Mex	Breakfast	Tex-Mex - Breakfast	
1923	3	Sandwiches	Café	Sandwiches - Café	
1925	3	Pacific Northwest	Seafood	Pacific Northwest - Seafood	
1926	3	Southern	Soul Food	Southern - Soul Food	
1928	3	Italian	Pizza	Italian - Pizza	
