restaurant	restaurantica	cuisine			
0762	1	Barbecue			
0763	1	Other			
0764	1	Pub Food			
0765	1	Other			
0766	1	Other			
0767	1	Italian			
0769	1	Coffee			
0770	1	Mexican			
0771	1	Cafe			
0772	1	Italian			
0774	1	Cafe			
0775	1	Other			
0776	1	Other			
0777	1	Mexican			
0778	1	Barbecue			
0779	1	Cafe			
0782	1	Other			
0783	1	Other			
0785	1	Pub Food			
0786	1	Cafe			
0787	1	Bar &amp; Grill			
0788	1	Mexican			
0789	1	Bar &amp; Grill			
0790	1	Mexican			
0792	1	American (Traditional)			
0793	1	Other			
0794	1	Cafe			
0795	1	Other			
0796	1	Other			
0798	1	Other			
0799	1	Family			
0800	1	Cafe			
0801	1	Family			
0802	1	Other			
0804	1	Other			
0805	1	Other			
0806	1	Mexican			
0807	1	Other			
0808	1	Other			
0810	1	Bar &amp; Grill			
0811	1	Italian			
0813	1	Pub Food			
0814	1	Seafood			
0815	1	Bar &amp; Grill			
0816	1	Seafood			
0817	1	American (Traditional)			
0818	1	Other			
0819	1	Other			
0820	1	Cafe			
0821	1	Other			
0822	1	Other			
0824	1	Barbecue			
0826	1	Steakhouse			
0827	1	Cafe			
0828	1	Other			
0829	1	American (Traditional)			
0830	1	American (Traditional)			
0831	1	Mexican			
0832	1	American (Traditional)			
0836	1	Steakhouse			
0837	1	Other			
0838	1	Other			
0840	1	Other			
0841	1	Other			
0843	1	Other			
0844	1	Deli			
0846	1	Family			
0847	1	Mexican			
0848	1	Cafe			
0849	1	Other			
0850	1	Barbecue			
0851	1	Barbecue			
0852	1	Other			
0853	1	American (Traditional)			
0854	1	Mexican			
0855	1	Other			
0856	1	Cafe			
0857	1	Buffet			
0858	1	Mexican			
0859	1	Other			
0860	1	Mexican			
0861	1	Cafe			
0863	1	Other			
0864	1	Bar &amp; Grill			
0865	1	Deli			
0866	1	Other			
0867	1	Italian			
0868	1	Cafe			
0869	1	American (Traditional)			
0871	1	Other			
0872	1	Cafe			
0874	1	Other			
0875	1	American (Traditional)			
0876	1	Mexican			
0877	1	Cafe			
0878	1	Barbecue			
0879	1	Other			
0880	1	Other			
0881	1	Cafe			
0882	1	Seafood			
0883	1	Italian			
0884	1	Mexican			
0885	1	American (Traditional)			
0887	1	Other			
0888	1	Steakhouse			
0889	1	Cafe			
0890	1	Mexican			
0891	1	Other			
0892	1	Other			
0893	1	European			
0894	1	Cafe			
0895	1	Other			
0896	1	Other			
0897	1	Other			
0898	1	Italian			
0899	1	Mexican			
0900	1	Other			
0901	1	Other			
0902	1	Bar &amp; Grill			
0903	1	Mexican			
0904	1	Seafood			
0905	1	Other			
0906	1	American (Traditional)			
0907	1	Other			
0908	1	Pub Food			
0909	1	Cafe			
0911	1	Other			
0912	1	Other			
0913	1	Bar &amp; Grill			
0915	1	Cafe			
0916	1	Pub Food			
0917	1	Steakhouse			
0918	1	Other			
0919	1	Cafe			
0922	1	Pub Food			
0923	1	Other			
0924	1	Other			
0925	1	Mexican			
0926	1	Other			
0927	1	Family			
0928	1	Bakery			
0929	1	Family			
0930	1	Other			
0931	1	Mexican			
0932	1	Other			
0933	1	Steakhouse			
0934	1	Other			
0935	1	Pub Food			
0936	1	Thai			
0937	1	Other			
0938	1	Other			
0940	1	American (Traditional)			
0942	1	American (Traditional)			
0943	1	Bar &amp; Grill			
0944	1	Cafe			
0945	1	Cafe			
0946	1	Barbecue			
0947	1	European			
0948	1	Other			
0949	1	Mexican			
0950	1	Cafe			
0951	1	Bar &amp; Grill			
0954	1	Restaurant and Bar			
0955	1	Other			
0956	1	Other			
0957	1	Italian			
0958	1	Italian			
0959	1	Italian			
0961	1	Steakhouse			
0962	1	Middle Eastern			
0963	1	Steakhouse			
0964	1	Mexican			
0965	1	Cafe			
0966	1	Mexican			
0967	1	Cafe			
0968	1	American (Traditional)			
0969	1	Cafe			
0970	1	Cafe			
0971	1	Other			
0972	1	Mexican			
0973	1	Coffee			
0974	1	Other			
0976	1	Thai			
0977	1	Other			
0978	1	Italian			
0979	1	Cafe			
0980	1	Other			
0981	1	Mexican			
0982	1	Italian			
0984	1	Deli			
0985	1	Other			
0986	1	Pub Food			
0987	1	Steakhouse			
0988	1	Cafe			
0989	1	Cafe			
0991	1	Bar &amp; Grill			
0992	1	Steakhouse			
0993	1	Pub Food			
0994	1	Other			
0995	1	Pub Food			
0996	1	Other			
0998	1	Other			
0999	1	Italian			
1000	1	Other			
1001	1	Mexican			
1002	1	Other			
1003	1	Seafood			
1005	1	Mexican			
1006	1	Other			
1007	1	Mexican			
1008	1	Barbecue			
1009	1	Italian			
1010	1	Other			
1011	1	American (Traditional)			
1012	1	Mexican			
1014	1	Mexican			
1015	1	Other			
1016	1	Italian			
1017	1	Bar &amp; Grill			
1018	1	Other			
1019	1	Other			
1020	1	Bar &amp; Grill			
1021	1	Coffee			
1022	1	Cafe			
1023	1	Bar &amp; Grill			
1024	1	Other			
1025	1	Pub Food			
1027	1	Other			
1028	1	Cafe			
1029	1	Coffee			
1030	1	Other			
1031	1	Bar &amp; Grill			
1032	1	Pub Food			
1033	1	Other			
1034	1	Mexican			
1035	1	Cafe			
1036	1	Steakhouse			
1037	1	Italian			
1038	1	Cafe			
1039	1	Steakhouse			
1040	1	Thai			
1042	1	Cafe			
1043	1	Other			
1044	1	Mexican			
1046	1	Mexican			
1047	1	Steakhouse			
1049	1	Mexican			
1050	1	Other			
1051	1	Other			
1052	1	Mexican			
1053	1	Pub Food			
1054	1	Pub Food			
1055	1	Other			
1056	1	Mexican			
1057	1	Other			
1058	1	American (Traditional)			
1059	1	Mexican			
1060	1	Other			
1061	1	Italian			
1062	1	Other			
1063	1	Other			
1064	1	Other			
1065	1	Other			
1066	1	Mexican			
1067	1	Family			
1068	1	Other			
1069	1	American (Traditional)			
1071	1	Other			
1072	1	Pub Food			
1073	1	Pub Food			
1074	1	Steakhouse			
1075	1	Mexican			
1076	1	Other			
1077	1	Mexican			
1078	1	Cafe			
1079	1	Bar &amp; Grill			
1080	1	Other			
1081	1	Other			
1082	1	Other			
1083	1	Italian			
1084	1	Bar &amp; Grill			
1085	1	Italian			
1086	1	Mexican			
1087	1	American (Traditional)			
1088	1	Other			
1089	1	Pizza			
1090	1	Other			
1091	1	Bar &amp; Grill			
1092	1	Cafe			
1093	1	Other			
1094	1	Other			
1095	1	Other			
1096	1	Other			
1097	1	Mexican			
1098	1	Mexican			
1099	1	American (Traditional)			
1100	1	Cafe			
1101	1	Steakhouse			
1102	1	Other			
1103	1	Other			
1104	1	Mexican			
1105	1	Mexican			
1106	1	Mexican			
1107	1	Other			
1108	1	Cafe			
1109	1	Mexican			
1110	1	Pub Food			
1111	1	Cafe			
1112	1	Buffet			
1113	1	Cafe			
1114	1	Italian			
1115	1	Cafe			
1116	1	Other			
1117	1	Cafe			
1118	1	Other			
1119	1	Pub Food			
1120	1	Other			
1122	1	Bar &amp; Grill			
1123	1	Other			
1124	1	Indian			
1125	1	Pub Food			
1127	1	Other			
1128	1	American (Traditional)			
1129	1	Cafe			
1130	1	Pub Food			
1131	1	Other			
1132	1	Cafe			
1133	1	Cafe			
1134	1	Other			
1135	1	Cafe			
1137	1	Bar &amp; Grill			
1138	1	Barbecue			
1139	1	Mexican			
1140	1	Steakhouse			
1141	1	Other			
1142	1	Other			
1143	1	Other			
1144	1	Mexican			
1145	1	Other			
1146	1	Cafe			
1147	1	Other			
1148	1	American (Traditional)			
1149	1	Other			
1150	1	Other			
1151	1	Mexican			
1152	1	Barbecue			
1153	1	Family			
1154	1	Steakhouse			
1155	1	Mexican			
1156	1	Mexican			
1157	1	Other			
1158	1	Other			
1159	1	Other			
1160	1	Restaurant and Bar			
1161	1	Other			
1164	1	Thai			
1165	1	Other			
1167	1	Italian			
1168	1	Other			
1169	1	Bar &amp; Grill			
1170	1	Bakery			
1172	1	Steakhouse			
1174	1	Steakhouse			
1175	1	Cafe			
1176	1	Seafood			
1178	1	Other			
1181	1	Italian			
1182	1	Other			
1183	1	Other			
1185	1	Mexican			
1186	1	Bar &amp; Grill			
1187	1	Other			
1189	1	Steakhouse			
1190	1	Cafe			
1191	1	Seafood			
1192	1	American (Traditional)			
1194	1	Other			
1195	1	Fish &amp; Chips			
1196	1	Deli			
1197	1	Steakhouse			
1199	1	Other			
1200	1	Mexican			
1202	1	Coffee			
1203	1	Italian			
1204	1	Other			
1205	1	Mexican			
1206	1	Japanese			
1208	1	Other			
1210	1	Japanese			
1212	1	Coffee			
1214	1	Bakery			
1215	1	Mexican			
1216	1	Thai			
1217	1	American (Traditional)			
1218	1	Other			
1219	1	Cafe			
1221	1	Other			
1222	1	Cafe			
1223	1	Japanese			
1224	1	Italian			
1225	1	Mexican			
1226	1	Other			
1228	1	Other			
1229	1	Mexican			
1230	1	Italian			
1232	1	Mexican			
1233	1	Thai			
1235	1	Bakery			
1236	1	Mexican			
1238	1	Cafe			
1239	1	Steakhouse			
1240	1	Steakhouse			
1241	1	Cafe			
1242	1	Mexican			
1243	1	Mexican			
1244	1	Other			
1247	1	Thai			
1248	1	Seafood			
1249	1	Other			
1250	1	Other			
1251	1	Japanese			
1252	1	Bakery			
1253	1	Other			
1254	1	Italian			
1255	1	Japanese			
1256	1	American (Traditional)			
1257	1	American (Traditional)			
1259	1	Mexican			
1260	1	Caribbean			
1261	1	Coffee			
1262	1	Seafood			
1263	1	Seafood			
1264	1	Other			
1265	1	Asian			
1266	1	Steakhouse			
1268	1	Californian			
1269	1	Other			
1270	1	Other			
1272	1	Other			
1273	1	Mediterranean			
1274	1	American (Traditional)			
1275	1	Steakhouse			
1276	1	Mexican			
1278	1	Indian			
1279	1	Mexican			
1280	1	American (Traditional)			
1281	1	Mexican			
1282	1	Other			
1283	1	Mexican			
1284	1	Deli			
1285	1	Bakery			
1286	1	Cafe			
1287	1	Mexican			
1288	1	Other			
1289	1	Bar &amp; Grill			
1290	1	Other			
1291	1	American (Traditional)			
1292	1	Italian			
1293	1	Vietnamese			
1294	1	Coffee			
1295	1	Other			
1296	1	Other			
1298	1	Other			
1299	1	Seafood			
1300	1	Japanese			
1301	1	Other			
1302	1	Italian			
1303	1	Other			
1304	1	Cafe			
1305	1	Italian			
1306	1	Organic			
1307	1	Steakhouse			
1308	1	American (Traditional)			
1310	1	Italian			
1312	1	Mexican			
1313	1	Seafood			
1314	1	Bar &amp; Grill			
1315	1	Other			
1317	1	Seafood			
1318	1	Other			
1320	1	Seafood			
1321	1	Other			
1322	1	Cafe			
1323	1	Thai			
1324	1	Barbecue			
1325	1	Japanese			
1326	1	Steakhouse			
1327	1	Cafe			
1328	1	Other			
1329	1	Seafood			
1330	1	Other			
1331	1	Other			
1333	1	Indian			
1334	1	Italian			
1335	1	Greek			
1336	1	Italian			
1337	1	Mediterranean			
1338	1	Vietnamese			
1339	1	Pub Food			
1340	1	Mexican			
1341	1	Mexican			
1342	1	Bar &amp; Grill			
1343	1	Other			
1344	1	Bakery			
1345	1	Other			
1346	1	Pub Food			
1347	1	Mexican			
1348	1	Italian			
1349	1	Other			
1350	1	Italian			
1352	1	Bar &amp; Grill			
1355	1	Bar &amp; Grill			
1356	1	Steakhouse			
1357	1	Barbecue			
1358	1	Mexican			
1359	1	Mexican			
1360	1	Tea House			
1361	1	Other			
1362	1	Mexican			
1363	1	Cafe			
1364	1	Cafe			
1365	1	American (Traditional)			
1366	1	Mexican			
1367	1	Cafe			
1368	1	Other			
1369	1	Mexican			
1371	1	Italian			
1372	1	Mexican			
1373	1	Other			
1374	1	Steakhouse			
1375	1	Asian			
1376	1	Bar &amp; Grill			
1377	1	Deli			
1378	1	Thai			
1379	1	Seafood			
1380	1	Mexican			
1382	1	Other			
1383	1	Thai			
1384	1	Mexican			
1385	1	Irish			
1386	1	Steakhouse			
1387	1	Cafe			
1388	1	Other			
1389	1	Cafe			
1390	1	Other			
1391	1	Indian			
1393	1	Middle Eastern			
1394	1	Other			
1395	1	Pub Food			
1396	1	Other			
1397	1	Mexican			
1398	1	Mexican			
1399	1	Other			
1400	1	Mexican			
1401	1	American (Traditional)			
1402	1	Cafe			
1403	1	Mediterranean			
1404	1	Other			
1405	1	Cafe			
1406	1	Cafe			
1407	1	Tea House			
1408	1	Bar &amp; Grill			
1409	1	Californian			
1410	1	American (Traditional)			
1411	1	Other			
1412	1	Mexican			
1413	1	Barbecue			
1415	1	Buffet			
1416	1	Steakhouse			
1417	1	Other			
1418	1	Other			
1419	1	Buffet			
1420	1	Other			
1421	1	Mexican			
1422	1	Cafe			
1423	1	Japanese			
1424	1	Other			
1425	1	Deli			
1427	1	Thai			
1428	1	Italian			
1429	1	Seafood			
1430	1	Mexican			
1431	1	Persian			
1432	1	Pizza			
1434	1	Other			
1435	1	Cafe			
1436	1	Other			
1437	1	Other			
1438	1	Mexican			
1441	1	Vietnamese			
1442	1	Korean			
1443	1	Seafood			
1444	1	Mexican			
1447	1	Mexican			
1448	1	Mexican			
1449	1	Mexican			
1450	1	Other			
1451	1	Seafood			
1452	1	Cafe			
1453	1	Deli			
1454	1	Bar &amp; Grill			
1455	1	Cafe			
1456	1	Italian			
1457	1	Mexican			
1458	1	Indian			
1459	1	Other			
1460	1	Polynesian/Hawaiian			
1461	1	Other			
1462	1	Mexican			
1463	1	Bar &amp; Grill			
1464	1	Pizza			
1465	1	Japanese			
1466	1	Mexican			
1467	1	Cafe			
1468	1	Thai			
1469	1	American (Traditional)			
1470	1	Coffee			
1471	1	Other			
1472	1	Japanese			
1474	1	Other			
1475	1	Other			
1476	1	Vietnamese			
1477	1	Cafe			
1478	1	Other			
1479	1	Other			
1480	1	Coffee			
1481	1	American (Traditional)			
1482	1	Mexican			
1483	1	Seafood			
1484	1	Other			
1486	1	American (Traditional)			
1488	1	Mexican			
1489	1	Cafe			
1490	1	Fast Food			
1491	1	Pub Food			
1492	1	Other			
1493	1	Thai			
1495	1	Other			
1496	1	Other			
1497	1	Italian			
1498	1	Mexican			
1499	1	Mexican			
1500	1	Italian			
1501	1	American (Traditional)			
1502	1	Steakhouse			
1503	1	Tapas / Small Plates			
1504	1	Italian			
1505	1	American (New)			
1506	1	Other			
1507	1	Other			
1508	1	Cafe			
1509	1	Cafe			
1510	1	Other			
1511	1	Italian			
1512	1	Cafe			
1513	1	Other			
1514	1	Bar &amp; Grill			
1515	1	Mexican			
1516	1	Other			
1517	1	Indian			
1518	1	Steakhouse			
1519	1	Italian			
1520	1	Japanese			
1521	1	Pub Food			
1522	1	Bar &amp; Grill			
1523	1	Other			
1524	1	Other			
1526	1	Bar &amp; Grill			
1527	1	Other			
1528	1	Other			
1529	1	Other			
1530	1	Bistro			
1531	1	Bistro			
1532	1	Bistro			
1533	1	Other			
1535	1	Mexican			
1536	1	Other			
1537	1	Other			
1538	1	Bakery			
1539	1	Other			
1540	1	Other			
1541	1	Other			
1544	1	Bistro			
1545	1	Other			
1546	1	Cafe			
1547	1	Other			
1548	1	Other			
1549	1	Cafe			
1550	1	Bar &amp; Grill			
1552	1	Pub Food			
1554	1	Indian			
1556	1	Other			
1558	1	Mexican			
1559	1	Mexican			
1560	1	Steakhouse			
1561	1	American (Traditional)			
1562	1	Other			
1563	1	Mexican			
1564	1	Pub Food			
1565	1	Other			
1566	1	Bar &amp; Grill			
1567	1	Other			
1568	1	Italian			
1569	1	Mexican			
1570	1	Japanese			
1571	1	Other			
1572	1	Steakhouse			
1574	1	Other			
1575	1	Bar &amp; Grill			
1576	1	Bakery			
1577	1	Pub Food			
1578	1	Other			
1580	1	Deli			
1581	1	Family			
1582	1	Italian			
1583	1	Other			
1584	1	Other			
1585	1	Buffet			
1586	1	Other			
1587	1	Other			
1589	1	Other			
1591	1	Cafe			
1592	1	Other			
1593	1	Other			
1594	1	Coffee			
1595	1	Other			
1596	1	Japanese			
1597	1	Other			
1598	1	Other			
1599	1	Cafe			
1600	1	Mexican			
1602	1	Other			
1603	1	Italian			
1606	1	Mexican			
1607	1	Other			
1609	1	Barbecue			
1610	1	Steakhouse			
1611	1	Other			
1612	1	Other			
1613	1	Other			
1614	1	Pizza			
1615	1	Other			
1616	1	Deli			
1617	1	Other			
1618	1	Other			
1619	1	Other			
1620	1	Other			
1621	1	Coffee			
1622	1	Italian			
1623	1	Steakhouse			
1624	1	Indian			
1625	1	Cafe			
1627	1	Mexican			
1628	1	Pub Food			
1629	1	Cafe			
1630	1	Bakery			
1631	1	Other			
1632	1	Steakhouse			
1633	1	Other			
1634	1	Other			
1635	1	Thai			
1636	1	Italian			
1637	1	Cafe			
1638	1	Italian			
1640	1	Other			
1641	1	Mexican			
1642	1	American (New)			
1643	1	Other			
1644	1	Other			
1645	1	Deli			
1646	1	Other			
1647	1	Other			
1648	1	American (Traditional)			
1649	1	Barbecue			
1650	1	Other			
1652	1	Other			
1653	1	Bar &amp; Grill			
1654	1	Bar &amp; Grill			
1655	1	Other			
1656	1	Italian			
1657	1	Bar &amp; Grill			
1658	1	Fusion			
1659	1	Mexican			
1660	1	Bar &amp; Grill			
1661	1	Other			
1662	1	Other			
1664	1	Mexican			
1665	1	Other			
1666	1	Italian			
1667	1	Other			
1668	1	Other			
1669	1	Mexican			
1670	1	Other			
1672	1	Bistro			
1673	1	Family			
1674	1	Other			
1675	1	Vietnamese			
1677	1	Bar &amp; Grill			
1678	1	Bar &amp; Grill			
1679	1	Other			
1682	1	Pub Food			
1683	1	Other			
1684	1	Other			
1685	1	Other			
1687	1	Bakery			
1688	1	Other			
1689	1	Pub Food			
1690	1	Bar &amp; Grill			
1691	1	Other			
1692	1	Cafe			
1693	1	Italian			
1694	1	Seafood			
1695	1	Other			
1696	1	Bar &amp; Grill			
1698	1	Mexican			
1699	1	Pub Food			
1700	1	Steakhouse			
1701	1	Bakery			
1702	1	Other			
1703	1	Cafe			
1704	1	Other			
1705	1	Mexican			
1706	1	Family			
1707	1	Other			
1708	1	Mexican			
1709	1	Other			
1710	1	Seafood			
1711	1	Steakhouse			
1712	1	American (New)			
1714	1	Other			
1715	1	Other			
1716	1	Cafe			
1717	1	Pub Food			
1718	1	Coffee			
1719	1	Barbecue			
1720	1	Other			
1721	1	Other			
1722	1	Barbecue			
1723	1	Cafe			
1724	1	Other			
1725	1	Other			
1726	1	Other			
1727	1	Pub Food			
1728	1	American (Traditional)			
1730	1	Coffee			
1731	1	Other			
1733	1	Mexican			
1734	1	Mexican			
1735	1	Pub Food			
1736	1	Pub Food			
1737	1	Other			
1738	1	Other			
1740	1	Italian			
1741	1	Mexican			
1742	1	American (Traditional)			
1743	1	Mexican			
1744	1	Other			
1745	1	Pub Food			
1746	1	Bar &amp; Grill			
1747	1	Other			
1748	1	Other			
1749	1	Cafe			
1750	1	Barbecue			
1751	1	Italian			
1752	1	Italian			
1753	1	Other			
1754	1	Pub Food			
1755	1	Steakhouse			
1756	1	Other			
1757	1	Italian			
1758	1	Other			
1759	1	Mexican			
1760	1	Bar &amp; Grill			
1761	1	Bar &amp; Grill			
1762	1	Cafe			
1763	1	Other			
1764	1	Mexican			
1766	1	Bakery			
1767	1	Other			
1768	1	Barbecue			
1769	1	American (New)			
1770	1	Steakhouse			
1771	1	Cafe			
1772	1	Bar &amp; Grill			
1773	1	Other			
1775	1	Other			
1776	1	Other			
1777	1	American (Traditional)			
1778	1	Breakfast/Brunch			
1779	1	Cafe			
1780	1	Other			
1781	1	Other			
1782	1	Other			
1783	1	Other			
1784	1	Bar &amp; Grill			
1785	1	Other			
1786	1	Steakhouse			
1787	1	Cafe			
1788	1	Cafe			
1789	1	Bakery			
1790	1	Bistro			
1791	1	Other			
1792	1	Cafe			
1793	1	Pub Food			
1794	1	Other			
1796	1	Other			
1797	1	American (Traditional)			
1798	1	Other			
1799	1	American (Traditional)			
1800	1	Restaurant and Bar			
1801	1	Mexican			
1802	1	Italian			
1803	1	Pub Food			
1804	1	Other			
1805	1	Bistro			
1806	1	Bar &amp; Grill			
1807	1	Bar &amp; Grill			
1809	1	Other			
1810	1	Lounge			
1811	1	Other			
1812	1	Cafe			
1813	1	Mexican			
1814	1	Mexican			
1815	1	Other			
1816	1	Cafe			
1817	1	Seafood			
1818	1	Other			
1819	1	Deli			
1821	1	Pub Food			
1822	1	Other			
1823	1	Other			
1824	1	Other			
1825	1	Mexican			
1826	1	Mexican			
1827	1	Mexican			
1829	1	Italian			
1830	1	Other			
1831	1	Bar &amp; Grill			
1832	1	Cafe			
1833	1	Other			
1834	1	Other			
1835	1	Other			
1836	1	Barbecue			
1837	1	Deli			
1839	1	American (Traditional)			
1840	1	American (New)			
1842	1	Steakhouse			
1844	1	Pub Food			
1846	1	Other			
1847	1	Pub Food			
1848	1	Other			
1849	1	Cafe			
1850	1	Cafe			
1851	1	Other			
1852	1	Other			
1853	1	Other			
1854	1	Bar &amp; Grill			
1855	1	Other			
1856	1	Other			
1857	1	American (Traditional)			
1858	1	Italian			
1859	1	Mexican			
1861	1	Italian			
1862	1	Cafe			
1863	1	Cafe			
1864	1	Other			
1865	1	Other			
1867	1	Other			
1868	1	Coffee			
1869	1	Bakery			
1870	1	Coffee			
1871	1	Bistro			
1872	1	Bar &amp; Grill			
1873	1	Mexican			
1874	1	Pub Food			
1875	1	Mexican			
1876	1	Barbecue			
1877	1	Mexican			
1878	1	Other			
1879	1	Bar &amp; Grill			
1880	1	Mexican			
1881	1	Other			
1882	1	Other			
1884	1	Bar &amp; Grill			
1885	1	Pub Food			
1886	1	Family			
1887	1	Bistro			
1888	1	Italian			
1890	1	Deli			
1891	1	Pub Food			
1892	1	Pub Food			
1893	1	Cafe			
1895	1	Other			
1896	1	Other			
1897	1	German			
1898	1	Other			
1899	1	Other			
1900	1	Italian			
1901	1	Seafood			
1903	1	Other			
1904	1	American (Traditional)			
1906	1	Other			
1907	1	Cafe			
1908	1	Italian			
1909	1	Other			
1910	1	Seafood			
1911	1	Other			
1912	1	Other			
1913	1	Thai			
1914	1	Other			
1915	1	Other			
1916	1	American (Traditional)			
1919	1	Italian			
1920	1	Other			
1921	1	Italian			
1923	1	Other			
1924	1	Seafood			
1925	1	Bar &amp; Grill			
1926	1	Other			
1927	1	Italian			
1928	1	Other			
1929	1	Coffee			
1930	1	Italian			
1931	1	Cafe			
1932	1	Other			
1933	1	Pub Food			
1934	1	Other			
1936	1	Italian			
1937	1	Cafe			
1939	1	Seafood			
1940	1	Other			
1941	1	Other			
1942	1	Other			
1943	1	Other			
1944	1	Pub Food			
1945	1	Other			
1946	1	Seafood			
1948	1	American (Traditional)			
1949	1	Italian			
1950	1	Other			
1951	1	Italian			
1952	1	Other			
1953	1	Other			
1955	1	Bar &amp; Grill			
1956	1	Pub Food			
1957	1	Bar &amp; Grill			
1959	1	Other			
1960	1	Bar &amp; Grill			
1962	1	Italian			
1965	1	Other			
1967	1	Other			
1968	1	Cafe			
1969	1	Pub Food			
1970	1	American (Traditional)			
1971	1	Cafe			
1972	1	Pub Food			
1973	1	Deli			
1974	1	Bakery			
1975	1	American (New)			
1977	1	Cafe			
1979	1	Italian			
1980	1	Italian			
1981	1	Cafe			
1982	1	Italian			
1983	1	Italian			
1986	1	Steakhouse			
1987	1	Bakery			
1988	1	Other			
1989	1	Italian			
1990	1	Steakhouse			
1991	1	Seafood			
1992	1	Cafe			
1993	1	Italian			
1994	1	Other			
1995	1	Pub Food			
1996	1	Asian			
1997	1	Japanese			
1998	1	Pub Food			
1999	1	Bistro			
