restaurant	urbanspoon	cuisine			
0975	4	American	Breakfast/Brunch	Coffee	American - Breakfast/Brunch - Coffee
0979	4	Desserts/Ice Cream	Breakfast/Brunch	Coffee	Desserts/Ice Cream - Breakfast/Brunch - Coffee
0980	4	French	Breakfast/Brunch	Desserts/Ice Cream	French - Breakfast/Brunch - Desserts/Ice Cream
0985	4	Steakhouse	Japanese	Sushi	Steakhouse - Japanese - Sushi
0987	4	Cuban	Caribbean	Desserts/Ice Cream	Cuban - Caribbean - Desserts/Ice Cream
0988	4	Middle Eastern	Greek	Mediterranean	Middle Eastern - Greek - Mediterranean
0991	4	Latin American	Mexican	Tapas	Latin American - Mexican - Tapas
0993	4	American	Breakfast/Brunch	Burgers	American - Breakfast/Brunch - Burgers
0994	4	Breakfast/Brunch	Coffee	Sandwiches/Subs	Breakfast/Brunch - Coffee - Sandwiches/Subs
0995	4	Thai	Asian	Vegetarian	Thai - Asian - Vegetarian
0996	4	Diner	Breakfast/Brunch	Burgers	Diner - Breakfast/Brunch - Burgers
0997	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
1000	4	American	Breakfast/Brunch	Coffee	American - Breakfast/Brunch - Coffee
1003	4	Hawaiian	Burgers	Teriyaki	Hawaiian - Burgers - Teriyaki
1006	4	Pub Food	Gastropub	Vegetarian	Pub Food - Gastropub - Vegetarian
1007	4	American	Breakfast/Brunch	Burgers	American - Breakfast/Brunch - Burgers
1009	4	Asian	Japanese	Vietnamese	Asian - Japanese - Vietnamese
1010	4	Burgers	American	Seafood	Burgers - American - Seafood
1013	4	American	French	Modern American	American - French - Modern American
1016	4	Wine Bar	Seafood	Steakhouse	Wine Bar - Seafood - Steakhouse
1017	4	Asian	Chinese	Thai	Asian - Chinese - Thai
1019	4	Japanese	Sushi	Vegetarian	Japanese - Sushi - Vegetarian
1022	4	Vietnamese	Chinese	Thai	Vietnamese - Chinese - Thai
1029	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
1032	4	German	Coffee	Wine Bar	German - Coffee - Wine Bar
1033	4	American	International	Pub Food	American - International - Pub Food
1035	4	American	Burgers	Diner	American - Burgers - Diner
1036	4	Japanese	American	Chinese	Japanese - American - Chinese
1038	4	Italian	Desserts/Ice Cream	Mediterranean	Italian - Desserts/Ice Cream - Mediterranean
1039	4	American	Pub Food	Sandwiches/Subs	American - Pub Food - Sandwiches/Subs
1040	4	American	International	Pub Food	American - International - Pub Food
1041	4	Southern &amp; Soul	American	Breakfast/Brunch	Southern &amp; Soul - American - Breakfast/Brunch
1044	4	American	Burgers	Sandwiches/Subs	American - Burgers - Sandwiches/Subs
1045	4	American	Desserts/Ice Cream	International	American - Desserts/Ice Cream - International
1048	4	Japanese	Soups	Sushi	Japanese - Soups - Sushi
1050	4	Sushi	Asian	Seafood	Sushi - Asian - Seafood
1051	4	Italian	Pizza	Sandwiches/Subs	Italian - Pizza - Sandwiches/Subs
1056	4	Seafood	Caribbean	Latin American	Seafood - Caribbean - Latin American
1061	4	Steakhouse	Japanese	Sushi	Steakhouse - Japanese - Sushi
1063	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
1064	4	Fast Food	American	Mexican	Fast Food - American - Mexican
1069	4	Donuts	Coffee	Diner	Donuts - Coffee - Diner
1079	4	Seafood	Burgers	Sandwiches/Subs	Seafood - Burgers - Sandwiches/Subs
1080	4	Sandwiches/Subs	Coffee	Smoothies	Sandwiches/Subs - Coffee - Smoothies
1083	4	Mediterranean	Italian	Tapas	Mediterranean - Italian - Tapas
1084	4	American	Pizza	Tapas	American - Pizza - Tapas
1090	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
1092	4	French	Breakfast/Brunch	California	French - Breakfast/Brunch - California
1095	4	American	Salads	Sandwiches/Subs	American - Salads - Sandwiches/Subs
1097	4	Italian	California	Pizza	Italian - California - Pizza
1098	4	American	Salads	Sandwiches/Subs	American - Salads - Sandwiches/Subs
1099	4	Japanese	Buffet	Sushi	Japanese - Buffet - Sushi
1101	4	Mexican	Caribbean	International	Mexican - Caribbean - International
1102	4	Greek	Mediterranean	Middle Eastern	Greek - Mediterranean - Middle Eastern
1104	4	Burgers	American	Fast Food	Burgers - American - Fast Food
1106	4	Chinese	Asian	Vegetarian	Chinese - Asian - Vegetarian
1110	4	Breakfast/Brunch	American	Coffee	Breakfast/Brunch - American - Coffee
1116	4	Coffee	American	Sandwiches/Subs	Coffee - American - Sandwiches/Subs
1117	4	European	American	Breakfast/Brunch	European - American - Breakfast/Brunch
1120	4	Mexican	Tacos	Tex-Mex	Mexican - Tacos - Tex-Mex
1121	4	Asian	Sushi	Thai	Asian - Sushi - Thai
1122	4	Indian	Asian	International	Indian - Asian - International
1123	4	Tapas	European	Vegetarian	Tapas - European - Vegetarian
1125	4	American	Burgers	Southwestern	American - Burgers - Southwestern
1127	4	Burgers	American	Hot Dogs	Burgers - American - Hot Dogs
1128	4	Mexican	International	Tex-Mex	Mexican - International - Tex-Mex
1130	4	American	Burgers	Seafood	American - Burgers - Seafood
1135	4	American	Burgers	Tex-Mex	American - Burgers - Tex-Mex
1137	4	French	Breakfast/Brunch	Seafood	French - Breakfast/Brunch - Seafood
1138	4	Sandwiches/Subs	International	Soups	Sandwiches/Subs - International - Soups
1139	4	American	Burgers	Modern American	American - Burgers - Modern American
1144	4	Pizza	Burgers	Hot Dogs	Pizza - Burgers - Hot Dogs
1146	4	Ethiopian/Eritrean	African	Vegetarian	Ethiopian/Eritrean - African - Vegetarian
1147	4	Seafood	American	California	Seafood - American - California
1152	4	Vegetarian	California	International	Vegetarian - California - International
1155	4	French	American	European	French - American - European
1161	4	Sandwiches/Subs	Desserts/Ice Cream	Hot Dogs	Sandwiches/Subs - Desserts/Ice Cream - Hot Dogs
1171	4	Italian	California	Pizza	Italian - California - Pizza
1182	4	Breakfast/Brunch	Cajun/Creole	French	Breakfast/Brunch - Cajun/Creole - French
1185	4	Northwest	Modern American	Seafood	Northwest - Modern American - Seafood
1186	4	Cuban	Caribbean	Sandwiches/Subs	Cuban - Caribbean - Sandwiches/Subs
1190	4	Mexican	Southwestern	Spanish	Mexican - Southwestern - Spanish
1192	4	Turkish	Greek	Mediterranean	Turkish - Greek - Mediterranean
1199	4	Middle Eastern	Mediterranean	Vegetarian	Middle Eastern - Mediterranean - Vegetarian
1201	4	Mexican	Spanish	Tacos	Mexican - Spanish - Tacos
1203	4	English/Irish	Gastropub	Pub Food	English/Irish - Gastropub - Pub Food
1210	4	Steakhouse	Japanese	Sushi	Steakhouse - Japanese - Sushi
1211	4	Japanese	Seafood	Thai	Japanese - Seafood - Thai
1215	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
1217	4	American	Burgers	Sandwiches/Subs	American - Burgers - Sandwiches/Subs
1218	4	Wine Bar	Italian	Pizza	Wine Bar - Italian - Pizza
1221	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
1222	4	Burgers	American	Hot Dogs	Burgers - American - Hot Dogs
1225	4	Sandwiches/Subs	Italian	Pizza	Sandwiches/Subs - Italian - Pizza
1236	4	American	Southern &amp; Soul	Vegetarian	American - Southern &amp; Soul - Vegetarian
1237	4	Seafood	American	Steakhouse	Seafood - American - Steakhouse
1238	4	Mexican	Breakfast/Brunch	Spanish	Mexican - Breakfast/Brunch - Spanish
1239	4	Tapas	Breakfast/Brunch	Spanish	Tapas - Breakfast/Brunch - Spanish
1240	4	Steakhouse	Japanese	Sushi	Steakhouse - Japanese - Sushi
1241	4	Italian	European	Mediterranean	Italian - European - Mediterranean
1242	4	Desserts/Ice Cream	American	Sandwiches/Subs	Desserts/Ice Cream - American - Sandwiches/Subs
1244	4	Thai	Asian	Sushi	Thai - Asian - Sushi
1245	4	Pizza	American	Italian	Pizza - American - Italian
1252	4	Italian	International	Seafood	Italian - International - Seafood
1253	4	Pub Food	California	Sandwiches/Subs	Pub Food - California - Sandwiches/Subs
1259	4	Pub Food	American	Pizza	Pub Food - American - Pizza
1264	4	Sandwiches/Subs	Coffee	Pizza	Sandwiches/Subs - Coffee - Pizza
1273	4	Greek	Fast Food	Mediterranean	Greek - Fast Food - Mediterranean
1275	4	Latin American	Caribbean	Spanish	Latin American - Caribbean - Spanish
1276	4	Pub Food	American	English/Irish	Pub Food - American - English/Irish
1284	4	American	Buffet	Cajun/Creole	American - Buffet - Cajun/Creole
1289	4	Burgers	American	Breakfast/Brunch	Burgers - American - Breakfast/Brunch
1291	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
1296	4	Steakhouse	American	Burgers	Steakhouse - American - Burgers
1298	4	Sandwiches/Subs	Breakfast/Brunch	Hot Dogs	Sandwiches/Subs - Breakfast/Brunch - Hot Dogs
1299	4	Pizza	American	Burgers	Pizza - American - Burgers
1302	4	Italian	Pizza	Sandwiches/Subs	Italian - Pizza - Sandwiches/Subs
1304	4	Pub Food	Belgian	European	Pub Food - Belgian - European
1308	4	Burgers	American	Pub Food	Burgers - American - Pub Food
1310	4	Mediterranean	American	Vegetarian	Mediterranean - American - Vegetarian
1311	4	Middle Eastern	Fast Food	Vegetarian	Middle Eastern - Fast Food - Vegetarian
1312	4	Greek	Mediterranean	Pizza	Greek - Mediterranean - Pizza
1316	4	Greek	Mediterranean	Tapas	Greek - Mediterranean - Tapas
1317	4	Southwestern	Latin American	Mexican	Southwestern - Latin American - Mexican
1318	4	American	Breakfast/Brunch	Pub Food	American - Breakfast/Brunch - Pub Food
1319	4	Desserts/Ice Cream	American	Bakery	Desserts/Ice Cream - American - Bakery
1320	4	Latin American	Mexican	Tex-Mex	Latin American - Mexican - Tex-Mex
1323	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
1324	4	Burgers	Fast Food	Organic	Burgers - Fast Food - Organic
1325	4	American	Coffee	Southern &amp; Soul	American - Coffee - Southern &amp; Soul
1326	4	Sandwiches/Subs	Bakery	Breakfast/Brunch	Sandwiches/Subs - Bakery - Breakfast/Brunch
1329	4	Southwestern	Barbecue	Mexican	Southwestern - Barbecue - Mexican
1337	4	Steakhouse	Italian	Wine Bar	Steakhouse - Italian - Wine Bar
1338	4	Pizza	Buffet	Italian	Pizza - Buffet - Italian
1346	4	Pizza	Italian	Pub Food	Pizza - Italian - Pub Food
1352	4	Sandwiches/Subs	Coffee	Desserts/Ice Cream	Sandwiches/Subs - Coffee - Desserts/Ice Cream
1357	4	Sandwiches/Subs	Fast Food	Soups	Sandwiches/Subs - Fast Food - Soups
1358	4	Breakfast/Brunch	American	Southwestern	Breakfast/Brunch - American - Southwestern
1368	4	American	Burgers	Fast Food	American - Burgers - Fast Food
1376	4	Sandwiches/Subs	Bagels	Breakfast/Brunch	Sandwiches/Subs - Bagels - Breakfast/Brunch
1379	4	Steakhouse	Italian	Mediterranean	Steakhouse - Italian - Mediterranean
1382	4	Fast Food	American	Burgers	Fast Food - American - Burgers
1385	4	Burgers	Fast Food	Sandwiches/Subs	Burgers - Fast Food - Sandwiches/Subs
1389	4	Sushi	Asian	Japanese	Sushi - Asian - Japanese
1392	4	Bakery	Donuts	Sandwiches/Subs	Bakery - Donuts - Sandwiches/Subs
1400	4	Barbecue	American	Seafood	Barbecue - American - Seafood
1402	4	Vegetarian	Burgers	Organic	Vegetarian - Burgers - Organic
1415	4	Mexican	American	Barbecue	Mexican - American - Barbecue
1443	4	Seafood	Breakfast/Brunch	Steakhouse	Seafood - Breakfast/Brunch - Steakhouse
1450	4	Bagels	Breakfast/Brunch	Sandwiches/Subs	Bagels - Breakfast/Brunch - Sandwiches/Subs
1458	4	American	Breakfast/Brunch	Burgers	American - Breakfast/Brunch - Burgers
1462	4	American	Burgers	Sandwiches/Subs	American - Burgers - Sandwiches/Subs
1465	4	Southern &amp; Soul	Cajun/Creole	Seafood	Southern &amp; Soul - Cajun/Creole - Seafood
1466	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
1467	4	European	Italian	Modern American	European - Italian - Modern American
1470	4	Sandwiches/Subs	American	Seafood	Sandwiches/Subs - American - Seafood
1473	4	American	Gastropub	Wine Bar	American - Gastropub - Wine Bar
1488	4	American	Breakfast/Brunch	Caribbean	American - Breakfast/Brunch - Caribbean
1489	4	Bagels	Breakfast/Brunch	Sandwiches/Subs	Bagels - Breakfast/Brunch - Sandwiches/Subs
1491	4	Coffee	American	Sandwiches/Subs	Coffee - American - Sandwiches/Subs
1492	4	Thai	Asian	French	Thai - Asian - French
1505	4	Burgers	Fast Food	Hot Dogs	Burgers - Fast Food - Hot Dogs
1508	4	American	Pub Food	Sandwiches/Subs	American - Pub Food - Sandwiches/Subs
1522	4	Pub Food	American	Steakhouse	Pub Food - American - Steakhouse
1525	4	Hot Dogs	Burgers	Sandwiches/Subs	Hot Dogs - Burgers - Sandwiches/Subs
1527	4	Japanese	Seafood	Sushi	Japanese - Seafood - Sushi
1532	4	International	Tapas	Wine Bar	International - Tapas - Wine Bar
1533	4	Sandwiches/Subs	Tapas	Wine Bar	Sandwiches/Subs - Tapas - Wine Bar
1537	4	Bakery	American	Sandwiches/Subs	Bakery - American - Sandwiches/Subs
1540	4	International	English/Irish	Seafood	International - English/Irish - Seafood
1553	4	Sushi	American	Thai	Sushi - American - Thai
1554	4	Pub Food	English/Irish	Sandwiches/Subs	Pub Food - English/Irish - Sandwiches/Subs
1557	4	Mexican	Southwestern	Tacos	Mexican - Southwestern - Tacos
1560	4	African	Middle Eastern	Moroccan	African - Middle Eastern - Moroccan
1564	4	Fast Food	Burgers	Sandwiches/Subs	Fast Food - Burgers - Sandwiches/Subs
1568	4	Bakery	Desserts/Ice Cream	Sandwiches/Subs	Bakery - Desserts/Ice Cream - Sandwiches/Subs
1573	4	Sandwiches/Subs	Breakfast/Brunch	Desserts/Ice Cream	Sandwiches/Subs - Breakfast/Brunch - Desserts/Ice Cream
1577	4	Sandwiches/Subs	Greek	Mediterranean	Sandwiches/Subs - Greek - Mediterranean
1578	4	Mexican	Southwestern	Tex-Mex	Mexican - Southwestern - Tex-Mex
1582	4	Burgers	American	Fast Food	Burgers - American - Fast Food
1584	4	Vegetarian	Pub Food	Smoothies	Vegetarian - Pub Food - Smoothies
1587	4	Coffee	Bakery	Sandwiches/Subs	Coffee - Bakery - Sandwiches/Subs
1589	4	Sandwiches/Subs	Pizza	Soups	Sandwiches/Subs - Pizza - Soups
1590	4	American	Burgers	Pub Food	American - Burgers - Pub Food
1591	4	Vietnamese	Japanese	Sushi	Vietnamese - Japanese - Sushi
1595	4	Coffee	Breakfast/Brunch	Sandwiches/Subs	Coffee - Breakfast/Brunch - Sandwiches/Subs
1599	4	Sandwiches/Subs	Coffee	Organic	Sandwiches/Subs - Coffee - Organic
1602	4	American	Greek	International	American - Greek - International
1605	4	Organic	Breakfast/Brunch	Vegetarian	Organic - Breakfast/Brunch - Vegetarian
1613	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
1624	4	Wine Bar	Coffee	Desserts/Ice Cream	Wine Bar - Coffee - Desserts/Ice Cream
1626	4	Bagels	Coffee	Sandwiches/Subs	Bagels - Coffee - Sandwiches/Subs
1635	4	Sushi	Asian	Japanese	Sushi - Asian - Japanese
1636	4	American	Breakfast/Brunch	Diner	American - Breakfast/Brunch - Diner
1645	4	African	Buffet	Wine Bar	African - Buffet - Wine Bar
1650	4	American	Burgers	Pub Food	American - Burgers - Pub Food
1655	4	Seafood	American	Steakhouse	Seafood - American - Steakhouse
1676	4	Greek	Pizza	Sandwiches/Subs	Greek - Pizza - Sandwiches/Subs
1685	4	Seafood	Greek	Mediterranean	Seafood - Greek - Mediterranean
1688	4	Sushi	Japanese	Teriyaki	Sushi - Japanese - Teriyaki
1698	4	Pub Food	American	Italian	Pub Food - American - Italian
1712	4	Coffee	Indian	Smoothies	Coffee - Indian - Smoothies
1716	4	Indian	Pizza	Sandwiches/Subs	Indian - Pizza - Sandwiches/Subs
1719	4	Spanish	Latin American	Mexican	Spanish - Latin American - Mexican
1725	4	Southwestern	American	Breakfast/Brunch	Southwestern - American - Breakfast/Brunch
1726	4	American	Breakfast/Brunch	Southern &amp; Soul	American - Breakfast/Brunch - Southern &amp; Soul
1734	4	Burgers	American	Italian	Burgers - American - Italian
1741	4	American	Fast Food	Sandwiches/Subs	American - Fast Food - Sandwiches/Subs
1746	4	American	Asian	Sushi	American - Asian - Sushi
1747	4	Seafood	Pub Food	Soups	Seafood - Pub Food - Soups
1749	4	Southern &amp; Soul	Seafood	Steakhouse	Southern &amp; Soul - Seafood - Steakhouse
1769	4	Coffee	Desserts/Ice Cream	Tea	Coffee - Desserts/Ice Cream - Tea
1777	4	Pizza	Italian	Seafood	Pizza - Italian - Seafood
1779	4	Tacos	Fast Food	Mexican	Tacos - Fast Food - Mexican
1783	4	American	Fast Food	Sandwiches/Subs	American - Fast Food - Sandwiches/Subs
1794	4	Mexican	American	Latin American	Mexican - American - Latin American
1798	4	Sandwiches/Subs	Pizza	Soups	Sandwiches/Subs - Pizza - Soups
1799	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
1800	4	Noodle Shop	Chinese	Italian	Noodle Shop - Chinese - Italian
1803	4	Mediterranean	Greek	Italian	Mediterranean - Greek - Italian
1808	4	Bakery	Sandwiches/Subs	Soups	Bakery - Sandwiches/Subs - Soups
1811	4	American	Desserts/Ice Cream	Soups	American - Desserts/Ice Cream - Soups
1816	4	Sandwiches/Subs	Seafood	Soups	Sandwiches/Subs - Seafood - Soups
1822	4	Sandwiches/Subs	American	Southern &amp; Soul	Sandwiches/Subs - American - Southern &amp; Soul
1826	4	American	Breakfast/Brunch	Diner	American - Breakfast/Brunch - Diner
1829	4	Seafood	Burgers	Southern &amp; Soul	Seafood - Burgers - Southern &amp; Soul
1830	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
1832	4	Barbecue	Fast Food	Pub Food	Barbecue - Fast Food - Pub Food
1834	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
1836	4	American	Breakfast/Brunch	Diner	American - Breakfast/Brunch - Diner
1837	4	Coffee	Bakery	Desserts/Ice Cream	Coffee - Bakery - Desserts/Ice Cream
1838	4	Pub Food	Cajun/Creole	Sandwiches/Subs	Pub Food - Cajun/Creole - Sandwiches/Subs
1845	4	Bakery	Coffee	Diner	Bakery - Coffee - Diner
1846	4	Japanese	Korean	Sushi	Japanese - Korean - Sushi
1853	4	Sandwiches/Subs	Burgers	Soups	Sandwiches/Subs - Burgers - Soups
1855	4	Japanese	Korean	Sushi	Japanese - Korean - Sushi
1857	4	Gastropub	English/Irish	Pub Food	Gastropub - English/Irish - Pub Food
1861	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
1869	4	Donuts	Desserts/Ice Cream	Fast Food	Donuts - Desserts/Ice Cream - Fast Food
1876	4	Desserts/Ice Cream	Bakery	Coffee	Desserts/Ice Cream - Bakery - Coffee
1890	4	Japanese	Asian	Korean	Japanese - Asian - Korean
1892	4	Chinese	American	Asian	Chinese - American - Asian
1897	4	Coffee	Desserts/Ice Cream	Smoothies	Coffee - Desserts/Ice Cream - Smoothies
1908	4	Bagels	Donuts	Fast Food	Bagels - Donuts - Fast Food
1909	4	Coffee	Desserts/Ice Cream	Diner	Coffee - Desserts/Ice Cream - Diner
1910	4	American	Fast Food	Soups	American - Fast Food - Soups
1916	4	Pizza	Sandwiches/Subs	Soups	Pizza - Sandwiches/Subs - Soups
1918	4	Italian	Mediterranean	Pizza	Italian - Mediterranean - Pizza
1919	4	Asian	Noodle Shop	Vietnamese	Asian - Noodle Shop - Vietnamese
1923	4	Sushi	American	Sandwiches/Subs	Sushi - American - Sandwiches/Subs
1925	4	Sandwiches/Subs	Breakfast/Brunch	Fast Food	Sandwiches/Subs - Breakfast/Brunch - Fast Food
1927	4	Fast Food	Sandwiches/Subs	Southern &amp; Soul	Fast Food - Sandwiches/Subs - Southern &amp; Soul
1929	4	Sandwiches/Subs	Breakfast/Brunch	Fast Food	Sandwiches/Subs - Breakfast/Brunch - Fast Food
1930	4	Breakfast/Brunch	Diner	Sandwiches/Subs	Breakfast/Brunch - Diner - Sandwiches/Subs
1931	4	American	Pub Food	Sandwiches/Subs	American - Pub Food - Sandwiches/Subs
1936	4	Sandwiches/Subs	American	Breakfast/Brunch	Sandwiches/Subs - American - Breakfast/Brunch
1939	4	Coffee	Breakfast/Brunch	Fast Food	Coffee - Breakfast/Brunch - Fast Food
1943	4	Burgers	American	Sandwiches/Subs	Burgers - American - Sandwiches/Subs
1945	4	Sandwiches/Subs	Breakfast/Brunch	Fast Food	Sandwiches/Subs - Breakfast/Brunch - Fast Food
1946	4	Burgers	Breakfast/Brunch	Fast Food	Burgers - Breakfast/Brunch - Fast Food
1947	4	Mediterranean	Greek	Middle Eastern	Mediterranean - Greek - Middle Eastern
1948	4	Fast Food	Bagels	Coffee	Fast Food - Bagels - Coffee
1950	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
1954	4	Pizza	Barbecue	Fast Food	Pizza - Barbecue - Fast Food
1955	4	Breakfast/Brunch	Greek	Hot Dogs	Breakfast/Brunch - Greek - Hot Dogs
1956	4	Coffee	Bakery	Diner	Coffee - Bakery - Diner
1958	4	Pizza	Sandwiches/Subs	Tacos	Pizza - Sandwiches/Subs - Tacos
1961	4	Coffee	Bagels	Fast Food	Coffee - Bagels - Fast Food
1964	4	Chinese	Pizza	Pub Food	Chinese - Pizza - Pub Food
1966	4	Latin American	Cuban	Mexican	Latin American - Cuban - Mexican
1969	4	Coffee	Breakfast/Brunch	Donuts	Coffee - Breakfast/Brunch - Donuts
1971	4	Sandwiches/Subs	Breakfast/Brunch	Fast Food	Sandwiches/Subs - Breakfast/Brunch - Fast Food
1975	4	Southwestern	American	Tex-Mex	Southwestern - American - Tex-Mex
1976	4	Bakery	Breakfast/Brunch	Sandwiches/Subs	Bakery - Breakfast/Brunch - Sandwiches/Subs
1978	4	Fast Food	Sandwiches/Subs	Southern &amp; Soul	Fast Food - Sandwiches/Subs - Southern &amp; Soul
1980	4	Fast Food	Sandwiches/Subs	Southern &amp; Soul	Fast Food - Sandwiches/Subs - Southern &amp; Soul
1983	4	Pizza	Sandwiches/Subs	Tacos	Pizza - Sandwiches/Subs - Tacos
1987	4	Italian	Pizza	Wine Bar	Italian - Pizza - Wine Bar
1989	4	Fast Food	Breakfast/Brunch	Coffee	Fast Food - Breakfast/Brunch - Coffee
1990	4	Pub Food	Burgers	Sandwiches/Subs	Pub Food - Burgers - Sandwiches/Subs
1992	4	Breakfast/Brunch	American	Desserts/Ice Cream	Breakfast/Brunch - American - Desserts/Ice Cream
1994	4	Fast Food	American	Sandwiches/Subs	Fast Food - American - Sandwiches/Subs
1996	4	Fast Food	American	Sandwiches/Subs	Fast Food - American - Sandwiches/Subs
0000	3	Diner	New Mexican	Diner - New Mexican	
0001	3	Pizza	Italian	Pizza - Italian	
0003	3	American	Hot Dogs	American - Hot Dogs	
0008	3	Diner	New Mexican	Diner - New Mexican	
0016	3	Mexican	New Mexican	Mexican - New Mexican	
0018	3	Barbecue	Southwestern	Barbecue - Southwestern	
0024	3	Bakery	Chinese	Bakery - Chinese	
0028	3	Sandwiches/Subs	Soups	Sandwiches/Subs - Soups	
0030	3	Mediterranean	Middle Eastern	Mediterranean - Middle Eastern	
0031	3	Bakery	European	Bakery - European	
0033	3	Mexican	Burgers	Mexican - Burgers	
0034	3	Sandwiches/Subs	Soups	Sandwiches/Subs - Soups	
0038	3	Tapas	Spanish	Tapas - Spanish	
0043	3	Breakfast/Brunch	Sandwiches/Subs	Breakfast/Brunch - Sandwiches/Subs	
0044	3	Tacos	Mexican	Tacos - Mexican	
0047	3	Southern &amp; Soul	American	Southern &amp; Soul - American	
0052	3	Italian	Pizza	Italian - Pizza	
0055	3	Italian	Pizza	Italian - Pizza	
0058	3	American	Vegetarian	American - Vegetarian	
0062	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0063	3	Barbecue	American	Barbecue - American	
0064	3	Barbecue	American	Barbecue - American	
0068	3	Japanese	Sushi	Japanese - Sushi	
0072	3	American	Breakfast/Brunch	American - Breakfast/Brunch	
0073	3	Seafood	Fast Food	Seafood - Fast Food	
0074	3	American	International	American - International	
0077	3	Thai	Vegetarian	Thai - Vegetarian	
0079	3	Fast Food	Sandwiches/Subs	Fast Food - Sandwiches/Subs	
0084	3	American	Hot Dogs	American - Hot Dogs	
0085	3	Seafood	American	Seafood - American	
0097	3	American	Barbecue	American - Barbecue	
0099	3	Barbecue	Burgers	Barbecue - Burgers	
0100	3	Desserts/Ice Cream	Coffee	Desserts/Ice Cream - Coffee	
0103	3	Barbecue	American	Barbecue - American	
0117	3	Southern &amp; Soul	French	Southern &amp; Soul - French	
0122	3	Barbecue	Southern &amp; Soul	Barbecue - Southern &amp; Soul	
0123	3	Sandwiches/Subs	American	Sandwiches/Subs - American	
0128	3	American	Burgers	American - Burgers	
0131	3	Chinese	Dim Sum	Chinese - Dim Sum	
0132	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0133	3	Indian	Vegetarian	Indian - Vegetarian	
0134	3	Asian	Chinese	Asian - Chinese	
0135	3	International	Tapas	International - Tapas	
0136	3	Pizza	Italian	Pizza - Italian	
0137	3	Italian	Pizza	Italian - Pizza	
0138	3	Vegetarian	Pizza	Vegetarian - Pizza	
0139	3	Pizza	Italian	Pizza - Italian	
0140	3	Italian	Pizza	Italian - Pizza	
0150	3	Hot Dogs	American	Hot Dogs - American	
0151	3	American	Cajun/Creole	American - Cajun/Creole	
0152	3	Barbecue	Southern &amp; Soul	Barbecue - Southern &amp; Soul	
0153	3	Tex-Mex	Tacos	Tex-Mex - Tacos	
0155	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0160	3	Southern &amp; Soul	American	Southern &amp; Soul - American	
0162	3	Pub Food	English/Irish	Pub Food - English/Irish	
0164	3	Mexican	Southwestern	Mexican - Southwestern	
0165	3	Thai	Asian	Thai - Asian	
0168	3	Pizza	Italian	Pizza - Italian	
0171	3	Seafood	Sandwiches/Subs	Seafood - Sandwiches/Subs	
0172	3	Steakhouse	Italian	Steakhouse - Italian	
0173	3	Pizza	Sandwiches/Subs	Pizza - Sandwiches/Subs	
0179	3	Tapas	Seafood	Tapas - Seafood	
0182	3	Italian	Pizza	Italian - Pizza	
0183	3	Steakhouse	Brazilian	Steakhouse - Brazilian	
0184	3	Steakhouse	Seafood	Steakhouse - Seafood	
0188	3	Pizza	Italian	Pizza - Italian	
0192	3	Sushi	Japanese	Sushi - Japanese	
0193	3	Pizza	Pub Food	Pizza - Pub Food	
0194	3	Spanish	Tapas	Spanish - Tapas	
0196	3	Hot Dogs	Fast Food	Hot Dogs - Fast Food	
0202	3	American	Barbecue	American - Barbecue	
0205	3	Modern American	French	Modern American - French	
0206	3	Tapas	Spanish	Tapas - Spanish	
0210	3	Coffee	European	Coffee - European	
0218	3	American	Burgers	American - Burgers	
0220	3	Thai	Japanese	Thai - Japanese	
0224	3	Pizza	Vegetarian	Pizza - Vegetarian	
0226	3	French	Portuguese	French - Portuguese	
0232	3	Southwestern	Mexican	Southwestern - Mexican	
0233	3	Middle Eastern	Greek	Middle Eastern - Greek	
0238	3	Italian	Pizza	Italian - Pizza	
0240	3	Burgers	Cuban	Burgers - Cuban	
0241	3	Breakfast/Brunch	Sandwiches/Subs	Breakfast/Brunch - Sandwiches/Subs	
0243	3	Steakhouse	Japanese	Steakhouse - Japanese	
0247	3	Italian	Wine Bar	Italian - Wine Bar	
0248	3	Sandwiches/Subs	Italian	Sandwiches/Subs - Italian	
0250	3	Pizza	Italian	Pizza - Italian	
0252	3	Thai	Japanese	Thai - Japanese	
0254	3	Italian	Pizza	Italian - Pizza	
